chr1	po1	gene1	chr2	po2	gene2
chrX	8783696	EOG090B0C15	aRhiBiv1_chr15	80289955	aRhiBiv1_EOG090B0C15
chrX	9725746	EOG090B0ATD	aRhiBiv1_chr5	319782109	aRhiBiv1_EOG090B0ATD
chrX	12825655	EOG090B0GSS	aRhiBiv1_chr1	238690643	aRhiBiv1_EOG090B0GSS
chrX	13582700	EOG090B08OK	aRhiBiv1_chr5	312945730	aRhiBiv1_EOG090B08OK
chrX	14008913	EOG090B0E88	aRhiBiv1_chr5	349602017	aRhiBiv1_EOG090B0E88
chrX	14891088	EOG090B04U0	aRhiBiv1_chr5	383618643	aRhiBiv1_EOG090B04U0
chrX	15561905	EOG090B02RR	aRhiBiv1_chr5	219021843	aRhiBiv1_EOG090B02RR
chrX	21655854	EOG090B03UX	aRhiBiv1_chr5	226877705	aRhiBiv1_EOG090B03UX
chrX	21737563	EOG090B0KLX	aRhiBiv1_chr5	226963804	aRhiBiv1_EOG090B0KLX
chrX	22033006	EOG090B02DP	aRhiBiv1_chr15	58798123	aRhiBiv1_EOG090B02DP
chrX	23703894	EOG090B06JD	aRhiBiv1_chr5	228932613	aRhiBiv1_EOG090B06JD
chrX	30831427	EOG090B03XC	aRhiBiv1_chr5	205788767	aRhiBiv1_EOG090B03XC
chrX	37685962	EOG090B076B	aRhiBiv1_chr5	211963672	aRhiBiv1_EOG090B076B
chrX	38142138	EOG090B066K	aRhiBiv1_chr5	218390908	aRhiBiv1_EOG090B066K
chrX	43931350	EOG090B0HDB	aRhiBiv1_chr5	212439572	aRhiBiv1_EOG090B0HDB
chrX	46058746	EOG090B0BFE	aRhiBiv1_chr5	271546877	aRhiBiv1_EOG090B0BFE
chrX	64189879	EOG090B07E9	aRhiBiv1_chr6	331938339	aRhiBiv1_EOG090B07E9
chrX	68499067	EOG090B0D27	aRhiBiv1_chr6	282357643	aRhiBiv1_EOG090B0D27
chrX	75036176	EOG090B03H7	aRhiBiv1_chr6	328807870	aRhiBiv1_EOG090B03H7
chrX	85272557	EOG090B06NA	aRhiBiv1_chr6	220738868	aRhiBiv1_EOG090B06NA
chrX	101079003	EOG090B0H1O	aRhiBiv1_chr6	295425463	aRhiBiv1_EOG090B0H1O
chrX	101231697	EOG090B01TT	aRhiBiv1_chr6	294957586	aRhiBiv1_EOG090B01TT
chrX	104166786	EOG090B0CRS	aRhiBiv1_chr6	323271512	aRhiBiv1_EOG090B0CRS
chrX	118382608	EOG090B01Y0	aRhiBiv1_chr6	243016267	aRhiBiv1_EOG090B01Y0
chrX	119589352	EOG090B0326	aRhiBiv1_chr6	324487282	aRhiBiv1_EOG090B0326
chrX	120359898	EOG090B0B3K	aRhiBiv1_chr16	18283612	aRhiBiv1_EOG090B0B3K
chrX	125326897	EOG090B057D	aRhiBiv1_chr16	3689463	aRhiBiv1_EOG090B057D
chrX	134377618	EOG090B08QX	aRhiBiv1_chr6	238491993	aRhiBiv1_EOG090B08QX
chrX	134889161	EOG090B0DAB	aRhiBiv1_chr6	237483803	aRhiBiv1_EOG090B0DAB
chrX	143613714	EOG090B02IH	aRhiBiv1_chr6	335995403	aRhiBiv1_EOG090B02IH
chrX	145822426	EOG090B020M	aRhiBiv1_chr6	338030126	aRhiBiv1_EOG090B020M
chrX	152846349	EOG090B09H1	aRhiBiv1_chr6	234920634	aRhiBiv1_EOG090B09H1
chrX	154762966	EOG090B07E6	aRhiBiv1_chr6	271239716	aRhiBiv1_EOG090B07E6
chrX	154779177	EOG090B05RT	aRhiBiv1_chr6	271144779	aRhiBiv1_EOG090B05RT
chrX	155889467	EOG090B0BAR	aRhiBiv1_chr6	235537603	aRhiBiv1_EOG090B0BAR
chrX	8783696	EOG090B0C15	bCalAnn1_chr21	6843315	bCalAnn1_EOG090B0C15
chrX	9725746	EOG090B0ATD	bCalAnn1_chr1	126591877	bCalAnn1_EOG090B0ATD
chrX	12825655	EOG090B0GSS	bCalAnn1_chr4B	18327006	bCalAnn1_EOG090B0GSS
chrX	13582700	EOG090B08OK	bCalAnn1_chr1	124467730	bCalAnn1_EOG090B08OK
chrX	14008913	EOG090B0E88	bCalAnn1_chr1	124237341	bCalAnn1_EOG090B0E88
chrX	14891088	EOG090B04U0	bCalAnn1_chr1	123783247	bCalAnn1_EOG090B04U0
chrX	15561905	EOG090B02RR	bCalAnn1_chr1	123393359	bCalAnn1_EOG090B02RR
chrX	21655854	EOG090B03UX	bCalAnn1_chr1	120544363	bCalAnn1_EOG090B03UX
chrX	21737563	EOG090B0KLX	bCalAnn1_chr1	120486358	bCalAnn1_EOG090B0KLX
chrX	22033006	EOG090B02DP	bCalAnn1_chr1	120243364	bCalAnn1_EOG090B02DP
chrX	23334876	EOG090B01ZG	bCalAnn1_chr1	119761282	bCalAnn1_EOG090B01ZG
chrX	23703894	EOG090B06JD	bCalAnn1_chr1	119637698	bCalAnn1_EOG090B06JD
chrX	23987921	EOG090B03D1	bCalAnn1_chr1	119556394	bCalAnn1_EOG090B03D1
chrX	30831427	EOG090B03XC	bCalAnn1_chr1	117055359	bCalAnn1_EOG090B03XC
chrX	37685962	EOG090B076B	bCalAnn1_chr1	114791424	bCalAnn1_EOG090B076B
chrX	38142138	EOG090B066K	bCalAnn1_chr1	114610686	bCalAnn1_EOG090B066K
chrX	40581066	EOG090B0A2O	bCalAnn1_chr1	113699138	bCalAnn1_EOG090B0A2O
chrX	43931350	EOG090B0HDB	bCalAnn1_chr1	112601553	bCalAnn1_EOG090B0HDB
chrX	46058746	EOG090B0BFE	bCalAnn1_chr22	4982362	bCalAnn1_EOG090B0BFE
chrX	64189879	EOG090B07E9	bCalAnn1_chr4	17332538	bCalAnn1_EOG090B07E9
chrX	68499067	EOG090B0D27	bCalAnn1_chr4	434723	bCalAnn1_EOG090B0D27
chrX	84449377	EOG090B03BB	bCalAnn1_chr4	10879888	bCalAnn1_EOG090B03BB
chrX	85272557	EOG090B06NA	bCalAnn1_chr4	10627100	bCalAnn1_EOG090B06NA
chrX	100585019	EOG090B0B55	bCalAnn1_chr4	7059074	bCalAnn1_EOG090B0B55
chrX	101079003	EOG090B0H1O	bCalAnn1_chr4	3608557	bCalAnn1_EOG090B0H1O
