BuscoID,BUSCO_LittleSkate,BUSCO_ThornySkate,BUSCO_Zebrafish,BUSCO_Chicken,BUSCO_Mouse,BUSCO_Human
87117at7742,,chr22&38536962,chr3&40605388,chr14&4599649,chr5&142992649,
376721at7742,,,chr21&38734125,chr13&10916201,chr2&116527843,chr12&55986961
87279at7742,,,chr19&33850816,chr2&22648877,chr5&3596389,chr7&92486854
198300at7742,,,chr20&48142062,chr3&107504124,chr1&20951734,chr6&52420411
198321at7742,,NW_022630523.1&155401,chr23&7692062,chr20&10143007,chr2&153241587,chr20&32207942
86277at7742,,,chr18&7454638,chr11&11335901,chr8&104447108,chr16&66758759
198831at7742,,,,chr5&10866564,chr7&114772116,chr11&15159270
85986at7742,,,chr10&26961965,chr5&1870594,chr19&6068115,chr11&65096251
276401at7742,,chr4&3094029,chr24&2893998,chr2&91875930,chr18&84720173,chr18&74436501
83843at7742,,,,chr6&20620876,chr19&36569264,chr10&91447382
199987at7742,,,chr8&6921524,chr30&273665,chrX&8125545,chrX&48597997
82717at7742,,,,chr20&2147080,,chr20&33732022
200403at7742,,,chr19&777930,chr25&3603172,chr3&88909696,chr1&155610249
379901at7742,,,chr25&25547171,chr5&16053166,chr7&141263225,chr11&612645
201616at7742,,,,chr10&2867561,,chr15&74837214
380785at7742,,chr9&54283533,chr17&52100694,chr5&38686046,,chr14&76064024
81595at7742,,,chr18&46699731,,,chr19&15160662
81278at7742,,,chr6&58921464,chr33&4108808,chr10&127296294,chr12&57488091
274411at7742,,,chr18&14928053,chr1&20258687,chr15&88957022,
202578at7742,,,chr16&14194680,chr25&3603172,chr3&88923828,chr1&155709780
381011at7742,,chr37&21545051,chr12&48220683,chr6&12233425,chr10&61524423,chr10&70323469
78340at7742,,,chr1&4150616,chr1&151650673,chr14&110749751,chr13&85793983
77215at7742,,,chr13&514762,chr3&17672162,,
76822at7742,,,chr14&49948670,chr13&10899230,chr13&55541625,chr5&177521975
271121at7742,,,chr11&7105,chr33&7351476,chr15&102331810,chr12&53299810
271060at7742,,chr8&64740601,chr7&50881141,chr9&10760401,chr9&95559959,chr3&142962203
207153at7742,,,chr16&17551284,chr1&78338799,chr6&42265124,chr7&143288456
