name	start	end	strand	col	fill	lwd
1	1	537573865	1	4	4	0.1
2	537573866	1072526538	1	4	4	0.1
3	1072526539	1601409730	1	4	4	0.1
4	1601409731	2117883189	1	4	4	0.1
5	2117883190	2548936819	1	4	4	0.1
6	2548936820	2971609594	1	4	4	0.1
7	2971609595	3314309765	1	4	4	0.1
8	3314309766	3596980785	1	4	4	0.1
9	3596980786	3857087236	1	4	4	0.1
10	3857087237	4092449028	1	4	4	0.1
11	4092449029	4326804884	1	4	4	0.1
12	4326804885	4518669406	1	4	4	0.1
13	4518669407	4708270909	1	4	4	0.1
14	4708270910	4836923633	1	4	4	0.1
15	4836923634	4903094113	1	4	4	0.1
X	4903094114	5167271738	1	4	4	0.1
Y	5167271739	5178571775	1	4	4	0.1
1	1	537573865	1	1	4	0.1
2	537573866	1072526538	1	1	4	0.1
3	1072526539	1601409730	1	1	4	0.1
4	1601409731	2117883189	1	1	4	0.1
5	2117883190	2548936819	1	1	4	0.1
6	2548936820	2971609594	1	1	4	0.1
7	2971609595	3314309765	1	1	4	0.1
8	3314309766	3596980785	1	1	4	0.1
9	3596980786	3857087236	1	1	4	0.1
10	3857087237	4092449028	1	1	4	0.1
11	4092449029	4326804884	1	1	4	0.1
12	4326804885	4518669406	1	1	4	0.1
13	4518669407	4708270909	1	1	4	0.1
14	4708270910	4836923633	1	1	4	0.1
15	4836923634	4903094113	1	1	4	0.1
X	4903094114	5167271738	1	1	4	0.1
Y	5167271739	5178571775	1	1	4	0.1
L	2118379241	2118379241	1	6	6	0.01
L	2118588760	2118588760	1	6	6	0.01
L	2118747076	2118747076	1	6	6	0.01
L	2118750576	2118750576	1	6	6	0.01
L	2119575985	2119575985	1	6	6	0.01
L	2120034120	2120034120	1	6	6	0.01
L	2120052256	2120052256	1	6	6	0.01
L	2122012311	2122012311	1	6	6	0.01
L	2122023004	2122023004	1	6	6	0.01
L	2122268265	2122268265	1	6	6	0.01
L	2122297872	2122297872	1	6	6	0.01
L	2122354324	2122354324	1	6	6	0.01
L	2125070462	2125070462	1	6	6	0.01
L	2128621758	2128621758	1	6	6	0.01
L	2130887560	2130887560	1	6	6	0.01
L	2131459279	2131459279	1	6	6	0.01
L	2132409236	2132409236	1	6	6	0.01
L	2133589594	2133589594	1	6	6	0.01
L	2133936687	2133936687	1	6	6	0.01
L	2134662868	2134662868	1	6	6	0.01
L	2135259315	2135259315	1	6	6	0.01
L	2140397928	2140397928	1	6	6	0.01
L	3971501736	3971501736	1	6	6	0.01
L	2146810902	2146810902	1	6	6	0.01
