chr	locus	value
chrX	78020447	chrX
aRhiBiv1_chr1	419840713	aRhiBiv1_chr1
aRhiBiv1_chr5	193516632	aRhiBiv1_chr5
aRhiBiv1_chr6	185764090	aRhiBiv1_chr6
aRhiBiv1_chr16	37390786	aRhiBiv1_chr16
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr4	9298558	bCalAnn1_chr4
bCalAnn1_chr4B	11645972	bCalAnn1_chr4B
bStrHab1_chr2	61511901	bStrHab1_chr2
bStrHab1_chr7	35065617	bStrHab1_chr7
bStrHab1_chr9	22215744	bStrHab1_chr9
bTaeGut1_chr1	57278707	bTaeGut1_chr1
bTaeGut1_chr4	35776459	bTaeGut1_chr4
bTaeGut1_chr4A	9912156	bTaeGut1_chr4A
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr10	11728320	fAnaTes1_chr10
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr14	9937500	fAnaTes1_chr14
fAnaTes1_chr21	12248170	fAnaTes1_chr21
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fArcCen1_chr3	18149332	fArcCen1_chr3
fArcCen1_chr4	19261569	fArcCen1_chr4
fArcCen1_chr10	19941491	fArcCen1_chr10
fArcCen1_chr14	19350562	fArcCen1_chr14
fArcCen1_chr20	16555437	fArcCen1_chr20
fArcCen1_chr21	17795000	fArcCen1_chr21
fArcCen1_chr22	14647140	fArcCen1_chr22
fAstCal1_chr1	20581203	fAstCal1_chr1
fAstCal1_chr2	19107848	fAstCal1_chr2
fAstCal1_chr9	17956569	fAstCal1_chr9
fAstCal1_chr10	17037060	fAstCal1_chr10
fAstCal1_chr16	17900926	fAstCal1_chr16
fAstCal1_chr19	15431565	fAstCal1_chr19
fAstCal1_chr23	21960902	fAstCal1_chr23
fCotGob3_chr3	15014497	fCotGob3_chr3
fCotGob3_chr4	14474522	fCotGob3_chr4
fCotGob3_chr10	13719134	fCotGob3_chr10
fCotGob3_chr14	12852251	fCotGob3_chr14
fCotGob3_chr20	8799899	fCotGob3_chr20
fCotGob3_chr21	12052396	fCotGob3_chr21
fCotGob3_chr22	11304556	fCotGob3_chr22
fCotGob3_fCotGob3_170arrow_ctg1	109397	fCotGob3_fCotGob3_170arrow_ctg1
fCotGob3_fCotGob3_187arrow_ctg1	31959	fCotGob3_fCotGob3_187arrow_ctg1
fGouWil2_chr3	23028778	fGouWil2_chr3
fGouWil2_chr4	21900578	fGouWil2_chr4
fGouWil2_chr10	21485044	fGouWil2_chr10
fGouWil2_chr14	18400844	fGouWil2_chr14
fGouWil2_chr20	14393881	fGouWil2_chr20
fGouWil2_chr21	19489022	fGouWil2_chr21
fGouWil2_chr22	17338308	fGouWil2_chr22
fMasArm1_chr3	14065036	fMasArm1_chr3
fMasArm1_chr4	13906038	fMasArm1_chr4
fMasArm1_chr10	14562035	fMasArm1_chr10
fMasArm1_chr14	12403600	fMasArm1_chr14
fMasArm1_chr20	10031731	fMasArm1_chr20
fMasArm1_chr21	14366162	fMasArm1_chr21
fMasArm1_chr22	11643006	fMasArm1_chr22
fMasArm1_Contig162arrow_ctg1	243831	fMasArm1_Contig162arrow_ctg1
fMasArm1_Super_Scaffold_26_ctg1	1211863	fMasArm1_Super_Scaffold_26_ctg1
mLynCan4_chrC1	110477330	mLynCan4_chrC1
mLynCan4_chrX	61040683	mLynCan4_chrX
mOrnAna1_chr6	25746746	mOrnAna1_chr6
mOrnAna1_chr15	13187509	mOrnAna1_chr15
mOrnAna1_chr18	22342250	mOrnAna1_chr18
mPhyDis1_chr6	85871431	mPhyDis1_chr6
mPhyDis1_chrX	53671095	mPhyDis1_chrX
mRhiFer1_chr13	35704782	mRhiFer1_chr13
mRhiFer1_chrX	62466689	mRhiFer1_chrX
rGopEvg1_chr1	185167572	rGopEvg1_chr1
rGopEvg1_chr5	73712574	rGopEvg1_chr5
rGopEvg1_chr9	54463965	rGopEvg1_chr9
sAmbRad1_chr1	96584152	sAmbRad1_chr1
sAmbRad1_chr12	31434652	sAmbRad1_chr12
sAmbRad1_chr14	30446330	sAmbRad1_chr14
