chr1	po1	gene1	chr2	po2	gene2
chr1	1082893	EOG090B0LIR	chr5	19909942	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr7	7860411	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chr5	13114865	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr7	8009531	EOG090B03H1
chr1	2019424	EOG090B07C7	chr7	27650405	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr7	24365135	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr7	35711999	EOG090B0D29
chr1	3625073	EOG090B0DVR	chr7	24319886	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr7	24324215	EOG090B05QE
chr1	3781088	EOG090B060G	chr7	26976105	EOG090B060G
chr1	3815402	EOG090B027C	chr7	26980514	EOG090B027C
chr1	3857604	EOG090B099H	chr7	27031719	EOG090B099H
chr1	6225080	EOG090B0BYH	chr7	36100896	EOG090B0BYH
chr1	6525854	EOG090B066X	chr7	7602581	EOG090B066X
chr1	8324330	EOG090B03E1	chr5	22392547	EOG090B03E1
chr1	9588931	EOG090B06F2	chr7	22314255	EOG090B06F2
chr1	9930399	EOG090B0ILM	chr7	22460809	EOG090B0ILM
chr1	10461490	EOG090B098N	chr7	22869461	EOG090B098N
chr1	11066718	EOG090B01UK	chr7	22950208	EOG090B01UK
chr1	11273532	EOG090B09M4	chr7	28164337	EOG090B09M4
chr1	11674775	EOG090B0DNB	chr7	27837866	EOG090B0DNB
chr1	12021727	EOG090B0932	chr5	22320134	EOG090B0932
chr1	15701941	EOG090B01DA	chr7	28006733	EOG090B01DA
chr1	19339530	EOG090B08IR	chr5	18512620	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr7	29044174	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr7	28271689	EOG090B09XF
chr1	20652379	EOG090B0651	chr7	28001500	EOG090B0651
chr1	20744797	EOG090B076T	chr5	29659775	EOG090B076T
chr1	21679417	EOG090B014N	chr5	480581	EOG090B014N
chr1	23030397	EOG090B02B1	chr22	15262597	EOG090B02B1
chr1	25821900	EOG090B0C5W	chr22	13827543	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr22	13861232	EOG090B0GZR
chr1	26282299	EOG090B07YS	chr16	18805586	EOG090B07YS
chr1	26432946	EOG090B08EA	chr16	31773241	EOG090B08EA
chr1	26790816	EOG090B05U9	chr16	18905858	EOG090B05U9
chr1	26891010	EOG090B066W	chr16	18876458	EOG090B066W
chr1	26921849	EOG090B0CH3	chr11	29602150	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr16	18831142	EOG090B02Y1
chr1	27935184	EOG090B065U	chr16	29250485	EOG090B065U
chr1	28330663	EOG090B0DRP	chr16	29209601	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr16	19030671	EOG090B07B6
chr1	32222442	EOG090B08H1	chr11	26765455	EOG090B08H1
chr1	35559125	EOG090B04N6	chr11	10156134	EOG090B04N6
chr1	35736496	EOG090B01JZ	chr11	10333970	EOG090B01JZ
chr1	36084922	EOG090B0769	chr11	8991865	EOG090B0769
chr1	36088905	EOG090B0AA8	chr22	24862177	EOG090B0AA8
chr1	36341755	EOG090B06G7	chr16	29904682	EOG090B06G7
chr1	37501254	EOG090B0K2H	chr11	10051683	EOG090B0K2H
chr1	37537748	EOG090B0C4X	chr16	30140619	EOG090B0C4X
chr1	37803925	EOG090B0G4S	chr16	29291220	EOG090B0G4S
chr1	39841744	EOG090B065A	chr11	25204277	EOG090B065A
chr1	40391348	EOG090B09F3	chr11	22457073	EOG090B09F3
chr1	42430736	EOG090B07R4	chr7	23689987	EOG090B07R4
chr1	43164443	EOG090B0BON	chr4	9816120	EOG090B0BON
chr1	43375683	EOG090B0COA	chr4	1162975	EOG090B0COA
chr1	43451019	EOG090B0B6W	chr4	3569668	EOG090B0B6W
chr1	43970176	EOG090B08RF	chr20	13690630	EOG090B08RF
chr1	44213754	EOG090B06WO	chr4	19438664	EOG090B06WO
chr1	44654559	EOG090B0DK8	chr17	6499729	EOG090B0DK8
chr1	45012266	EOG090B08C2	chr17	6296043	EOG090B08C2
chr1	45331125	EOG090B04FN	chr4	23371554	EOG090B04FN
chr1	45340253	EOG090B05A9	chr17	6480775	EOG090B05A9
chr1	45500333	EOG090B0ES0	chr4	26725982	EOG090B0ES0
chr1	46189270	EOG090B02YV	chr4	31972381	EOG090B02YV
chr1	46248406	EOG090B02KB	chr16	23469980	EOG090B02KB
chr1	46635776	EOG090B0BA1	chr4	31057560	EOG090B0BA1
chr1	52687720	EOG090B0CBQ	chr4	26803916	EOG090B0CBQ
chr1	53069856	EOG090B05IS	chr4	1236787	EOG090B05IS
chr1	53951922	EOG090B06X6	chr17	24727376	EOG090B06X6
chr1	54054333	EOG090B0E8F	chr17	24719909	EOG090B0E8F
chr1	54132968	EOG090B04IK	chr17	24705765	EOG090B04IK
chr1	54200244	EOG090B07JY	chr17	5952674	EOG090B07JY
chr1	54852233	EOG090B04CY	chr4	28062325	EOG090B04CY
chr1	55069045	EOG090B004X	chr4	27998406	EOG090B004X
chr1	58486087	EOG090B06T4	chr4	27472406	EOG090B06T4
chr1	58659997	EOG090B01ON	chr4	27461965	EOG090B01ON
chr1	62437245	EOG090B06NX	chr4	10195696	EOG090B06NX
chr1	63525573	EOG090B03RD	chr4	10464867	EOG090B03RD
chr1	66930392	EOG090B07BU	chr9	10221726	EOG090B07BU
chr1	77913642	EOG090B067T	chr4	19296293	EOG090B067T
chr1	78492744	EOG090B08IQ	chr4	23143533	EOG090B08IQ
chr1	84365421	EOG090B08GT	chr4	18707048	EOG090B08GT
chr1	85267627	EOG090B0HS9	chr17	21431466	EOG090B0HS9
chr1	85321452	EOG090B0B52	chr4	9643090	EOG090B0B52
chr1	85670175	EOG090B088A	chr4	9527806	EOG090B088A
chr1	87332016	EOG090B0JIN	chr4	36950118	EOG090B0JIN
chr1	88853213	EOG090B09U6	chr19	29274057	EOG090B09U6
chr1	92299074	EOG090B03Z3	chr17	11789949	EOG090B03Z3
chr1	94446969	EOG090B037M	chr20	8985728	EOG090B037M
chr1	108648566	EOG090B08CP	chr4	8304299	EOG090B08CP
chr1	110363766	EOG090B071D	chr7	21374572	EOG090B071D
chr1	111187605	EOG090B05WB	chr7	35655396	EOG090B05WB
chr1	113895065	EOG090B0596	chr7	34960610	EOG090B0596
chr1	117870569	EOG090B055C	chr21	29163304	EOG090B055C
chr1	117933320	EOG090B01TU	chr21	29129069	EOG090B01TU
chr1	119025531	EOG090B08R0	chr21	28974233	EOG090B08R0
