chr1	po1	gene1	chr2	po2	gene2
chr1	1082893	EOG090B0LIR	chr18	14489785	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr18	14788155	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chr18	15268702	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr18	15338550	EOG090B03H1
chr1	2019424	EOG090B07C7	chr18	16935820	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr18	17652667	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr18	17666310	EOG090B0D29
chr1	3625073	EOG090B0DVR	chr18	19282237	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr18	19290292	EOG090B05QE
chr1	3781088	EOG090B060G	chr18	19468169	EOG090B060G
chr1	3815402	EOG090B027C	chr18	19494670	EOG090B027C
chr1	3857604	EOG090B099H	chr18	19523546	EOG090B099H
chr1	6225080	EOG090B0BYH	chr18	20988954	EOG090B0BYH
chr1	6525854	EOG090B066X	chr18	21459249	EOG090B066X
chr1	8324330	EOG090B03E1	chr18	22856983	EOG090B03E1
chr1	9588931	EOG090B06F2	chr18	12449120	EOG090B06F2
chr1	9930399	EOG090B0ILM	chr18	12165078	EOG090B0ILM
chr1	10461490	EOG090B098N	chr18	11850604	EOG090B098N
chr1	11066718	EOG090B01UK	chr18	11230961	EOG090B01UK
chr1	11273532	EOG090B09M4	chr18	11121408	EOG090B09M4
chr1	11674775	EOG090B0DNB	chr18	10781666	EOG090B0DNB
chr1	12021727	EOG090B0932	chr18	10479921	EOG090B0932
chr1	15701941	EOG090B01DA	chr18	5130254	EOG090B01DA
chr1	19339530	EOG090B08IR	chr18	7983010	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr18	8221156	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr18	8293969	EOG090B09XF
chr1	20652379	EOG090B0651	chr18	5020883	EOG090B0651
chr1	20744797	EOG090B076T	chr18	92409	EOG090B076T
chr1	21679417	EOG090B014N	chr18	1426402	EOG090B014N
chr1	23030397	EOG090B02B1	chr20	19206071	EOG090B02B1
chr1	25821900	EOG090B0C5W	chr20	9378959	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr20	9655013	EOG090B0GZR
chr1	26282299	EOG090B07YS	chr20	9729836	EOG090B07YS
chr1	26432946	EOG090B08EA	chr20	9917703	EOG090B08EA
chr1	26790816	EOG090B05U9	chr20	10239264	EOG090B05U9
chr1	26891010	EOG090B066W	chr20	10340660	EOG090B066W
chr1	26921849	EOG090B0CH3	chr20	10361263	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr20	10618981	EOG090B02Y1
chr1	27935184	EOG090B065U	chr20	18482237	EOG090B065U
chr1	28330663	EOG090B0DRP	chr6	88631021	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr20	11373357	EOG090B07B6
chr1	32222442	EOG090B08H1	chr20	6781539	EOG090B08H1
chr1	35559125	EOG090B04N6	chr20	3752033	EOG090B04N6
chr1	35736496	EOG090B01JZ	chr20	3451919	EOG090B01JZ
chr1	36084922	EOG090B0769	chr20	3280966	EOG090B0769
chr1	36088905	EOG090B0AA8	chr20	3273724	EOG090B0AA8
chr1	36341755	EOG090B06G7	chr20	2773918	EOG090B06G7
chr1	37501254	EOG090B0K2H	chr20	1672112	EOG090B0K2H
chr1	37537748	EOG090B0C4X	chr20	1658923	EOG090B0C4X
chr1	37803925	EOG090B0G4S	chr20	1107568	EOG090B0G4S
chr1	39841744	EOG090B065A	chr20	7872644	EOG090B065A
chr1	40391348	EOG090B09F3	chr20	5455004	EOG090B09F3
chr1	42430736	EOG090B07R4	chr18	2790422	EOG090B07R4
chr1	43164443	EOG090B0BON	chr8	113896119	EOG090B0BON
chr1	43375683	EOG090B0COA	chr8	113360749	EOG090B0COA
chr1	43451019	EOG090B0B6W	chr8	113273490	EOG090B0B6W
chr1	43970176	EOG090B08RF	chr8	111756722	EOG090B08RF
chr1	44213754	EOG090B06WO	chr8	111400391	EOG090B06WO
chr1	44654559	EOG090B0DK8	chr8	110680794	EOG090B0DK8
chr1	45012266	EOG090B08C2	chr8	109960695	EOG090B08C2
chr1	45331125	EOG090B04FN	chr8	109726372	EOG090B04FN
chr1	45340253	EOG090B05A9	chr8	109712381	EOG090B05A9
chr1	45500333	EOG090B0ES0	chr8	109492786	EOG090B0ES0
chr1	46189270	EOG090B02YV	chr8	108216356	EOG090B02YV
chr1	46248406	EOG090B02KB	chr8	107964583	EOG090B02KB
chr1	46635776	EOG090B0BA1	chr8	107274322	EOG090B0BA1
chr1	52687720	EOG090B0CBQ	chr8	102220860	EOG090B0CBQ
chr1	53069856	EOG090B05IS	chr8	102035271	EOG090B05IS
chr1	53951922	EOG090B06X6	chr8	100893535	EOG090B06X6
chr1	54054333	EOG090B0E8F	chr8	100830210	EOG090B0E8F
chr1	54132968	EOG090B04IK	chr8	100758010	EOG090B04IK
chr1	54200244	EOG090B07JY	chr8	100718391	EOG090B07JY
chr1	54852233	EOG090B04CY	chr8	100254050	EOG090B04CY
chr1	55069045	EOG090B004X	chr8	100022959	EOG090B004X
chr1	58486087	EOG090B06T4	chr8	98168578	EOG090B06T4
chr1	58659997	EOG090B01ON	chr8	98110954	EOG090B01ON
chr1	62437245	EOG090B06NX	chr8	96049958	EOG090B06NX
chr1	63525573	EOG090B03RD	chr8	95386544	EOG090B03RD
chr1	66930392	EOG090B07BU	chr8	93466057	EOG090B07BU
chr1	77913642	EOG090B067T	chr8	87777052	EOG090B067T
chr1	78492744	EOG090B08IQ	chr8	87376565	EOG090B08IQ
chr1	84365421	EOG090B08GT	chr8	84060648	EOG090B08GT
chr1	85267627	EOG090B0HS9	chr8	83403851	EOG090B0HS9
chr1	85321452	EOG090B0B52	chr8	83347860	EOG090B0B52
chr1	85670175	EOG090B088A	chr8	83135070	EOG090B088A
chr1	87332016	EOG090B0JIN	chr8	82067846	EOG090B0JIN
chr1	88853213	EOG090B09U6	chr8	81159737	EOG090B09U6
chr1	92299074	EOG090B03Z3	chr8	79272250	EOG090B03Z3
chr1	94446969	EOG090B037M	chr8	77894315	EOG090B037M
chr1	108648566	EOG090B08CP	chr8	70341460	EOG090B08CP
chr1	110363766	EOG090B071D	chr4	135844442	EOG090B071D
chr1	111187605	EOG090B05WB	chr4	133107454	EOG090B05WB
chr1	113895065	EOG090B0596	chr4	148600131	EOG090B0596
chr1	117870569	EOG090B055C	chr1	212877438	EOG090B055C
chr1	117933320	EOG090B01TU	chr1	212929003	EOG090B01TU
chr1	119025531	EOG090B08R0	chr1	213850678	EOG090B08R0
chr1	156054890	EOG090B0HV2	chr24	4728848	EOG090B0HV2
chr1	161749802	EOG090B0G4H	chr1	212773759	EOG090B0G4H
chr1	166857567	EOG090B0A6X	chr8	46759649	EOG090B0A6X
chr1	167093732	EOG090B01NJ	chr1	190186084	EOG090B01NJ
chr1	168179078	EOG090B0DRM	chr1	203784492	EOG090B0DRM
chr1	169298520	EOG090B084C	chr1	204447900	EOG090B084C
chr1	169853713	EOG090B03IN	chr8	49074235	EOG090B03IN
chr1	170532224	EOG090B0F6W	chr8	48662058	EOG090B0F6W
chr1	171781968	EOG090B052Y	chr8	47885161	EOG090B052Y
chr1	173800448	EOG090B0AEM	chr8	50862087	EOG090B0AEM
chr1	179330295	EOG090B04MQ	chr8	54755876	EOG090B04MQ
chr1	185084758	EOG090B0BPK	chr8	58976397	EOG090B0BPK
chr1	185120019	EOG090B02JJ	chr8	59011165	EOG090B02JJ
chr1	185298035	EOG090B03BE	chr8	59177713	EOG090B03BE
chr1	193016351	EOG090B099U	chr8	64586975	EOG090B099U
chr1	193180294	EOG090B06JA	chr8	64771772	EOG090B06JA
chr1	204506901	EOG090B05MV	chr4	141588706	EOG090B05MV
chr1	205042114	EOG090B01JB	chr4	142109007	EOG090B01JB
chr1	205094743	EOG090B04NX	chr4	142177081	EOG090B04NX
chr1	205228565	EOG090B052S	chr4	142273158	EOG090B052S
chr1	205616546	EOG090B09Y2	chr4	142755155	EOG090B09Y2
chr1	207049020	EOG090B09PR	chr4	144017849	EOG090B09PR
chr1	211479036	EOG090B0EQJ	chr3	180886882	EOG090B0EQJ
chr1	211749899	EOG090B07FH	chr3	180468063	EOG090B07FH
chr1	211941824	EOG090B01LW	chr3	180365875	EOG090B01LW
chr1	212365215	EOG090B0870	chr3	180134437	EOG090B0870
chr1	214613755	EOG090B028F	chr3	178890643	EOG090B028F
chr1	222558660	EOG090B06LN	chr3	173224021	EOG090B06LN
chr1	224356925	EOG090B0GJT	chr3	172167125	EOG090B0GJT
chr1	226361460	EOG090B0KEX	chr3	170400973	EOG090B0KEX
chr1	228165817	EOG090B0BOM	chr2	6517814	EOG090B0BOM
chr1	230642607	EOG090B039X	chr3	141342815	EOG090B039X
chr1	230979106	EOG090B0ALZ	chr3	141053652	EOG090B0ALZ
chr1	231338384	EOG090B06ND	chr3	142577052	EOG090B06ND
chr1	231521285	EOG090B0A3R	chr3	142702074	EOG090B0A3R
chr1	232954548	EOG090B0FBA	chr3	143958277	EOG090B0FBA
