name	start	end	strand	col	fill	lwd
1	1	411808693	1	4	4	0.1
2	411808694	734943315	1	4	4	0.1
3	734943316	1014889412	1	4	4	0.1
4	1014889413	1274581950	1	4	4	0.1
5	1274581951	1521100645	1	4	4	0.1
6	1521100646	1744787423	1	4	4	0.1
7	1744787424	1938834832	1	4	4	0.1
8	1938834833	2117131818	1	4	4	0.1
9	2117131819	2277723166	1	4	4	0.1
10	2277723167	2427155718	1	4	4	0.1
11	2427155719	2567997923	1	4	4	0.1
12	2567997924	2702026774	1	4	4	0.1
13	2702026775	2834315224	1	4	4	0.1
14	2834315225	2964130137	1	4	4	0.1
15	2964130138	3091804878	1	4	4	0.1
16	3091804879	3204567643	1	4	4	0.1
17	3204567644	3313230617	1	4	4	0.1
18	3313230618	3419292355	1	4	4	0.1
19	3419292356	3520963789	1	4	4	0.1
20	3520963790	3620637064	1	4	4	0.1
21	3620637065	3714383789	1	4	4	0.1
22	3714383790	3807734698	1	4	4	0.1
23	3807734699	3897594823	1	4	4	0.1
24	3897594824	3984058414	1	4	4	0.1
25	3984058415	4065580403	1	4	4	0.1
26	4065580404	4145388933	1	4	4	0.1
27	4145388934	4224099271	1	4	4	0.1
28	4224099272	4301744830	1	4	4	0.1
29	4301744831	4375638271	1	4	4	0.1
30	4375638272	4446707558	1	4	4	0.1
31	4446707559	4515414466	1	4	4	0.1
32	4515414467	4581919917	1	4	4	0.1
33	4581919918	4646498717	1	4	4	0.1
34	4646498718	4703564898	1	4	4	0.1
37	4703564899	4751633667	1	4	4	0.1
38	4751633668	4793184625	1	4	4	0.1
39	4793184626	4832418902	1	4	4	0.1
41	4832418903	4867928453	1	4	4	0.1
43	4867928454	4896571897	1	4	4	0.1
44	4896571898	4930816044	1	4	4	0.1
46	4930816045	4949306851	1	4	4	0.1
35	4949306852	5000470453	1	4	4	0.1
42	5000470454	5017617718	1	4	4	0.1
36	5017617719	5067627853	1	4	4	0.1
45	5067627854	5100883441	1	4	4	0.1
47	5100883442	5118062672	1	4	4	0.1
49	5118062673	5126154222	1	4	4	0.1
40	5126154223	5163809992	1	4	4	0.1
48	5163809993	5178571760	1	4	4	0.1
1	1	411808693	1	1	4	0.1
2	411808694	734943315	1	1	4	0.1
3	734943316	1014889412	1	1	4	0.1
4	1014889413	1274581950	1	1	4	0.1
5	1274581951	1521100645	1	1	4	0.1
6	1521100646	1744787423	1	1	4	0.1
7	1744787424	1938834832	1	1	4	0.1
8	1938834833	2117131818	1	1	4	0.1
9	2117131819	2277723166	1	1	4	0.1
10	2277723167	2427155718	1	1	4	0.1
11	2427155719	2567997923	1	1	4	0.1
12	2567997924	2702026774	1	1	4	0.1
13	2702026775	2834315224	1	1	4	0.1
14	2834315225	2964130137	1	1	4	0.1
15	2964130138	3091804878	1	1	4	0.1
16	3091804879	3204567643	1	1	4	0.1
17	3204567644	3313230617	1	1	4	0.1
18	3313230618	3419292355	1	1	4	0.1
19	3419292356	3520963789	1	1	4	0.1
20	3520963790	3620637064	1	1	4	0.1
21	3620637065	3714383789	1	1	4	0.1
22	3714383790	3807734698	1	1	4	0.1
23	3807734699	3897594823	1	1	4	0.1
24	3897594824	3984058414	1	1	4	0.1
25	3984058415	4065580403	1	1	4	0.1
