name	start	end	strand	col	fill	lwd
1	1	245585701	1	4	4	0.1
2	245585702	438289848	1	4	4	0.1
3	438289849	605238142	1	4	4	0.1
4	605238143	760108049	1	4	4	0.1
5	760108050	907121620	1	4	4	0.1
6	907121621	1040519178	1	4	4	0.1
7	1040519179	1156241041	1	4	4	0.1
8	1156241042	1262570002	1	4	4	0.1
9	1262570003	1358340051	1	4	4	0.1
10	1358340052	1447455455	1	4	4	0.1
11	1447455456	1531447931	1	4	4	0.1
12	1531447932	1611377204	1	4	4	0.1
13	1611377205	1690268573	1	4	4	0.1
14	1690268574	1767684827	1	4	4	0.1
15	1767684828	1843824771	1	4	4	0.1
16	1843824772	1911071828	1	4	4	0.1
17	1911071829	1975873939	1	4	4	0.1
18	1975873940	2039124781	1	4	4	0.1
19	2039124782	2099757426	1	4	4	0.1
20	2099757427	2159198452	1	4	4	0.1
21	2159198453	2215105128	1	4	4	0.1
22	2215105129	2270775755	1	4	4	0.1
23	2270775756	2324364623	1	4	4	0.1
24	2324364624	2375927939	1	4	4	0.1
25	2375927940	2424544287	1	4	4	0.1
26	2424544288	2472138799	1	4	4	0.1
27	2472138800	2519078395	1	4	4	0.1
28	2519078396	2565383000	1	4	4	0.1
29	2565383001	2609449997	1	4	4	0.1
30	2609449998	2651832785	1	4	4	0.1
31	2651832786	2692806748	1	4	4	0.1
32	2692806749	2732467853	1	4	4	0.1
33	2732467854	2770979983	1	4	4	0.1
34	2770979984	2805011897	1	4	4	0.1
35	2805011898	2835523756	1	4	4	0.1
37	2835523757	2864189985	1	4	4	0.1
38	2864189986	2888969260	1	4	4	0.1
39	2888969261	2912366963	1	4	4	0.1
41	2912366964	2933543393	1	4	4	0.1
43	2933543394	2950625160	1	4	4	0.1
44	2950625161	2971046955	1	4	4	0.1
45	2971046956	2990879215	1	4	4	0.1
46	2990879216	3001906369	1	4	4	0.1
36	3001906370	3031730348	1	4	4	0.1
40	3031730349	3054186694	1	4	4	0.1
42	3054186695	3064412615	1	4	4	0.1
47	3064412616	3074657599	1	4	4	0.1
48	3074657600	3083460908	1	4	4	0.1
49	3083460909	3088286374	1	4	4	0.1
1	1	245585701	1	1	4	0.1
2	245585702	438289848	1	1	4	0.1
3	438289849	605238142	1	1	4	0.1
4	605238143	760108049	1	1	4	0.1
5	760108050	907121620	1	1	4	0.1
6	907121621	1040519178	1	1	4	0.1
7	1040519179	1156241041	1	1	4	0.1
8	1156241042	1262570002	1	1	4	0.1
9	1262570003	1358340051	1	1	4	0.1
10	1358340052	1447455455	1	1	4	0.1
11	1447455456	1531447931	1	1	4	0.1
12	1531447932	1611377204	1	1	4	0.1
13	1611377205	1690268573	1	1	4	0.1
14	1690268574	1767684827	1	1	4	0.1
15	1767684828	1843824771	1	1	4	0.1
16	1843824772	1911071828	1	1	4	0.1
17	1911071829	1975873939	1	1	4	0.1
18	1975873940	2039124781	1	1	4	0.1
19	2039124782	2099757426	1	1	4	0.1
20	2099757427	2159198452	1	1	4	0.1
21	2159198453	2215105128	1	1	4	0.1
22	2215105129	2270775755	1	1	4	0.1
23	2270775756	2324364623	1	1	4	0.1
24	2324364624	2375927939	1	1	4	0.1
25	2375927940	2424544287	1	1	4	0.1
26	2424544288	2472138799	1	1	4	0.1
27	2472138800	2519078395	1	1	4	0.1
28	2519078396	2565383000	1	1	4	0.1
29	2565383001	2609449997	1	1	4	0.1
30	2609449998	2651832785	1	1	4	0.1
31	2651832786	2692806748	1	1	4	0.1
32	2692806749	2732467853	1	1	4	0.1
33	2732467854	2770979983	1	1	4	0.1
34	2770979984	2805011897	1	1	4	0.1
35	2805011898	2835523756	1	1	4	0.1
37	2835523757	2864189985	1	1	4	0.1
38	2864189986	2888969260	1	1	4	0.1
39	2888969261	2912366963	1	1	4	0.1
41	2912366964	2933543393	1	1	4	0.1
43	2933543394	2950625160	1	1	4	0.1
44	2950625161	2971046955	1	1	4	0.1
45	2971046956	2990879215	1	1	4	0.1
46	2990879216	3001906369	1	1	4	0.1
36	3001906370	3031730348	1	1	4	0.1
40	3031730349	3054186694	1	1	4	0.1
42	3054186695	3064412615	1	1	4	0.1
47	3064412616	3074657599	1	1	4	0.1
48	3074657600	3083460908	1	1	4	0.1
49	3083460909	3088286374	1	1	4	0.1
L	1745646	1745646	1	5	5	0.01
L	3148135	3148135	1	5	5	0.01
L	3398328	3398328	1	5	5	0.01
L	3461817	3461817	1	5	5	0.01
L	3819763	3819763	1	5	5	0.01
L	8851120	8851120	1	5	5	0.01
L	9020925	9020925	1	5	5	0.01
L	9433738	9433738	1	5	5	0.01
L	10169885	10169885	1	5	5	0.01
L	10310054	10310054	1	5	5	0.01
L	10999430	10999430	1	5	5	0.01
L	11151228	11151228	1	5	5	0.01
L	13107926	13107926	1	5	5	0.01
L	16616528	16616528	1	5	5	0.01
L	18542463	18542463	1	5	5	0.01
L	20864503	20864503	1	5	5	0.01
L	24638466	24638466	1	5	5	0.01
L	24778804	24778804	1	5	5	0.01
L	26442879	26442879	1	5	5	0.01
L	26621189	26621189	1	5	5	0.01
L	26723738	26723738	1	5	5	0.01
L	27015488	27015488	1	5	5	0.01
L	27237164	27237164	1	5	5	0.01
L	29117191	29117191	1	5	5	0.01
L	29749492	29749492	1	5	5	0.01
L	29925294	29925294	1	5	5	0.01
L	30161169	30161169	1	5	5	0.01
L	35849448	35849448	1	5	5	0.01
L	36194452	36194452	1	5	5	0.01
L	410168655	410168655	1	5	5	0.01
L	39860526	39860526	1	5	5	0.01
L	40095493	40095493	1	5	5	0.01
L	40337658	40337658	1	5	5	0.01
L	40872894	40872894	1	5	5	0.01
L	40994395	40994395	1	5	5	0.01
L	41274920	41274920	1	5	5	0.01
L	41563557	41563557	1	5	5	0.01
L	44244719	44244719	1	5	5	0.01
L	44639781	44639781	1	5	5	0.01
L	45030813	45030813	1	5	5	0.01
L	45525835	45525835	1	5	5	0.01
L	57857853	57857853	1	5	5	0.01
L	61094166	61094166	1	5	5	0.01
L	61304556	61304556	1	5	5	0.01
L	61522254	61522254	1	5	5	0.01
L	64063560	64063560	1	5	5	0.01
L	64240953	64240953	1	5	5	0.01
L	64260127	64260127	1	5	5	0.01
L	70821398	70821398	1	5	5	0.01
L	78817127	78817127	1	5	5	0.01
L	79786332	79786332	1	5	5	0.01
L	85034251	85034251	1	5	5	0.01
L	85873615	85873615	1	5	5	0.01
L	88349394	88349394	1	5	5	0.01
L	90663283	90663283	1	5	5	0.01
L	96266443	96266443	1	5	5	0.01
L	98071452	98071452	1	5	5	0.01
L	104681623	104681623	1	5	5	0.01
L	106468089	106468089	1	5	5	0.01
L	106514113	106514113	1	5	5	0.01
L	107000465	107000465	1	5	5	0.01
L	114206438	114206438	1	5	5	0.01
L	114624094	114624094	1	5	5	0.01
L	114762309	114762309	1	5	5	0.01
L	115664923	115664923	1	5	5	0.01
L	125933768	125933768	1	5	5	0.01
L	127661308	127661308	1	5	5	0.01
L	127999775	127999775	1	5	5	0.01
L	128619580	128619580	1	5	5	0.01
L	130673595	130673595	1	5	5	0.01
L	130841540	130841540	1	5	5	0.01
L	130926538	130926538	1	5	5	0.01
L	135490095	135490095	1	5	5	0.01
L	136051706	136051706	1	5	5	0.01
L	136750002	136750002	1	5	5	0.01
L	136858454	136858454	1	5	5	0.01
L	137574017	137574017	1	5	5	0.01
L	137630178	137630178	1	5	5	0.01
L	140203247	140203247	1	5	5	0.01
L	140238427	140238427	1	5	5	0.01
L	140918506	140918506	1	5	5	0.01
L	141197408	141197408	1	5	5	0.01
L	146841051	146841051	1	5	5	0.01
L	147888855	147888855	1	5	5	0.01
L	151771793	151771793	1	5	5	0.01
L	155276830	155276830	1	5	5	0.01
L	157593658	157593658	1	5	5	0.01
L	159810829	159810829	1	5	5	0.01
L	159917579	159917579	1	5	5	0.01
L	160252697	160252697	1	5	5	0.01
L	161965397	161965397	1	5	5	0.01
L	163468941	163468941	1	5	5	0.01
L	167825110	167825110	1	5	5	0.01
L	170012514	170012514	1	5	5	0.01
L	170056874	170056874	1	5	5	0.01
L	170141890	170141890	1	5	5	0.01
L	170486321	170486321	1	5	5	0.01
L	172444807	172444807	1	5	5	0.01
L	177749997	177749997	1	5	5	0.01
L	177908487	177908487	1	5	5	0.01
L	180285105	180285105	1	5	5	0.01
L	180441597	180441597	1	5	5	0.01
L	181163096	181163096	1	5	5	0.01
L	188626421	188626421	1	5	5	0.01
L	190666652	190666652	1	5	5	0.01
L	190758097	190758097	1	5	5	0.01
L	192855399	192855399	1	5	5	0.01
L	194850088	194850088	1	5	5	0.01
L	202509744	202509744	1	5	5	0.01
L	206171615	206171615	1	5	5	0.01
L	206252415	206252415	1	5	5	0.01
L	208246737	208246737	1	5	5	0.01
L	210458266	210458266	1	5	5	0.01
L	213756879	213756879	1	5	5	0.01
L	213823459	213823459	1	5	5	0.01
L	213900972	213900972	1	5	5	0.01
L	214319686	214319686	1	5	5	0.01
L	215412446	215412446	1	5	5	0.01
L	219071932	219071932	1	5	5	0.01
L	222393903	222393903	1	5	5	0.01
L	234246751	234246751	1	5	5	0.01
L	237891264	237891264	1	5	5	0.01
L	250616724	250616724	1	7	7	0.01
L	252969271	252969271	1	7	7	0.01
L	264355548	264355548	1	7	7	0.01
L	267443511	267443511	1	7	7	0.01
L	268947764	268947764	1	7	7	0.01
L	269016567	269016567	1	7	7	0.01
L	269718723	269718723	1	7	7	0.01
L	270982691	270982691	1	7	7	0.01
L	272982585	272982585	1	7	7	0.01
L	273035068	273035068	1	7	7	0.01
L	274208112	274208112	1	7	7	0.01
L	274530809	274530809	1	7	7	0.01
L	274596759	274596759	1	7	7	0.01
L	275077977	275077977	1	7	7	0.01
L	276735508	276735508	1	7	7	0.01
L	277157757	277157757	1	7	7	0.01
L	281195377	281195377	1	7	7	0.01
L	283441468	283441468	1	7	7	0.01
L	285624250	285624250	1	7	7	0.01
L	285889192	285889192	1	7	7	0.01
L	286034958	286034958	1	7	7	0.01
L	287470687	287470687	1	7	7	0.01
L	293310302	293310302	1	7	7	0.01
L	293391734	293391734	1	7	7	0.01
L	306351072	306351072	1	7	7	0.01
L	306679341	306679341	1	7	7	0.01
L	308526705	308526705	1	7	7	0.01
L	308954036	308954036	1	7	7	0.01
L	309166796	309166796	1	7	7	0.01
L	311497703	311497703	1	7	7	0.01
L	311699241	311699241	1	7	7	0.01
L	311727644	311727644	1	7	7	0.01
L	311796233	311796233	1	7	7	0.01
L	312115337	312115337	1	7	7	0.01
L	317479034	317479034	1	7	7	0.01
L	317737950	317737950	1	7	7	0.01
L	319097113	319097113	1	7	7	0.01
L	327381964	327381964	1	7	7	0.01
L	328749955	328749955	1	7	7	0.01
L	328962815	328962815	1	7	7	0.01
L	333529483	333529483	1	7	7	0.01
L	336520699	336520699	1	7	7	0.01
L	338197177	338197177	1	7	7	0.01
L	338437602	338437602	1	7	7	0.01
L	339399454	339399454	1	7	7	0.01
L	339428141	339428141	1	7	7	0.01
L	352043633	352043633	1	7	7	0.01
L	352927119	352927119	1	7	7	0.01
L	353010291	353010291	1	7	7	0.01
L	356058141	356058141	1	7	7	0.01
L	361672065	361672065	1	7	7	0.01
L	366444275	366444275	1	7	7	0.01
L	367362360	367362360	1	7	7	0.01
L	368424528	368424528	1	7	7	0.01
L	371925812	371925812	1	7	7	0.01
L	372210192	372210192	1	7	7	0.01
L	372630532	372630532	1	7	7	0.01
L	372787286	372787286	1	7	7	0.01
L	375232805	375232805	1	7	7	0.01
L	375354803	375354803	1	7	7	0.01
L	377444410	377444410	1	7	7	0.01
L	380522574	380522574	1	7	7	0.01
L	380719995	380719995	1	7	7	0.01
L	380826613	380826613	1	7	7	0.01
L	382061073	382061073	1	7	7	0.01
L	382998835	382998835	1	7	7	0.01
L	383858123	383858123	1	7	7	0.01
L	386467540	386467540	1	7	7	0.01
L	386485806	386485806	1	7	7	0.01
L	386752717	386752717	1	7	7	0.01
L	387114464	387114464	1	7	7	0.01
L	392805584	392805584	1	7	7	0.01
L	397672602	397672602	1	7	7	0.01
L	398708436	398708436	1	7	7	0.01
L	400067557	400067557	1	7	7	0.01
L	400987929	400987929	1	7	7	0.01
L	401351847	401351847	1	7	7	0.01
L	402326935	402326935	1	7	7	0.01
L	402809864	402809864	1	7	7	0.01
L	404650215	404650215	1	7	7	0.01
L	408864903	408864903	1	7	7	0.01
L	410368105	410368105	1	7	7	0.01
L	410569995	410569995	1	7	7	0.01
L	414940860	414940860	1	7	7	0.01
L	418743098	418743098	1	7	7	0.01
L	421145312	421145312	1	7	7	0.01
L	427915528	427915528	1	7	7	0.01
L	429060162	429060162	1	7	7	0.01
L	429136731	429136731	1	7	7	0.01
L	429179486	429179486	1	7	7	0.01
L	430858008	430858008	1	7	7	0.01
L	430998259	430998259	1	7	7	0.01
L	437438242	437438242	1	7	7	0.01
L	439902225	439902225	1	8	8	0.01
L	448034885	448034885	1	8	8	0.01
L	453396065	453396065	1	8	8	0.01
L	453538985	453538985	1	8	8	0.01
L	453663248	453663248	1	8	8	0.01
L	455160828	455160828	1	8	8	0.01
L	456120932	456120932	1	8	8	0.01
L	458900370	458900370	1	8	8	0.01
L	463562646	463562646	1	8	8	0.01
L	464898781	464898781	1	8	8	0.01
L	466627322	466627322	1	8	8	0.01
L	466683702	466683702	1	8	8	0.01
L	472016441	472016441	1	8	8	0.01
L	474072145	474072145	1	8	8	0.01
L	475085624	475085624	1	8	8	0.01
L	478295879	478295879	1	8	8	0.01
L	488251675	488251675	1	8	8	0.01
L	488423790	488423790	1	8	8	0.01
L	490155370	490155370	1	8	8	0.01
L	491769511	491769511	1	8	8	0.01
L	493159381	493159381	1	8	8	0.01
L	493211434	493211434	1	8	8	0.01
L	493432817	493432817	1	8	8	0.01
L	493763535	493763535	1	8	8	0.01
L	497323184	497323184	1	8	8	0.01
L	498388771	498388771	1	8	8	0.01
L	502612424	502612424	1	8	8	0.01
L	503593351	503593351	1	8	8	0.01
L	503684324	503684324	1	8	8	0.01
L	504906803	504906803	1	8	8	0.01
L	504980547	504980547	1	8	8	0.01
L	506569453	506569453	1	8	8	0.01
L	506637092	506637092	1	8	8	0.01
L	511322052	511322052	1	8	8	0.01
L	511787850	511787850	1	8	8	0.01
L	513572969	513572969	1	8	8	0.01
L	515783007	515783007	1	8	8	0.01
L	516971829	516971829	1	8	8	0.01
L	517121497	517121497	1	8	8	0.01
L	518207187	518207187	1	8	8	0.01
L	519323403	519323403	1	8	8	0.01
L	521807981	521807981	1	8	8	0.01
L	528300428	528300428	1	8	8	0.01
L	530170237	530170237	1	8	8	0.01
L	532041288	532041288	1	8	8	0.01
L	532870738	532870738	1	8	8	0.01
L	533964893	533964893	1	8	8	0.01
L	534269770	534269770	1	8	8	0.01
L	535520917	535520917	1	8	8	0.01
L	536010205	536010205	1	8	8	0.01
L	536281586	536281586	1	8	8	0.01
L	537029963	537029963	1	8	8	0.01
L	537603121	537603121	1	8	8	0.01
L	537750886	537750886	1	8	8	0.01
L	537806660	537806660	1	8	8	0.01
L	538062501	538062501	1	8	8	0.01
L	543758987	543758987	1	8	8	0.01
L	548291915	548291915	1	8	8	0.01
