# BUSCO version is: 4.1.2 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2020-09-10, number of species: 3354, number of BUSCOs: 67)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
173at7742	Complete	chr5	48697318	48833627	6033.1	4347	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	chr23	21278702	21376367	8788.3	4323	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	chr9	17040086	17240196	7769.8	3784	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	chr15	9370988	9419171	7298.2	3922	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	chr23	21710988	21774109	5810.3	3266	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Fragmented	chr7	72465379	72541535	5407.8	2756	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	chr24	32018577	32147937	4338.0	2910	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	chr12	17933775	18104154	7042.7	3298	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Fragmented	chr18	50864520	50872663	1445.3	914	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	chr3	31105696	31158259	5447.0	3012	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	chr6	2465999	2616746	3799.2	2344	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	chr1	53568296	53654140	5560.2	2640	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Fragmented	chr13	49867268	49971630	3390.8	1809	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	chr4	18456132	18501430	2082.4	1882	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	chr1	41276702	41378408	3693.8	2142	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	chr5	31037052	31107927	3949.6	2282	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	chr22	23547005	23582353	3334.9	3503	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Complete	chr8	46085411	46317188	4458.6	2171	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Complete	chr2	16384516	16449366	3387.8	1960	https://www.orthodb.org/v10?query=4372at7742	serine/threonine-protein kinase ATR
4443at7742	Complete	chr8	3522766	3643374	4188.9	2299	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	chr15	28234885	28273994	5135.8	2167	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	chr25	1088886	1110760	1227.1	928	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	chr5	41582643	41640158	3192.9	1961	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	chr20	7443224	7556555	3705.3	1949	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Complete	chr17	28675221	28700446	4330.2	2094	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5465at7742	Complete	chr15	21534577	21669514	3066.8	1788	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Missing
5604at7742	Complete	chr25	35611089	35664664	2738.1	1953	https://www.orthodb.org/v10?query=5604at7742	leucine-rich repeat serine/threonine-protein kinase 2
5938at7742	Complete	chr4	5868034	5906388	2929.5	1921	https://www.orthodb.org/v10?query=5938at7742	small subunit processome component 20 homolog
5981at7742	Fragmented	KN149841.1	8033	9861	199.5	91	https://www.orthodb.org/v10?query=5981at7742	dnaJ homolog subfamily C member 13 isoform X1
6108at7742	Complete	chr5	12743785	12804752	3618.1	1816	https://www.orthodb.org/v10?query=6108at7742	DNA polymerase epsilon catalytic subunit A
6126at7742	Complete	chr16	33062856	33095161	3201.2	1775	https://www.orthodb.org/v10?query=6126at7742	Dopey family member 1
6253at7742	Complete	chr9	22780215	22801904	1403.7	1138	https://www.orthodb.org/v10?query=6253at7742	Replication timing regulatory factor 1
6305at7742	Complete	chr16	52542550	52646789	4680.0	2342	https://www.orthodb.org/v10?query=6305at7742	Ubiquitin protein ligase E3 component n-recognin 5
6701at7742	Complete	chr20	32905833	33174899	2897.4	1730	https://www.orthodb.org/v10?query=6701at7742	neuroblastoma-amplified sequence
7000at7742	Complete	chr13	2442841	2498321	3340.1	1817	https://www.orthodb.org/v10?query=7000at7742	brefeldin A-inhibited guanine nucleotide-exchange protein 3
7262at7742	Complete	chr18	7150144	7227730	2869.1	2280	https://www.orthodb.org/v10?query=7262at7742	von Willebrand factor
7732at7742	Complete	chr13	33067656	33114295	2455.6	1804	https://www.orthodb.org/v10?query=7732at7742	Zinc finger FYVE-type containing 26
7768at7742	Fragmented	chr8	51871896	51928871	1649.5	998	https://www.orthodb.org/v10?query=7768at7742	calcineurin-binding protein cabin-1 isoform X1
8258at7742	Complete	chr6	39669226	39700521	1418.0	1406	https://www.orthodb.org/v10?query=8258at7742	Extra spindle pole bodies like 1, separase
8409at7742	Complete	chr15	26554729	26568278	2258.8	1402	https://www.orthodb.org/v10?query=8409at7742	WD repeat-containing protein 81
8503at7742	Complete	chr9	33158191	33194491	2916.0	1827	https://www.orthodb.org/v10?query=8503at7742	Dopey family member 2
8757at7742	Complete	chr9	32074453	32103851	3233.6	1617	https://www.orthodb.org/v10?query=8757at7742	Phosphoinositide kinase, FYVE-type zinc finger containing
8766at7742	Complete	chr24	15132233	15263024	1929.4	1515	https://www.orthodb.org/v10?query=8766at7742	rotatin
8874at7742	Complete	chr12	9620245	9698536	2581.5	1721	https://www.orthodb.org/v10?query=8874at7742	HEAT repeat-containing protein 1
8995at7742	Complete	chr15	5632666	5720583	2163.7	1693	https://www.orthodb.org/v10?query=8995at7742	nucleolar pre-ribosomal-associated protein 1
9110at7742	Complete	chr13	47011662	47175415	2960.6	1616	https://www.orthodb.org/v10?query=9110at7742	anaphase-promoting complex subunit 1
9484at7742	Duplicated	chr18	46056304	46147966	2827.5	1595	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9484at7742	Duplicated	chr11	43135198	43202601	2554.6	1962	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9579at7742	Complete	chr24	21182470	21201983	1563.0	2069	https://www.orthodb.org/v10?query=9579at7742	Upstream transcription factor family member 3
9683at7742	Complete	chr15	16119624	16176298	3283.3	1822	https://www.orthodb.org/v10?query=9683at7742	protein KIAA0100 homolog isoform X1
9744at7742	Complete	chr18	12236221	12270830	2873.0	1631	https://www.orthodb.org/v10?query=9744at7742	Nucleoporin 205
10003at7742	Complete	chr3	42991992	43060800	3036.8	1626	https://www.orthodb.org/v10?query=10003at7742	integrator complex subunit 1
10136at7742	Complete	chr16	6714229	6762563	1596.0	1039	https://www.orthodb.org/v10?query=10136at7742	zinc finger protein 407
10163at7742	Complete	chr5	72026549	72056111	1381.1	1188	https://www.orthodb.org/v10?query=10163at7742	protein PRRC2B isoform X1
10485at7742	Complete	chr20	15023260	15076001	1697.8	1614	https://www.orthodb.org/v10?query=10485at7742	protein PRRC2C isoform X1
10757at7742	Fragmented	chr4	18283122	18317528	509.3	679	https://www.orthodb.org/v10?query=10757at7742	plexin-D1
10899at7742	Complete	chr8	13096465	13156921	2118.3	1525	https://www.orthodb.org/v10?query=10899at7742	Integrin beta
11104at7742	Complete	chr7	61082292	61172232	3001.8	1516	https://www.orthodb.org/v10?query=11104at7742	NACHT and WD repeat domain-containing protein 2
11195at7742	Complete	chr9	17646386	17783420	1991.2	1154	https://www.orthodb.org/v10?query=11195at7742	von Willebrand factor A domain-containing protein 8
11237at7742	Complete	chr18	41250987	41309464	3427.4	1831	https://www.orthodb.org/v10?query=11237at7742	Thyroid hormone receptor interactor 12
11472at7742	Complete	chr17	19423804	19462999	2866.4	1392	https://www.orthodb.org/v10?query=11472at7742	endoribonuclease Dicer
11505at7742	Complete	chr1	54194801	54273822	2610.8	1474	https://www.orthodb.org/v10?query=11505at7742	tuberin isoform X1
11550at7742	Complete	chr16	10181085	10261034	1620.1	1459	https://www.orthodb.org/v10?query=11550at7742	centrosomal protein 192 
11696at7742	Complete	chr20	38837358	38900123	2905.6	1557	https://www.orthodb.org/v10?query=11696at7742	Intraflagellar transport 172
11895at7742	Complete	chr5	66433575	66512308	2562.2	1919	https://www.orthodb.org/v10?query=11895at7742	kinetochore-associated protein 1
12004at7742	Fragmented	chr9	3948157	4017888	1737.2	879	https://www.orthodb.org/v10?query=12004at7742	E3 ubiquitin-protein ligase UBR3
12300at7742	Complete	chr24	20333107	20369426	1856.9	1394	https://www.orthodb.org/v10?query=12300at7742	deleted in lung and esophageal cancer protein 1
12491at7742	Fragmented	chr3	60955449	60989897	1412.7	710	https://www.orthodb.org/v10?query=12491at7742	Helicase with zinc finger
