name	start	end	strand	col	fill	lwd
1	1	221487832	1	4	4	0.1
2	221487833	427838967	1	4	4	0.1
3	427838968	609178734	1	4	4	0.1
4	609178735	786516912	1	4	4	0.1
5	786516913	958559659	1	4	4	0.1
6	958559660	1128225022	1	4	4	0.1
7	1128225023	1293023654	1	4	4	0.1
8	1293023655	1439647203	1	4	4	0.1
9	1439647204	1580824992	1	4	4	0.1
10	1580824993	1728914513	1	4	4	0.1
11	1728914514	1867245331	1	4	4	0.1
12	1867245332	2003362629	1	4	4	0.1
13	2003362630	2139811489	1	4	4	0.1
14	2139811490	2281337289	1	4	4	0.1
15	2281337290	2399228412	1	4	4	0.1
16	2399228413	2510506901	1	4	4	0.1
17	2510506902	2618136269	1	4	4	0.1
18	2618136270	2720910752	1	4	4	0.1
19	2720910753	2790518401	1	4	4	0.1
X	2790518402	2984312690	1	4	4	0.1
MT	2984312691	2984331158	1	4	4	0.1
Y	2984331159	3088286390	1	4	4	0.1
1	1	221487832	1	1	4	0.1
2	221487833	427838967	1	1	4	0.1
3	427838968	609178734	1	1	4	0.1
4	609178735	786516912	1	1	4	0.1
5	786516913	958559659	1	1	4	0.1
6	958559660	1128225022	1	1	4	0.1
7	1128225023	1293023654	1	1	4	0.1
8	1293023655	1439647203	1	1	4	0.1
9	1439647204	1580824992	1	1	4	0.1
10	1580824993	1728914513	1	1	4	0.1
11	1728914514	1867245331	1	1	4	0.1
12	1867245332	2003362629	1	1	4	0.1
13	2003362630	2139811489	1	1	4	0.1
14	2139811490	2281337289	1	1	4	0.1
15	2281337290	2399228412	1	1	4	0.1
16	2399228413	2510506901	1	1	4	0.1
17	2510506902	2618136269	1	1	4	0.1
18	2618136270	2720910752	1	1	4	0.1
19	2720910753	2790518401	1	1	4	0.1
X	2790518402	2984312690	1	1	4	0.1
MT	2984312691	2984331158	1	1	4	0.1
Y	2984331159	3088286390	1	1	4	0.1
L	1386803184	1386803184	1	5	5	0.01
L	1370973644	1370973644	1	5	5	0.01
L	474188006	474188006	1	5	5	0.01
L	474091253	474091253	1	5	5	0.01
L	473902044	473902044	1	5	5	0.01
L	470222403	470222403	1	5	5	0.01
L	470117744	470117744	1	5	5	0.01
L	469835595	469835595	1	5	5	0.01
L	469280114	469280114	1	5	5	0.01
L	469256542	469256542	1	5	5	0.01
L	909649387	909649387	1	5	5	0.01
L	1331249155	1331249155	1	5	5	0.01
L	524802391	524802391	1	5	5	0.01
L	1380894468	1380894468	1	5	5	0.01
L	1382841551	1382841551	1	5	5	0.01
L	1368347878	1368347878	1	5	5	0.01
L	518037667	518037667	1	5	5	0.01
L	518357454	518357454	1	5	5	0.01
L	520676258	520676258	1	5	5	0.01
L	520795488	520795488	1	5	5	0.01
L	572350138	572350138	1	5	5	0.01
L	572497233	572497233	1	5	5	0.01
L	572657814	572657814	1	5	5	0.01
L	574314155	574314155	1	5	5	0.01
L	574786698	574786698	1	5	5	0.01
L	574924499	574924499	1	5	5	0.01
L	826807219	826807219	1	5	5	0.01
L	1366614963	1366614963	1	5	5	0.01
L	827847561	827847561	1	5	5	0.01
L	243268739	243268739	1	5	5	0.01
L	521912784	521912784	1	5	5	0.01
L	521948699	521948699	1	5	5	0.01
L	523118529	523118529	1	5	5	0.01
L	890037094	890037094	1	5	5	0.01
L	890704471	890704471	1	5	5	0.01
