name	start	end	strand	col	fill	lwd
1	1	248956422	1	4	4	0.1
2	248956423	491149951	1	4	4	0.1
3	491149952	689445510	1	4	4	0.1
4	689445511	879660065	1	4	4	0.1
5	879660066	1061198324	1	4	4	0.1
6	1061198325	1232004303	1	4	4	0.1
7	1232004304	1391350276	1	4	4	0.1
8	1391350277	1536488912	1	4	4	0.1
9	1536488913	1674883629	1	4	4	0.1
10	1674883630	1808681051	1	4	4	0.1
11	1808681052	1943767673	1	4	4	0.1
12	1943767674	2077042982	1	4	4	0.1
13	2077042983	2191407310	1	4	4	0.1
14	2191407311	2298451028	1	4	4	0.1
15	2298451029	2400442217	1	4	4	0.1
16	2400442218	2490780562	1	4	4	0.1
17	2490780563	2574038003	1	4	4	0.1
18	2574038004	2654411288	1	4	4	0.1
19	2654411289	2713028904	1	4	4	0.1
20	2713028905	2777473071	1	4	4	0.1
21	2777473072	2824183054	1	4	4	0.1
22	2824183055	2875001522	1	4	4	0.1
X	2875001523	3031042417	1	4	4	0.1
MT	3031042418	3031058986	1	4	4	0.1
Y	3031058987	3088286401	1	4	4	0.1
1	1	248956422	1	1	4	0.1
2	248956423	491149951	1	1	4	0.1
3	491149952	689445510	1	1	4	0.1
4	689445511	879660065	1	1	4	0.1
5	879660066	1061198324	1	1	4	0.1
6	1061198325	1232004303	1	1	4	0.1
7	1232004304	1391350276	1	1	4	0.1
8	1391350277	1536488912	1	1	4	0.1
9	1536488913	1674883629	1	1	4	0.1
10	1674883630	1808681051	1	1	4	0.1
11	1808681052	1943767673	1	1	4	0.1
12	1943767674	2077042982	1	1	4	0.1
13	2077042983	2191407310	1	1	4	0.1
14	2191407311	2298451028	1	1	4	0.1
15	2298451029	2400442217	1	1	4	0.1
16	2400442218	2490780562	1	1	4	0.1
17	2490780563	2574038003	1	1	4	0.1
18	2574038004	2654411288	1	1	4	0.1
19	2654411289	2713028904	1	1	4	0.1
20	2713028905	2777473071	1	1	4	0.1
21	2777473072	2824183054	1	1	4	0.1
22	2824183055	2875001522	1	1	4	0.1
X	2875001523	3031042417	1	1	4	0.1
MT	3031042418	3031058986	1	1	4	0.1
Y	3031058987	3088286401	1	1	4	0.1
L	830666383	830666383	1	5	5	0.01
L	1411167814	1411167814	1	5	5	0.01
L	817417633	817417633	1	5	5	0.01
L	817366140	817366140	1	5	5	0.01
L	817088969	817088969	1	5	5	0.01
L	812338338	812338338	1	5	5	0.01
L	812187403	812187403	1	5	5	0.01
L	811810468	811810468	1	5	5	0.01
L	811271370	811271370	1	5	5	0.01
L	811246935	811246935	1	5	5	0.01
L	690432595	690432595	1	5	5	0.01
L	1421929197	1421929197	1	5	5	0.01
L	841116684	841116684	1	5	5	0.01
L	837084042	837084042	1	5	5	0.01
L	835084812	835084812	1	5	5	0.01
L	852939860	852939860	1	5	5	0.01
L	848117967	848117967	1	5	5	0.01
L	847572917	847572917	1	5	5	0.01
L	845371546	845371546	1	5	5	0.01
L	845229641	845229641	1	5	5	0.01
L	802083004	802083004	1	5	5	0.01
L	801823288	801823288	1	5	5	0.01
L	801696018	801696018	1	5	5	0.01
L	799921925	799921925	1	5	5	0.01
L	418085085	418085085	1	5	5	0.01
L	799260819	799260819	1	5	5	0.01
L	697886333	697886333	1	5	5	0.01
L	854525168	854525168	1	5	5	0.01
L	696488835	696488835	1	5	5	0.01
L	1697811216	1697811216	1	5	5	0.01
L	844029634	844029634	1	5	5	0.01
L	843982195	843982195	1	5	5	0.01
L	842790248	842790248	1	5	5	0.01
L	764193551	764193551	1	5	5	0.01
L	764928048	764928048	1	5	5	0.01
L	765191853	765191853	1	5	5	0.01
L	777453244	777453244	1	5	5	0.01
L	1160373065	1160373065	1	5	5	0.01
L	745913146	745913146	1	5	5	0.01
L	690127468	690127468	1	5	5	0.01
L	1572706277	1572706277	1	5	5	0.01
L	696250104	696250104	1	5	5	0.01
L	2520849152	2520849152	1	5	5	0.01
L	689944846	689944846	1	5	5	0.01
L	1434188238	1434188238	1	5	5	0.01
L	772852963	772852963	1	5	5	0.01
L	1434406623	1434406623	1	5	5	0.01
L	1434453825	1434453825	1	5	5	0.01
L	795128243	795128243	1	5	5	0.01
L	789009606	789009606	1	5	5	0.01
L	2113945754	2113945754	1	5	5	0.01
L	808455357	808455357	1	5	5	0.01
L	809505628	809505628	1	5	5	0.01
L	767308359	767308359	1	5	5	0.01
L	769712335	769712335	1	5	5	0.01
L	765560876	765560876	1	5	5	0.01
L	772373612	772373612	1	5	5	0.01
L	704881254	704881254	1	5	5	0.01
L	707022976	707022976	1	5	5	0.01
L	707060165	707060165	1	5	5	0.01
L	707256588	707256588	1	5	5	0.01
