name	start	end	strand	col	fill	lwd
1	1	136787062	1	4	4	0.1
2	136787063	273717267	1	4	4	0.1
3	273717268	417507365	1	4	4	0.1
4	417507366	596804408	1	4	4	0.1
5	596804409	763259584	1	4	4	0.1
6	763259585	901634911	1	4	4	0.1
7	901634912	1072181472	1	4	4	0.1
8	1072181473	1196860736	1	4	4	0.1
9	1196860737	1326488113	1	4	4	0.1
10	1326488114	1430770860	1	4	4	0.1
11	1430770861	1535200477	1	4	4	0.1
12	1535200478	1648120681	1	4	4	0.1
13	1648120682	1767935705	1	4	4	0.1
14	1767935706	1888839466	1	4	4	0.1
15	1888839467	1999136864	1	4	4	0.1
16	1999136865	2126024376	1	4	4	0.1
17	2126024377	2248766868	1	4	4	0.1
18	2248766869	2365912771	1	4	4	0.1
19	2365912772	2477149644	1	4	4	0.1
20	2477149645	2603887572	1	4	4	0.1
21	2603887573	2709348584	1	4	4	0.1
22	2709348585	2799195066	1	4	4	0.1
23	2799195067	2905320789	1	4	4	0.1
24	2905320790	3002146519	1	4	4	0.1
25	3002146520	3088248286	1	4	4	0.1
MT	3088248287	3088286389	1	4	4	0.1
1	1	136787062	1	1	4	0.1
2	136787063	273717267	1	1	4	0.1
3	273717268	417507365	1	1	4	0.1
4	417507366	596804408	1	1	4	0.1
5	596804409	763259584	1	1	4	0.1
6	763259585	901634911	1	1	4	0.1
7	901634912	1072181472	1	1	4	0.1
8	1072181473	1196860736	1	1	4	0.1
9	1196860737	1326488113	1	1	4	0.1
10	1326488114	1430770860	1	1	4	0.1
11	1430770861	1535200477	1	1	4	0.1
12	1535200478	1648120681	1	1	4	0.1
13	1648120682	1767935705	1	1	4	0.1
14	1767935706	1888839466	1	1	4	0.1
15	1888839467	1999136864	1	1	4	0.1
16	1999136865	2126024376	1	1	4	0.1
17	2126024377	2248766868	1	1	4	0.1
18	2248766869	2365912771	1	1	4	0.1
19	2365912772	2477149644	1	1	4	0.1
20	2477149645	2603887572	1	1	4	0.1
21	2603887573	2709348584	1	1	4	0.1
22	2709348585	2799195066	1	1	4	0.1
23	2799195067	2905320789	1	1	4	0.1
24	2905320790	3002146519	1	1	4	0.1
25	3002146520	3088248286	1	1	4	0.1
MT	3088248287	3088286389	1	1	4	0.1
L	122297131	122297131	1	5	5	0.01
L	1769570979	1769570979	1	5	5	0.01
L	1882725838	1882725838	1	5	5	0.01
L	1587141321	1587141321	1	5	5	0.01
L	919340472	919340472	1	5	5	0.01
L	1769205349	1769205349	1	5	5	0.01
L	1771048646	1771048646	1	5	5	0.01
L	1770775675	1770775675	1	5	5	0.01
L	1874413705	1874413705	1	5	5	0.01
L	43814467	43814467	1	5	5	0.01
L	617576992	617576992	1	5	5	0.01
L	52475544	52475544	1	5	5	0.01
L	56298193	56298193	1	5	5	0.01
L	84366480	84366480	1	5	5	0.01
L	82559787	82559787	1	5	5	0.01
L	45369205	45369205	1	5	5	0.01
L	1878303618	1878303618	1	5	5	0.01
L	1850307150	1850307150	1	5	5	0.01
L	1852316628	1852316628	1	5	5	0.01
L	59234434	59234434	1	5	5	0.01
L	1038416752	1038416752	1	5	5	0.01
L	904190042	904190042	1	5	5	0.01
L	1778948675	1778948675	1	5	5	0.01
L	1676920417	1676920417	1	5	5	0.01
L	1851233653	1851233653	1	5	5	0.01
L	1676884006	1676884006	1	5	5	0.01
L	1038649560	1038649560	1	5	5	0.01
L	45113979	45113979	1	5	5	0.01
L	992871552	992871552	1	5	5	0.01
L	2944462164	2944462164	1	5	5	0.01
L	23111366	23111366	1	5	5	0.01
L	58892817	58892817	1	5	5	0.01
L	57814163	57814163	1	5	5	0.01
L	2648357235	2648357235	1	5	5	0.01
L	617806359	617806359	1	5	5	0.01
L	60766688	60766688	1	5	5	0.01
L	116034165	116034165	1	5	5	0.01
L	100364888	100364888	1	5	5	0.01
L	1770699094	1770699094	1	5	5	0.01
L	2564036579	2564036579	1	5	5	0.01
L	28259343	28259343	1	5	5	0.01
L	992711462	992711462	1	5	5	0.01
L	1767982424	1767982424	1	5	5	0.01
L	1776473920	1776473920	1	5	5	0.01
L	597796232	597796232	1	5	5	0.01
L	2648255076	2648255076	1	5	5	0.01
L	1776009650	1776009650	1	5	5	0.01
L	1670038406	1670038406	1	5	5	0.01
L	60701392	60701392	1	5	5	0.01
L	27799004	27799004	1	5	5	0.01
L	1676769339	1676769339	1	5	5	0.01
L	1881892483	1881892483	1	5	5	0.01
L	1033947754	1033947754	1	5	5	0.01
L	685937074	685937074	1	5	5	0.01
L	687578706	687578706	1	5	5	0.01
L	2604380540	2604380540	1	5	5	0.01
L	1352496895	1352496895	1	5	5	0.01
L	2804209168	2804209168	1	5	5	0.01
L	44584032	44584032	1	5	5	0.01
L	48924731	48924731	1	5	5	0.01
L	54086966	54086966	1	5	5	0.01
L	1065650287	1065650287	1	5	5	0.01
L	1587191684	1587191684	1	5	5	0.01
L	2531047612	2531047612	1	5	5	0.01
L	1044552905	1044552905	1	5	5	0.01
L	1041875062	1041875062	1	5	5	0.01
L	53365656	53365656	1	5	5	0.01
L	53492786	53492786	1	5	5	0.01
L	53720902	53720902	1	5	5	0.01
L	1874337429	1874337429	1	5	5	0.01
L	1870778889	1870778889	1	5	5	0.01
L	1871743164	1871743164	1	5	5	0.01
L	1676540525	1676540525	1	5	5	0.01
L	2899926613	2899926613	1	5	5	0.01
L	2530983992	2530983992	1	5	5	0.01
L	2530947019	2530947019	1	5	5	0.01
L	2530354714	2530354714	1	5	5	0.01
L	2530329604	2530329604	1	5	5	0.01
L	2528106165	2528106165	1	5	5	0.01
L	2528090029	2528090029	1	5	5	0.01
L	2536247707	2536247707	1	5	5	0.01
L	2536029902	2536029902	1	5	5	0.01
L	37798707	37798707	1	5	5	0.01
L	38285940	38285940	1	5	5	0.01
L	1361709909	1361709909	1	5	5	0.01
L	1110601613	1110601613	1	5	5	0.01
L	218530612	218530612	1	5	5	0.01
L	1342303061	1342303061	1	5	5	0.01
L	1342355796	1342355796	1	5	5	0.01
L	1345211064	1345211064	1	5	5	0.01
L	2626819339	2626819339	1	5	5	0.01
L	1347030522	1347030522	1	5	5	0.01
L	718422784	718422784	1	5	5	0.01
L	1365151659	1365151659	1	5	5	0.01
L	1367196172	1367196172	1	5	5	0.01
L	692077484	692077484	1	5	5	0.01
L	692274894	692274894	1	5	5	0.01
L	716426198	716426198	1	5	5	0.01
L	958221663	958221663	1	5	5	0.01
L	958187731	958187731	1	5	5	0.01
L	2631061022	2631061022	1	5	5	0.01
L	2631134880	2631134880	1	5	5	0.01
L	2631493553	2631493553	1	5	5	0.01
L	1359753084	1359753084	1	5	5	0.01
L	2648472001	2648472001	1	5	5	0.01
L	2648534172	2648534172	1	5	5	0.01
L	2628429678	2628429678	1	5	5	0.01
L	2607654449	2607654449	1	5	5	0.01
L	1146507517	1146507517	1	5	5	0.01
L	957871941	957871941	1	5	5	0.01
L	919306598	919306598	1	5	5	0.01
L	1789935014	1789935014	1	5	5	0.01
L	1802537137	1802537137	1	5	5	0.01
L	1804962429	1804962429	1	5	5	0.01
L	1804886491	1804886491	1	5	5	0.01
L	2225926799	2225926799	1	5	5	0.01
L	1804863846	1804863846	1	5	5	0.01
L	603059418	603059418	1	5	5	0.01
L	98212503	98212503	1	5	5	0.01
L	1680104075	1680104075	1	5	5	0.01
L	1781333077	1781333077	1	5	5	0.01
L	695698138	695698138	1	5	5	0.01
L	2952004007	2952004007	1	7	7	0.01
L	2372320961	2372320961	1	7	7	0.01
L	247191512	247191512	1	7	7	0.01
L	2424519823	2424519823	1	7	7	0.01
L	2460140837	2460140837	1	7	7	0.01
L	2460054479	2460054479	1	7	7	0.01
L	2459816440	2459816440	1	7	7	0.01
L	2458558573	2458558573	1	7	7	0.01
L	207740508	207740508	1	7	7	0.01
L	2944020856	2944020856	1	7	7	0.01
L	2062294169	2062294169	1	7	7	0.01
L	2062086367	2062086367	1	7	7	0.01
L	2062010623	2062010623	1	7	7	0.01
L	2061623813	2061623813	1	7	7	0.01
L	141803218	141803218	1	7	7	0.01
L	144631968	144631968	1	7	7	0.01
L	2922137378	2922137378	1	7	7	0.01
L	205442445	205442445	1	7	7	0.01
L	995115416	995115416	1	7	7	0.01
L	994944310	994944310	1	7	7	0.01
L	994816786	994816786	1	7	7	0.01
L	993937018	993937018	1	7	7	0.01
L	1589494087	1589494087	1	7	7	0.01
L	1589487663	1589487663	1	7	7	0.01
L	2107673430	2107673430	1	7	7	0.01
L	2370653376	2370653376	1	7	7	0.01
L	2371416859	2371416859	1	7	7	0.01
