name	start	end	strand	col	fill	lwd
1	1	974223771	1	4	4	0.1
2	974223772	1720568269	1	4	4	0.1
3	1720568270	2286759271	1	4	4	0.1
4	2286759272	2378471044	1	4	4	0.1
5	2378471045	2460560307	1	4	4	0.1
6	2460560308	2635145235	1	4	4	0.1
7	2635145236	2828160460	1	4	4	0.1
8	2828160461	2981481676	1	4	4	0.1
9	2981481677	3108154559	1	4	4	0.1
10	3108154560	3219924109	1	4	4	0.1
11	3219924110	3320045242	1	4	4	0.1
12	3320045243	3425345200	1	4	4	0.1
13	3425345201	3512613677	1	4	4	0.1
14	3512613678	3589037509	1	4	4	0.1
15	3589037510	3657522126	1	4	4	0.1
17	3657522127	3709173006	1	4	4	0.1
18	3709173007	3766465848	1	4	4	0.1
19	3766465849	3821531046	1	4	4	0.1
20	3821531047	3896079988	1	4	4	0.1
21	3896079989	3934102161	1	4	4	0.1
22	3934102162	3959736789	1	4	4	0.1
23	3959736790	3991416298	1	4	4	0.1
24	3991416299	4023279165	1	4	4	0.1
25	4023279166	4033940639	1	4	4	0.1
26	4033940640	4065042318	1	4	4	0.1
27	4065042319	4093393909	1	4	4	0.1
28	4093393910	4121572463	1	4	4	0.1
33	4121572464	4130883834	1	4	4	0.1
4A	4130883835	4351545716	1	4	4	0.1
4B	4351545717	4466410056	1	4	4	0.1
5A	4466410057	4682808662	1	4	4	0.1
W	4682808663	4813240935	1	4	4	0.1
Z	4813240936	5178571768	1	4	4	0.1
1	1	974223771	1	1	4	0.1
2	974223772	1720568269	1	1	4	0.1
3	1720568270	2286759271	1	1	4	0.1
4	2286759272	2378471044	1	1	4	0.1
5	2378471045	2460560307	1	1	4	0.1
6	2460560308	2635145235	1	1	4	0.1
7	2635145236	2828160460	1	1	4	0.1
8	2828160461	2981481676	1	1	4	0.1
9	2981481677	3108154559	1	1	4	0.1
10	3108154560	3219924109	1	1	4	0.1
11	3219924110	3320045242	1	1	4	0.1
12	3320045243	3425345200	1	1	4	0.1
13	3425345201	3512613677	1	1	4	0.1
14	3512613678	3589037509	1	1	4	0.1
15	3589037510	3657522126	1	1	4	0.1
17	3657522127	3709173006	1	1	4	0.1
18	3709173007	3766465848	1	1	4	0.1
19	3766465849	3821531046	1	1	4	0.1
20	3821531047	3896079988	1	1	4	0.1
21	3896079989	3934102161	1	1	4	0.1
22	3934102162	3959736789	1	1	4	0.1
23	3959736790	3991416298	1	1	4	0.1
24	3991416299	4023279165	1	1	4	0.1
25	4023279166	4033940639	1	1	4	0.1
26	4033940640	4065042318	1	1	4	0.1
27	4065042319	4093393909	1	1	4	0.1
28	4093393910	4121572463	1	1	4	0.1
33	4121572464	4130883834	1	1	4	0.1
4A	4130883835	4351545716	1	1	4	0.1
4B	4351545717	4466410056	1	1	4	0.1
5A	4466410057	4682808662	1	1	4	0.1
W	4682808663	4813240935	1	1	4	0.1
Z	4813240936	5178571768	1	1	4	0.1
L	3912400256	3912400256	1	6	6	0.01
L	3911777865	3911777865	1	6	6	0.01
L	3900787025	3900787025	1	6	6	0.01
L	3900717013	3900717013	1	6	6	0.01
L	3898160742	3898160742	1	6	6	0.01
L	3896738018	3896738018	1	6	6	0.01
L	3896709928	3896709928	1	6	6	0.01
L	3904229792	3904229792	1	6	6	0.01
L	3904251491	3904251491	1	6	6	0.01
L	3904511663	3904511663	1	6	6	0.01
L	3904552308	3904552308	1	6	6	0.01
L	3904579234	3904579234	1	6	6	0.01
L	3905951603	3905951603	1	6	6	0.01
