name	start	end	strand	col	fill	lwd
1	1	268411862	1	4	4	0.1
2	268411863	475523801	1	4	4	0.1
3	475523802	651059095	1	4	4	0.1
4	651059096	819298639	1	4	4	0.1
5	819298640	977254738	1	4	4	0.1
6	977254739	1114487618	1	4	4	0.1
7	1114487619	1237690818	1	4	4	0.1
8	1237690819	1351418731	1	4	4	0.1
9	1351418732	1456382835	1	4	4	0.1
10	1456382836	1548783241	1	4	4	0.1
11	1548783242	1639705773	1	4	4	0.1
12	1639705774	1725125326	1	4	4	0.1
13	1725125327	1808294631	1	4	4	0.1
14	1808294632	1891106602	1	4	4	0.1
15	1891106603	1963447696	1	4	4	0.1
16	1963447697	2031691244	1	4	4	0.1
17	2031691245	2099760229	1	4	4	0.1
18	2099760230	2163286411	1	4	4	0.1
19	2163286412	2226244101	1	4	4	0.1
20	2226244102	2283718234	1	4	4	0.1
21	2283718235	2340869630	1	4	4	0.1
22	2340869631	2394884651	1	4	4	0.1
23	2394884652	2446698349	1	4	4	0.1
24	2446698350	2497883467	1	4	4	0.1
25	2497883468	2547914418	1	4	4	0.1
26	2547914419	2597135817	1	4	4	0.1
27	2597135818	2645601343	1	4	4	0.1
28	2645601344	2693315306	1	4	4	0.1
29	2693315307	2740845112	1	4	4	0.1
30	2740845113	2783841543	1	4	4	0.1
31	2783841544	2825469153	1	4	4	0.1
32	2825469154	2865313544	1	4	4	0.1
33	2865313545	2900733651	1	4	4	0.1
34	2900733652	2930979694	1	4	4	0.1
35	2930979695	2952258414	1	4	4	0.1
36	2952258415	2972968782	1	4	4	0.1
37	2972968783	2993427820	1	4	4	0.1
38	2993427821	3013489023	1	4	4	0.1
39	3013489024	3031655286	1	4	4	0.1
40	3031655287	3046810963	1	4	4	0.1
41	3046810964	3056438797	1	4	4	0.1
42	3056438798	3064493361	1	4	4	0.1
43	3064493362	3071005138	1	4	4	0.1
44	3071005139	3076166645	1	4	4	0.1
45	3076166646	3080146383	1	4	4	0.1
46	3080146384	3083658683	1	4	4	0.1
47	3083658684	3086215691	1	4	4	0.1
48	3086215692	3087615485	1	4	4	0.1
49	3087615486	3088286378	1	4	4	0.1
1	1	268411862	1	1	5	0.1
2	268411863	475523801	1	1	7	0.1
3	475523802	651059095	1	1	8	0.1
4	651059096	819298639	1	1	9	0.1
5	819298640	977254738	1	1	10	0.1
6	977254739	1114487618	1	1	11	0.1
7	1114487619	1237690818	1	1	12	0.1
8	1237690819	1351418731	1	1	13	0.1
9	1351418732	1456382835	1	1	14	0.1
10	1456382836	1548783241	1	1	15	0.1
11	1548783242	1639705773	1	1	16	0.1
12	1639705774	1725125326	1	1	17	0.1
13	1725125327	1808294631	1	1	18	0.1
14	1808294632	1891106602	1	1	19	0.1
15	1891106603	1963447696	1	1	20	0.1
16	1963447697	2031691244	1	1	21	0.1
17	2031691245	2099760229	1	1	22	0.1
18	2099760230	2163286411	1	1	23	0.1
19	2163286412	2226244101	1	1	24	0.1
20	2226244102	2283718234	1	1	25	0.1
21	2283718235	2340869630	1	1	26	0.1
22	2340869631	2394884651	1	1	27	0.1
23	2394884652	2446698349	1	1	28	0.1
24	2446698350	2497883467	1	1	29	0.1
25	2497883468	2547914418	1	1	30	0.1
26	2547914419	2597135817	1	1	31	0.1
27	2597135818	2645601343	1	1	32	0.1
28	2645601344	2693315306	1	1	33	0.1
29	2693315307	2740845112	1	1	34	0.1
30	2740845113	2783841543	1	1	35	0.1
31	2783841544	2825469153	1	1	36	0.1
32	2825469154	2865313544	1	1	37	0.1
33	2865313545	2900733651	1	1	38	0.1
34	2900733652	2930979694	1	1	39	0.1
35	2930979695	2952258414	1	1	40	0.1
36	2952258415	2972968782	1	1	41	0.1
37	2972968783	2993427820	1	1	42	0.1
38	2993427821	3013489023	1	1	43	0.1
39	3013489024	3031655286	1	1	44	0.1
40	3031655287	3046810963	1	1	45	0.1
41	3046810964	3056438797	1	1	46	0.1
42	3056438798	3064493361	1	1	47	0.1
43	3064493362	3071005138	1	1	48	0.1
44	3071005139	3076166645	1	1	49	0.1
45	3076166646	3080146383	1	1	50	0.1
46	3080146384	3083658683	1	1	51	0.1
47	3083658684	3086215691	1	1	52	0.1
48	3086215692	3087615485	1	1	53	0.1
49	3087615486	3088286378	1	1	54	0.1
L	1879484	1879484	1	5	5	0.01
L	3557319	3557319	1	5	5	0.01
L	3862024	3862024	1	5	5	0.01
L	3951237	3951237	1	5	5	0.01
L	4356207	4356207	1	5	5	0.01
L	9873214	9873214	1	5	5	0.01
L	10076162	10076162	1	5	5	0.01
L	10590425	10590425	1	5	5	0.01
L	11382022	11382022	1	5	5	0.01
L	11545848	11545848	1	5	5	0.01
L	12116705	12116705	1	5	5	0.01
L	12342435	12342435	1	5	5	0.01
L	13912940	13912940	1	5	5	0.01
L	18167980	18167980	1	5	5	0.01
L	20334557	20334557	1	5	5	0.01
L	22898069	22898069	1	5	5	0.01
L	27106011	27106011	1	5	5	0.01
L	27288851	27288851	1	5	5	0.01
L	29188212	29188212	1	5	5	0.01
L	29369275	29369275	1	5	5	0.01
L	29520569	29520569	1	5	5	0.01
L	29849655	29849655	1	5	5	0.01
L	30087059	30087059	1	5	5	0.01
L	32110791	32110791	1	5	5	0.01
L	32776527	32776527	1	5	5	0.01
L	33029073	33029073	1	5	5	0.01
L	33353603	33353603	1	5	5	0.01
L	39902579	39902579	1	5	5	0.01
L	40146751	40146751	1	5	5	0.01
L	41341942	41341942	1	5	5	0.01
L	44035096	44035096	1	5	5	0.01
L	44213271	44213271	1	5	5	0.01
L	44455431	44455431	1	5	5	0.01
L	45155791	45155791	1	5	5	0.01
L	45297760	45297760	1	5	5	0.01
L	45573044	45573044	1	5	5	0.01
L	45949537	45949537	1	5	5	0.01
L	48923921	48923921	1	5	5	0.01
L	49419472	49419472	1	5	5	0.01
L	50031341	50031341	1	5	5	0.01
L	50760648	50760648	1	5	5	0.01
L	64578973	64578973	1	5	5	0.01
L	68213531	68213531	1	5	5	0.01
L	68469111	68469111	1	5	5	0.01
L	68726146	68726146	1	5	5	0.01
L	71739734	71739734	1	5	5	0.01
L	71930815	71930815	1	5	5	0.01
L	71959023	71959023	1	5	5	0.01
L	79578909	79578909	1	5	5	0.01
L	88749048	88749048	1	5	5	0.01
L	89371810	89371810	1	5	5	0.01
L	95422831	95422831	1	5	5	0.01
L	96335762	96335762	1	5	5	0.01
L	98851120	98851120	1	5	5	0.01
L	101614421	101614421	1	5	5	0.01
L	108041435	108041435	1	5	5	0.01
L	110100518	110100518	1	5	5	0.01
L	117446685	117446685	1	5	5	0.01
L	119406862	119406862	1	5	5	0.01
L	119459987	119459987	1	5	5	0.01
L	119949832	119949832	1	5	5	0.01
L	127233857	127233857	1	5	5	0.01
L	127706022	127706022	1	5	5	0.01
L	127860920	127860920	1	5	5	0.01
L	128827914	128827914	1	5	5	0.01
L	140781069	140781069	1	5	5	0.01
L	142727896	142727896	1	5	5	0.01
L	143062589	143062589	1	5	5	0.01
L	143740892	143740892	1	5	5	0.01
L	146091617	146091617	1	5	5	0.01
L	146271793	146271793	1	5	5	0.01
L	146416129	146416129	1	5	5	0.01
L	151907660	151907660	1	5	5	0.01
L	152488484	152488484	1	5	5	0.01
L	153242924	153242924	1	5	5	0.01
L	153355324	153355324	1	5	5	0.01
L	154155771	154155771	1	5	5	0.01
L	154221164	154221164	1	5	5	0.01
L	157104424	157104424	1	5	5	0.01
L	157181078	157181078	1	5	5	0.01
L	157932558	157932558	1	5	5	0.01
L	158270802	158270802	1	5	5	0.01
L	164710332	164710332	1	5	5	0.01
L	166085662	166085662	1	5	5	0.01
L	170562933	170562933	1	5	5	0.01
L	174587231	174587231	1	5	5	0.01
L	177234347	177234347	1	5	5	0.01
L	179814391	179814391	1	5	5	0.01
L	179915160	179915160	1	5	5	0.01
L	180308889	180308889	1	5	5	0.01
L	181508409	181508409	1	5	5	0.01
L	183137367	183137367	1	5	5	0.01
L	188054443	188054443	1	5	5	0.01
L	190654052	190654052	1	5	5	0.01
L	190705340	190705340	1	5	5	0.01
L	190809143	190809143	1	5	5	0.01
L	191208622	191208622	1	5	5	0.01
L	192785705	192785705	1	5	5	0.01
L	198359730	198359730	1	5	5	0.01
L	198540488	198540488	1	5	5	0.01
L	201391895	201391895	1	5	5	0.01
L	201571880	201571880	1	5	5	0.01
L	202418009	202418009	1	5	5	0.01
L	211026420	211026420	1	5	5	0.01
L	213424187	213424187	1	5	5	0.01
L	213521637	213521637	1	5	5	0.01
L	215725126	215725126	1	5	5	0.01
L	218126142	218126142	1	5	5	0.01
L	227465020	227465020	1	5	5	0.01
L	231849351	231849351	1	5	5	0.01
L	231976545	231976545	1	5	5	0.01
L	234211340	234211340	1	5	5	0.01
L	236735939	236735939	1	5	5	0.01
L	240435841	240435841	1	5	5	0.01
L	240521303	240521303	1	5	5	0.01
L	240620000	240620000	1	5	5	0.01
L	241071667	241071667	1	5	5	0.01
L	242464348	242464348	1	5	5	0.01
L	246433739	246433739	1	5	5	0.01
L	250081235	250081235	1	5	5	0.01
L	261409702	261409702	1	5	5	0.01
L	264305810	264305810	1	5	5	0.01
L	272645094	272645094	1	7	7	0.01
L	275023261	275023261	1	7	7	0.01
L	287765170	287765170	1	7	7	0.01
L	288673063	288673063	1	7	7	0.01
L	290376747	290376747	1	7	7	0.01
L	290459957	290459957	1	7	7	0.01
L	291271791	291271791	1	7	7	0.01
L	292650828	292650828	1	7	7	0.01
L	294996697	294996697	1	7	7	0.01
L	295041932	295041932	1	7	7	0.01
L	296253492	296253492	1	7	7	0.01
L	296588404	296588404	1	7	7	0.01
L	296661733	296661733	1	7	7	0.01
L	297227208	297227208	1	7	7	0.01
L	298759799	298759799	1	7	7	0.01
L	299213352	299213352	1	7	7	0.01
L	303592276	303592276	1	7	7	0.01
L	306081092	306081092	1	7	7	0.01
