chr1	po1	gene1	chr2	po2	gene2
chr1	944694	EOG090B05OD	chr7	32398607	EOG090B05OD
chr1	1082893	EOG090B0LIR	chr5	17366222	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr7	3755476	EOG090B08Y2
chr1	1255203	EOG090B0C55	chr5	27576675	EOG090B0C55
chr1	1308644	EOG090B0AXY	chr5	27673770	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr7	3920853	EOG090B03H1
chr1	2019424	EOG090B07C7	chr7	36677719	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr7	26111666	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr7	25092747	EOG090B0D29
chr1	2508847	EOG090B028U	chr5	5421261	EOG090B028U
chr1	3625073	EOG090B0DVR	chr7	26206629	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr7	26160860	EOG090B05QE
chr1	3781088	EOG090B060G	chr7	37525083	EOG090B060G
chr1	3815402	EOG090B027C	chr7	37481336	EOG090B027C
chr1	3857604	EOG090B099H	chr7	37424502	EOG090B099H
chr1	6225080	EOG090B0BYH	chr7	19725990	EOG090B0BYH
chr1	6525854	EOG090B066X	chr7	3526761	EOG090B066X
chr1	6614067	EOG090B0BKA	chr5	27439682	EOG090B0BKA
chr1	7962786	EOG090B0EDI	chr5	14296344	EOG090B0EDI
chr1	8324330	EOG090B03E1	chr5	14509554	EOG090B03E1
chr1	9588931	EOG090B06F2	chr7	32638605	EOG090B06F2
chr1	9730508	EOG090B01F0	chr7	32768644	EOG090B01F0
chr1	9930399	EOG090B0ILM	chr7	32808561	EOG090B0ILM
chr1	10083473	EOG090B00ZI	chr7	32827674	EOG090B00ZI
chr1	10399118	EOG090B05GI	chr7	32943652	EOG090B05GI
chr1	10461490	EOG090B098N	chr7	33365755	EOG090B098N
chr1	10598340	EOG090B0B8F	chr7	33299473	EOG090B0B8F
chr1	11066718	EOG090B01UK	chr7	33443909	EOG090B01UK
chr1	11273532	EOG090B09M4	chr7	35845748	EOG090B09M4
chr1	11500993	EOG090B00U4	chr9	21549798	EOG090B00U4
chr1	11674775	EOG090B0DNB	chr7	36447066	EOG090B0DNB
chr1	11790680	EOG090B031B	chr7	20104730	EOG090B031B
chr1	11804633	EOG090B01SI	chr7	20115974	EOG090B01SI
chr1	11906303	EOG090B053B	chr7	19812687	EOG090B053B
chr1	12021727	EOG090B0932	chr5	14550089	EOG090B0932
chr1	12234267	EOG090B0FLR	chr7	20243412	EOG090B0FLR
chr1	15492943	EOG090B095T	chr7	37573819	EOG090B095T
chr1	15701941	EOG090B01DA	chr7	36161186	EOG090B01DA
chr1	19251836	EOG090B0D5M	chr5	14109431	EOG090B0D5M
chr1	19339530	EOG090B08IR	chr5	18616342	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr7	27581079	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr7	26280788	EOG090B09XF
chr1	20500690	EOG090B082J	chr7	4024059	EOG090B082J
chr1	20652379	EOG090B0651	chr7	36175857	EOG090B0651
chr1	20744797	EOG090B076T	chr5	6868712	EOG090B076T
chr1	21679417	EOG090B014N	chr5	40911111	EOG090B014N
chr1	23030397	EOG090B02B1	chr22	34505116	EOG090B02B1
chr1	23778516	EOG090B0G12	chr11	1362507	EOG090B0G12
chr1	24902122	EOG090B09DL	chr22	20926987	EOG090B09DL
chr1	25821900	EOG090B0C5W	chr22	29813408	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr22	29860679	EOG090B0GZR
chr1	26280156	EOG090B0JOD	chr11	23105454	EOG090B0JOD
chr1	26282299	EOG090B07YS	chr16	19063901	EOG090B07YS
chr1	26432946	EOG090B08EA	chr16	6880172	EOG090B08EA
chr1	26790816	EOG090B05U9	chr16	18953939	EOG090B05U9
chr1	26891010	EOG090B066W	chr16	18994439	EOG090B066W
chr1	26921849	EOG090B0CH3	chr11	22781101	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr16	19039459	EOG090B02Y1
chr1	27935184	EOG090B065U	chr16	4426218	EOG090B065U
chr1	28149993	EOG090B08LV	chr22	31741644	EOG090B08LV
chr1	28330663	EOG090B0DRP	chr16	4484675	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr16	18825855	EOG090B07B6
chr1	28603539	EOG090B0H7D	chr16	4845485	EOG090B0H7D
chr1	31259478	EOG090B0910	chr11	13110878	EOG090B0910
chr1	31727420	EOG090B00F6	chr11	7248101	EOG090B00F6
chr1	32222442	EOG090B08H1	chr11	21756224	EOG090B08H1
chr1	32367291	EOG090B08U3	chr22	20474997	EOG090B08U3
chr1	32775981	EOG090B055Q	chr11	19183944	EOG090B055Q
chr1	35559125	EOG090B04N6	chr11	4224551	EOG090B04N6
chr1	35597946	EOG090B0GJG	chr11	4265059	EOG090B0GJG
chr1	35736496	EOG090B01JZ	chr11	4302285	EOG090B01JZ
chr1	36084922	EOG090B0769	chr11	3340898	EOG090B0769
chr1	36088905	EOG090B0AA8	chr22	3793279	EOG090B0AA8
chr1	36341755	EOG090B06G7	chr16	3479892	EOG090B06G7
chr1	37501254	EOG090B0K2H	chr11	4135401	EOG090B0K2H
chr1	37537748	EOG090B0C4X	chr16	5489997	EOG090B0C4X
chr1	37692691	EOG090B0CTR	chr11	4362632	EOG090B0CTR
chr1	37803925	EOG090B0G4S	chr16	4328340	EOG090B0G4S
chr1	39841744	EOG090B065A	chr11	19313708	EOG090B065A
chr1	40074061	EOG090B0A2X	chr11	4178910	EOG090B0A2X
chr1	40391348	EOG090B09F3	chr11	16325105	EOG090B09F3
chr1	42430736	EOG090B07R4	chr7	34747885	EOG090B07R4
chr1	43164443	EOG090B0BON	chr4	7419075	EOG090B0BON
chr1	43375683	EOG090B0COA	chr4	34006693	EOG090B0COA
chr1	43451019	EOG090B0B6W	chr4	38774876	EOG090B0B6W
chr1	43970176	EOG090B08RF	chr20	5998572	EOG090B08RF
