name	start	end	strand	col	fill	lwd
1	1	243648682	1	4	4	0.1
2	243648683	360026521	1	4	4	0.1
3	360026522	630449385	1	4	4	0.1
4	630449386	891146876	1	4	4	0.1
5	891146877	1165626156	1	4	4	0.1
6	1165626157	1414898507	1	4	4	0.1
7	1414898508	1622650013	1	4	4	0.1
8	1622650014	1833669180	1	4	4	0.1
9	1833669181	2104484247	1	4	4	0.1
10	2104484248	2351576609	1	4	4	0.1
11	2351576610	2551437041	1	4	4	0.1
12	2551437042	2757683215	1	4	4	0.1
13	2757683216	3007519042	1	4	4	0.1
14	3007519043	3238998161	1	4	4	0.1
15	3238998162	3463801647	1	4	4	0.1
16	3463801648	3703177549	1	4	4	0.1
17	3703177550	3929718490	1	4	4	0.1
18	3929718491	4064172438	1	4	4	0.1
19	4064172439	4253827123	1	4	4	0.1
20	4253827124	4412320208	1	4	4	0.1
21	4412320209	4629393312	1	4	4	0.1
22	4629393313	4832997223	1	4	4	0.1
23	4832997224	4976474393	1	4	4	0.1
24	4976474394	5178571774	1	4	4	0.1
1	1	243648682	1	1	4	0.1
2	243648683	360026521	1	1	4	0.1
3	360026522	630449385	1	1	4	0.1
4	630449386	891146876	1	1	4	0.1
5	891146877	1165626156	1	1	4	0.1
6	1165626157	1414898507	1	1	4	0.1
7	1414898508	1622650013	1	1	4	0.1
8	1622650014	1833669180	1	1	4	0.1
9	1833669181	2104484247	1	1	4	0.1
10	2104484248	2351576609	1	1	4	0.1
11	2351576610	2551437041	1	1	4	0.1
12	2551437042	2757683215	1	1	4	0.1
13	2757683216	3007519042	1	1	4	0.1
14	3007519043	3238998161	1	1	4	0.1
15	3238998162	3463801647	1	1	4	0.1
16	3463801648	3703177549	1	1	4	0.1
17	3703177550	3929718490	1	1	4	0.1
18	3929718491	4064172438	1	1	4	0.1
19	4064172439	4253827123	1	1	4	0.1
20	4253827124	4412320208	1	1	4	0.1
21	4412320209	4629393312	1	1	4	0.1
22	4629393313	4832997223	1	1	4	0.1
23	4832997224	4976474393	1	1	4	0.1
24	4976474394	5178571774	1	1	4	0.1
L	1035424842	1035424842	1	6	6	0.01
L	1441861874	1441861874	1	6	6	0.01
L	995419181	995419181	1	6	6	0.01
L	4714803383	4714803383	1	6	6	0.01
L	1565962152	1565962152	1	6	6	0.01
L	1543250131	1543250131	1	6	6	0.01
L	1619236141	1619236141	1	6	6	0.01
L	1542816585	1542816585	1	6	6	0.01
L	1542865943	1542865943	1	6	6	0.01
L	1560993392	1560993392	1	6	6	0.01
L	1561033628	1561033628	1	6	6	0.01
L	1561412034	1561412034	1	6	6	0.01
L	263945880	263945880	1	6	6	0.01
L	1016894573	1016894573	1	6	6	0.01
L	1527241633	1527241633	1	6	6	0.01
L	1528279253	1528279253	1	6	6	0.01
L	1531717304	1531717304	1	6	6	0.01
L	1532053926	1532053926	1	6	6	0.01
L	1570411401	1570411401	1	6	6	0.01
L	1567415371	1567415371	1	6	6	0.01
L	1017295115	1017295115	1	6	6	0.01
L	1568883240	1568883240	1	6	6	0.01
L	1045946669	1045946669	1	6	6	0.01
L	1577573615	1577573615	1	6	6	0.01
L	1571336174	1571336174	1	6	6	0.01
L	1568820545	1568820545	1	6	6	0.01
L	1108515537	1108515537	1	6	6	0.01
L	900008991	900008991	1	6	6	0.01
L	4695206669	4695206669	1	6	6	0.01
L	4705549406	4705549406	1	6	6	0.01
L	4705308134	4705308134	1	6	6	0.01
L	3592938406	3592938406	1	6	6	0.01
L	3517906247	3517906247	1	6	6	0.01
L	3592135125	3592135125	1	6	6	0.01
L	3592475565	3592475565	1	6	6	0.01
L	2535456668	2535456668	1	6	6	0.01
L	3592756524	3592756524	1	6	6	0.01
L	3504872690	3504872690	1	6	6	0.01
L	3504508845	3504508845	1	6	6	0.01
L	3591319111	3591319111	1	6	6	0.01
L	2358597932	2358597932	1	6	6	0.01
L	2467177994	2467177994	1	6	6	0.01
L	2466584035	2466584035	1	6	6	0.01
L	2503202425	2503202425	1	6	6	0.01
L	4783412887	4783412887	1	6	6	0.01
L	3509210560	3509210560	1	6	6	0.01
L	2467880721	2467880721	1	6	6	0.01
L	3510529175	3510529175	1	6	6	0.01
L	3505224747	3505224747	1	6	6	0.01
L	2367201197	2367201197	1	6	6	0.01
L	2384939955	2384939955	1	6	6	0.01
L	743814704	743814704	1	6	6	0.01
L	664395218	664395218	1	6	6	0.01
L	639203535	639203535	1	6	6	0.01
L	879267594	879267594	1	6	6	0.01
L	3860588150	3860588150	1	6	6	0.01
L	3859043752	3859043752	1	6	6	0.01
L	851538876	851538876	1	6	6	0.01
L	3860524968	3860524968	1	6	6	0.01
L	828111754	828111754	1	6	6	0.01
L	701048405	701048405	1	6	6	0.01
L	634546108	634546108	1	6	6	0.01
L	702434965	702434965	1	6	6	0.01
L	827440637	827440637	1	6	6	0.01
L	663596728	663596728	1	6	6	0.01
L	3758032055	3758032055	1	6	6	0.01
L	3758099146	3758099146	1	6	6	0.01
L	3758115256	3758115256	1	6	6	0.01
L	3906696035	3906696035	1	6	6	0.01
L	820056621	820056621	1	6	6	0.01
L	820347783	820347783	1	6	6	0.01
L	824106372	824106372	1	6	6	0.01
L	824191987	824191987	1	6	6	0.01
L	746942241	746942241	1	6	6	0.01
L	749035896	749035896	1	6	6	0.01
L	1962443787	1962443787	1	6	6	0.01
L	813140264	813140264	1	6	6	0.01
L	808735267	808735267	1	6	6	0.01
L	3777174105	3777174105	1	6	6	0.01
L	742527492	742527492	1	6	6	0.01
L	741692098	741692098	1	6	6	0.01
L	673075740	673075740	1	6	6	0.01
L	3898284837	3898284837	1	6	6	0.01
L	3899032329	3899032329	1	6	6	0.01
L	4267998223	4267998223	1	6	6	0.01
L	732834178	732834178	1	6	6	0.01
L	1520100124	1520100124	1	6	6	0.01
L	267386561	267386561	1	6	6	0.01
L	1611217866	1611217866	1	6	6	0.01
L	4614655457	4614655457	1	6	6	0.01
L	4614920567	4614920567	1	6	6	0.01
L	4616229194	4616229194	1	6	6	0.01
L	3905500605	3905500605	1	6	6	0.01
L	3883907179	3883907179	1	6	6	0.01
