# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i rGopEvg1.pri.cur.20190603.fasta -o rGopEvg1.pri.cur.20190603.fasta.vert.human.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t bTaeGut2.mat.cur.20200124.vert.human.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr3	158158638	158330987	4621.1	2442
EOG090B0021	Complete	chr1	44857799	44914201	1016.8	670
EOG090B002I	Complete	chr2	207770253	207886789	2167.6	2294
EOG090B0039	Complete	chr5	50860570	51079198	5239.8	2561
EOG090B003S	Complete	chr17	17095005	17183737	3601.9	2055
EOG090B004D	Complete	chr17	573000	604300	4445.9	1980
EOG090B004X	Complete	chr8	100022959	100159377	4066.3	2205
EOG090B0050	Complete	chr3	74257070	74334170	3074.4	1700
EOG090B005N	Complete	chr2	80147654	80245680	4370.2	2055
EOG090B005Q	Complete	chr9	105620725	105694177	1934.6	1587
EOG090B0067	Complete	chr2	3138902	3253823	2871.5	2326
EOG090B006Y	Complete	chr10	73851124	73886337	3546.6	1794
EOG090B006Z	Complete	chr6	65242193	65268103	1806.7	1554
EOG090B007C	Complete	chr11	16679941	16764566	2738.4	1367
EOG090B007D	Complete	chr3	219438508	219636065	2900.8	1570
EOG090B007O	Complete	chr1	212613619	212640762	2583.8	1989
EOG090B007P	Complete	chr4	29074272	29166330	3033.3	1654
EOG090B008K	Complete	chr6	31955288	32029650	2881.2	1555
EOG090B008M	Complete	chr1	277393147	277462342	3619.7	1806
EOG090B0092	Complete	chr8	52630802	52799113	2332.4	1407
EOG090B0097	Complete	chr6	86158960	86187965	2978.4	2058
EOG090B009E	Complete	chr4	30188542	30248499	3243.4	1523
EOG090B009G	Complete	chr9	34140450	34270675	3660.0	1871
EOG090B009K	Complete	chr15	21978509	22092446	2965.7	1609
EOG090B009Q	Complete	chr5	111818477	111853725	2552.6	1848
EOG090B009U	Complete	chr7	73149645	73259866	2930.4	1525
EOG090B00A3	Complete	chr6	16251176	16318511	3146.4	1581
EOG090B00A5	Complete	chr14	93608	116642	2722.7	1546
EOG090B00AI	Complete	chr1	59687742	59733381	2357.5	1612
EOG090B00B0	Complete	chr5	43656181	43685338	3140.8	1490
EOG090B00BC	Complete	chr6	115210847	115271098	573.4	377
EOG090B00BI	Complete	chr16	15663106	15710323	2639.2	1769
EOG090B00BQ	Complete	chr10	66446040	66477851	2152.4	1160
EOG090B00BU	Complete	chr3	152992389	153086491	1775.5	1351
EOG090B00BV	Complete	chr10	244131	323740	1825.1	1651
EOG090B00CA	Complete	chr2	87705451	87813014	2385.6	1993
EOG090B00CE	Complete	chr2	275706455	275817131	2526.6	1409
EOG090B00CX	Complete	chr2	126644625	126692057	533.0	422
EOG090B00DK	Complete	chr7	75082146	75174003	2847.4	1389
EOG090B00DR	Complete	chr17	673752	691435	2609.1	1539
EOG090B00E7	Complete	chr3	159450124	159500194	1885.8	1690
EOG090B00EI	Complete	chr7	12134463	12195942	2916.7	1669
EOG090B00ER	Complete	chr1	304750222	304895601	3111.5	1469
EOG090B00EW	Complete	chr2	203198123	203317541	1292.7	827
EOG090B00F1	Complete	chr5	58456870	58542542	2587.2	1659
EOG090B00F6	Complete	chr20	6083985	6118685	845.4	729
EOG090B00F8	Complete	scaffold_48_arrow_ctg1	1391539	1425721	1541.7	1260
EOG090B00FD	Complete	chr2	10801637	10879932	2086.7	1416
EOG090B00G4	Complete	chr13	21588657	21649608	2817.9	1362
EOG090B00GH	Complete	chr11	15109370	15235438	2453.8	1265
EOG090B00GK	Complete	chr4	79692890	79797748	1689.0	939
EOG090B00GQ	Complete	chr4	51753645	51824492	2763.6	1355
