chr1	po1	gene1	chr2	po2	gene2
chr1	1082893	EOG090B0LIR	chr21	117084	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr21	69004	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chr21	1490641	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr21	1509897	EOG090B03H1
chr1	2019424	EOG090B07C7	chr21	2124711	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr21	2421558	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr21	2430533	EOG090B0D29
chr1	3625073	EOG090B0DVR	chr21	3154329	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr21	3158091	EOG090B05QE
chr1	3781088	EOG090B060G	chr21	3213051	EOG090B060G
chr1	3815402	EOG090B027C	chr21	3219544	EOG090B027C
chr1	3857604	EOG090B099H	chr21	3232794	EOG090B099H
chr1	6225080	EOG090B0BYH	chr21	3536903	EOG090B0BYH
chr1	6525854	EOG090B066X	chr21	3577596	EOG090B066X
chr1	8324330	EOG090B03E1	chr21	3995181	EOG090B03E1
chr1	9588931	EOG090B06F2	chr21	790005	EOG090B06F2
chr1	9930399	EOG090B0ILM	chr21	920989	EOG090B0ILM
chr1	10461490	EOG090B098N	chr21	1063381	EOG090B098N
chr1	11066718	EOG090B01UK	chr21	5142993	EOG090B01UK
chr1	11273532	EOG090B09M4	chr21	5074739	EOG090B09M4
chr1	11674775	EOG090B0DNB	chr21	4932255	EOG090B0DNB
chr1	12021727	EOG090B0932	chr21	4762667	EOG090B0932
chr1	15701941	EOG090B01DA	chr21	5843181	EOG090B01DA
chr1	19339530	EOG090B08IR	chr21	7702901	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr21	7822860	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr21	7867404	EOG090B09XF
chr1	20652379	EOG090B0651	chr21	5807846	EOG090B0651
chr1	20744797	EOG090B076T	chr21	5763389	EOG090B076T
chr1	21679417	EOG090B014N	chr21	5551050	EOG090B014N
chr1	23030397	EOG090B02B1	chr23	70601	EOG090B02B1
chr1	25821900	EOG090B0C5W	chr23	3336353	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr23	3403574	EOG090B0GZR
chr1	26282299	EOG090B07YS	chr23	3431333	EOG090B07YS
chr1	26432946	EOG090B08EA	chr23	3477306	EOG090B08EA
chr1	26790816	EOG090B05U9	chr23	3626195	EOG090B05U9
chr1	26891010	EOG090B066W	chr23	3655138	EOG090B066W
chr1	26921849	EOG090B0CH3	chr23	3664509	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr23	3754458	EOG090B02Y1
chr1	27935184	EOG090B065U	chr23	4246141	EOG090B065U
chr1	28330663	EOG090B0DRP	chrZ	65720833	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr23	4023994	EOG090B07B6
chr1	32222442	EOG090B08H1	chr23	2282209	EOG090B08H1
chr1	35559125	EOG090B04N6	chr23	1337257	EOG090B04N6
chr1	35736496	EOG090B01JZ	chr23	1229635	EOG090B01JZ
chr1	36084922	EOG090B0769	chr23	1144586	EOG090B0769
chr1	36088905	EOG090B0AA8	chr23	1139922	EOG090B0AA8
chr1	36341755	EOG090B06G7	chr23	1013875	EOG090B06G7
chr1	37501254	EOG090B0K2H	chr23	621004	EOG090B0K2H
chr1	37537748	EOG090B0C4X	chr23	615541	EOG090B0C4X
chr1	37803925	EOG090B0G4S	chr23	466845	EOG090B0G4S
chr1	39841744	EOG090B065A	chr23	2750798	EOG090B065A
chr1	40391348	EOG090B09F3	chr23	1935077	EOG090B09F3
chr1	42430736	EOG090B07R4	chr21	5235464	EOG090B07R4
chr1	43164443	EOG090B0BON	chr8	12688867	EOG090B0BON
chr1	43375683	EOG090B0COA	chr8	12580682	EOG090B0COA
chr1	43451019	EOG090B0B6W	chr8	12523352	EOG090B0B6W
chr1	43970176	EOG090B08RF	chr8	11834316	EOG090B08RF
chr1	44213754	EOG090B06WO	chr8	11733073	EOG090B06WO
chr1	44654559	EOG090B0DK8	chr8	11346416	EOG090B0DK8
chr1	45012266	EOG090B08C2	chr8	11129235	EOG090B08C2
chr1	45331125	EOG090B04FN	chr8	11009293	EOG090B04FN
chr1	45340253	EOG090B05A9	chr8	11004209	EOG090B05A9
chr1	45500333	EOG090B0ES0	chr8	10889771	EOG090B0ES0
chr1	46189270	EOG090B02YV	chr8	10451118	EOG090B02YV
chr1	46248406	EOG090B02KB	chr8	10346896	EOG090B02KB
chr1	46635776	EOG090B0BA1	chr8	10024560	EOG090B0BA1
chr1	52687720	EOG090B0CBQ	chr8	7196892	EOG090B0CBQ
chr1	53069856	EOG090B05IS	chr8	7119756	EOG090B05IS
chr1	53951922	EOG090B06X6	chr8	6536799	EOG090B06X6
chr1	54054333	EOG090B0E8F	chr8	6513042	EOG090B0E8F
chr1	54132968	EOG090B04IK	chr8	6498982	EOG090B04IK
chr1	54200244	EOG090B07JY	chr8	6480111	EOG090B07JY
chr1	54852233	EOG090B04CY	chr8	6361820	EOG090B04CY
chr1	55069045	EOG090B004X	chr8	6268093	EOG090B004X
chr1	58486087	EOG090B06T4	chr8	5117379	EOG090B06T4
chr1	58659997	EOG090B01ON	chr8	5093300	EOG090B01ON
chr1	62437245	EOG090B06NX	chr8	3915178	EOG090B06NX
chr1	63525573	EOG090B03RD	chr8	3552521	EOG090B03RD
chr1	66930392	EOG090B07BU	chr8	2418178	EOG090B07BU
chr1	77913642	EOG090B067T	chr8	13392359	EOG090B067T
chr1	78492744	EOG090B08IQ	chr8	13559456	EOG090B08IQ
chr1	84365421	EOG090B08GT	chr8	15612721	EOG090B08GT
chr1	85267627	EOG090B0HS9	chr8	15928099	EOG090B0HS9
chr1	85321452	EOG090B0B52	chr8	15940050	EOG090B0B52
chr1	85670175	EOG090B088A	chr8	16051898	EOG090B088A
chr1	87332016	EOG090B0JIN	chr8	16492732	EOG090B0JIN
chr1	88853213	EOG090B09U6	chr8	17063820	EOG090B09U6
chr1	92299074	EOG090B03Z3	chr8	18091158	EOG090B03Z3
chr1	94446969	EOG090B037M	chr8	18724269	EOG090B037M
chr1	108648566	EOG090B08CP	chr8	22514321	EOG090B08CP
chr1	110363766	EOG090B071D	chr26	4743612	EOG090B071D
chr1	111187605	EOG090B05WB	chr26	6551670	EOG090B05WB
chr1	113895065	EOG090B0596	chr26	1226816	EOG090B0596
chr1	117870569	EOG090B055C	chr1	25111364	EOG090B055C
chr1	117933320	EOG090B01TU	chr1	25134639	EOG090B01TU
chr1	119025531	EOG090B08R0	chr1	25541063	EOG090B08R0
chr1	156054890	EOG090B0HV2	chr25	459546	EOG090B0HV2
chr1	161749802	EOG090B0G4H	chr1	25058039	EOG090B0G4H
chr1	166857567	EOG090B0A6X	chr8	31441703	EOG090B0A6X
chr1	167093732	EOG090B01NJ	chr1	14679645	EOG090B01NJ
chr1	168179078	EOG090B0DRM	chr1	19933715	EOG090B0DRM
chr1	169298520	EOG090B084C	chr1	20328803	EOG090B084C
chr1	169853713	EOG090B03IN	chr8	30632276	EOG090B03IN
chr1	170532224	EOG090B0F6W	chr8	30833273	EOG090B0F6W
chr1	171781968	EOG090B052Y	chr8	31041710	EOG090B052Y
chr1	173800448	EOG090B0AEM	chr8	30017935	EOG090B0AEM
chr1	179330295	EOG090B04MQ	chr8	29131887	EOG090B04MQ
chr1	185084758	EOG090B0BPK	chr8	25745736	EOG090B0BPK
chr1	185120019	EOG090B02JJ	chr8	25755164	EOG090B02JJ
chr1	185298035	EOG090B03BE	chr8	25795404	EOG090B03BE
chr1	193016351	EOG090B099U	chr8	24941224	EOG090B099U
chr1	193180294	EOG090B06JA	chr8	24857304	EOG090B06JA
chr1	204506901	EOG090B05MV	chr26	2878967	EOG090B05MV
chr1	205042114	EOG090B01JB	chr26	3047028	EOG090B01JB
chr1	205094743	EOG090B04NX	chr26	3080285	EOG090B04NX
chr1	205228565	EOG090B052S	chr26	3151567	EOG090B052S
chr1	205616546	EOG090B09Y2	chr26	3356019	EOG090B09Y2
chr1	207049020	EOG090B09PR	chr26	3900563	EOG090B09PR
chr1	211479036	EOG090B0EQJ	chr3	100722096	EOG090B0EQJ
chr1	211749899	EOG090B07FH	chr3	100852982	EOG090B07FH
chr1	211941824	EOG090B01LW	chr3	100930837	EOG090B01LW
chr1	212365215	EOG090B0870	chr3	101060788	EOG090B0870
chr1	214613755	EOG090B028F	chr3	102001403	EOG090B028F
chr1	222558660	EOG090B06LN	chr3	105126085	EOG090B06LN
chr1	224356925	EOG090B0GJT	chr3	95915623	EOG090B0GJT
chr1	226361460	EOG090B0KEX	chr3	95309126	EOG090B0KEX
chr1	228165817	EOG090B0BOM	chr2	2542608	EOG090B0BOM
chr1	230642607	EOG090B039X	chr3	71913760	EOG090B039X
chr1	230979106	EOG090B0ALZ	chr3	72069340	EOG090B0ALZ
chr1	231338384	EOG090B06ND	chr3	71172686	EOG090B06ND
chr1	231521285	EOG090B0A3R	chr3	71071041	EOG090B0A3R
chr1	232954548	EOG090B0FBA	chr3	70407660	EOG090B0FBA
chr1	235335265	EOG090B0A35	chr3	69448407	EOG090B0A35
chr1	235450206	EOG090B04O5	chr3	69388197	EOG090B04O5
chr1	244047831	EOG090B04FL	chr3	81676280	EOG090B04FL
chr1	244854450	EOG090B05VA	chr3	81447379	EOG090B05VA
chr2	669580	EOG090B0J2X	chr3	20099677	EOG090B0J2X
chr2	3545785	EOG090B0ATE	chr3	18497429	EOG090B0ATE
chr2	6849850	EOG090B068Q	chr3	17206247	EOG090B068Q
chr2	6877801	EOG090B0C4K	chr3	17194643	EOG090B0C4K
chr2	9406834	EOG090B0FQ9	chr3	16020047	EOG090B0FQ9
chr2	10572071	EOG090B03N4	chr3	15205676	EOG090B03N4
chr2	10784258	EOG090B07JD	chr3	15164829	EOG090B07JD
chr2	11155547	EOG090B0EDB	chr3	14917795	EOG090B0EDB
chr2	17759944	EOG090B01WV	chr3	11825309	EOG090B01WV
chr2	27653485	EOG090B08OA	chr3	106601638	EOG090B08OA
chr2	28894699	EOG090B03HH	chr3	93089876	EOG090B03HH
chr2	29121389	EOG090B0342	chr3	93139999	EOG090B0342
chr2	37201764	EOG090B01T9	chr3	77509598	EOG090B01T9
chr2	37231706	EOG090B07CS	chr3	77502296	EOG090B07CS
chr2	38778991	EOG090B0FBL	chr3	113031263	EOG090B0FBL
chr2	42767437	EOG090B0A2Z	chr3	98769857	EOG090B0A2Z
chr2	43774139	EOG090B08JW	chr3	97694850	EOG090B08JW
chr2	43839054	EOG090B03PC	chr3	97663048	EOG090B03PC
chr2	43888600	EOG090B00YL	chr3	97566318	EOG090B00YL
chr2	44321356	EOG090B036Z	chr3	97392130	EOG090B036Z
chr2	46340318	EOG090B020C	chr3	96230864	EOG090B020C
chr2	53767887	EOG090B0F0M	chr3	85442098	EOG090B0F0M
chr2	55636237	EOG090B02GP	chr3	86050429	EOG090B02GP
chr2	61990187	EOG090B0EYL	chr3	112350601	EOG090B0EYL
chr2	62501209	EOG090B0FVL	chr3	112281708	EOG090B0FVL
chr2	63364425	EOG090B02R6	chr3	111921372	EOG090B02R6
chr2	63893430	EOG090B01G5	chr3	111782451	EOG090B01G5
chr2	68131238	EOG090B0819	chr3	110028263	EOG090B0819
chr2	71109970	EOG090B0G04	chr10	6310816	EOG090B0G04
chr2	71130666	EOG090B08AD	chr10	6302187	EOG090B08AD
chr2	73214267	EOG090B07GD	chr4	573853	EOG090B07GD
chr2	85840144	EOG090B07KK	chr4	6476985	EOG090B07KK
chr2	86144268	EOG090B03JU	chr4	6372942	EOG090B03JU
chr2	88557736	EOG090B01DI	chr4	5882474	EOG090B01DI
chr2	98609709	EOG090B0BI3	chr1	83175711	EOG090B0BI3
chr2	100393245	EOG090B07BF	chr1	83963366	EOG090B07BF
