chr1	po1	gene1	chr2	po2	gene2
chr1	944694	EOG090B05OD	chr9	175951	EOG090B05OD
chr1	1082893	EOG090B0LIR	chr9	283987	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr9	388204	EOG090B08Y2
chr1	1255203	EOG090B0C55	chr9	420541	EOG090B0C55
chr1	1308644	EOG090B0AXY	chr9	459818	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr9	462149	EOG090B03H1
chr1	2019424	EOG090B07C7	chr9	884753	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr9	1162228	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr9	1174065	EOG090B0D29
chr1	2508847	EOG090B028U	chr9	1258162	EOG090B028U
chr1	3625073	EOG090B0DVR	chr9	2039843	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr9	2044261	EOG090B05QE
chr1	3781088	EOG090B060G	chr9	2157405	EOG090B060G
chr1	3815402	EOG090B027C	chr9	2174337	EOG090B027C
chr1	3857604	EOG090B099H	chr9	2211354	EOG090B099H
chr1	6225080	EOG090B0BYH	chr9	3766732	EOG090B0BYH
chr1	6525854	EOG090B066X	chr9	3989746	EOG090B066X
chr1	6614067	EOG090B0BKA	chr9	4037489	EOG090B0BKA
chr1	8324330	EOG090B03E1	chr9	5390182	EOG090B03E1
chr1	9588931	EOG090B06F2	chr9	6321852	EOG090B06F2
chr1	9730508	EOG090B01F0	chr9	6417211	EOG090B01F0
chr1	9930399	EOG090B0ILM	chr9	6556157	EOG090B0ILM
chr1	10083473	EOG090B00ZI	chr9	6665519	EOG090B00ZI
chr1	10399118	EOG090B05GI	chr9	6890858	EOG090B05GI
chr1	10461490	EOG090B098N	chr9	6955718	EOG090B098N
chr1	10598340	EOG090B0B8F	chr9	7060837	EOG090B0B8F
chr1	11066718	EOG090B01UK	chr9	7434555	EOG090B01UK
chr1	11273532	EOG090B09M4	chr9	7576912	EOG090B09M4
chr1	11500993	EOG090B00U4	chr9	7733195	EOG090B00U4
chr1	11674775	EOG090B0DNB	chr9	7890937	EOG090B0DNB
chr1	11790680	EOG090B031B	chr9	7982330	EOG090B031B
chr1	11804633	EOG090B01SI	chr9	7994023	EOG090B01SI
chr1	11906303	EOG090B053B	chr9	8080077	EOG090B053B
chr1	12021727	EOG090B0932	chr9	8178231	EOG090B0932
chr1	12234267	EOG090B0FLR	chr9	8341447	EOG090B0FLR
chr1	15492943	EOG090B095T	chr9	10374569	EOG090B095T
chr1	15701941	EOG090B01DA	chr9	10518500	EOG090B01DA
chr1	19219303	EOG090B01EP	chr9	12921309	EOG090B01EP
chr1	19251836	EOG090B0D5M	chr9	12944646	EOG090B0D5M
chr1	19339530	EOG090B08IR	chr9	12984355	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr9	13257035	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr9	13392486	EOG090B09XF
chr1	20500690	EOG090B082J	chr9	13834183	EOG090B082J
chr1	20652379	EOG090B0651	chr9	13934458	EOG090B0651
chr1	20744797	EOG090B076T	chr9	14011796	EOG090B076T
chr1	21679417	EOG090B014N	chr9	14654475	EOG090B014N
chr1	22563636	EOG090B0178	chr9	15334429	EOG090B0178
chr1	23030397	EOG090B02B1	chr9	15680762	EOG090B02B1
chr1	23778516	EOG090B0G12	chr9	16238277	EOG090B0G12
chr1	24902122	EOG090B09DL	chr9	17001858	EOG090B09DL
chr1	25821900	EOG090B0C5W	chr9	17680904	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr9	17923894	EOG090B0GZR
chr1	26280156	EOG090B0JOD	chr9	17993961	EOG090B0JOD
chr1	26282299	EOG090B07YS	chr9	17996087	EOG090B07YS
chr1	26432946	EOG090B08EA	chr9	18109111	EOG090B08EA
chr1	26790816	EOG090B05U9	chr9	18352331	EOG090B05U9
chr1	26891010	EOG090B066W	chr9	18417715	EOG090B066W
chr1	26921849	EOG090B0CH3	chr9	18438893	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr9	18671117	EOG090B02Y1
chr1	27935184	EOG090B065U	chr9	19154272	EOG090B065U
chr1	28095742	EOG090B0CF5	chr11	49768907	EOG090B0CF5
chr1	28149993	EOG090B08LV	chr9	19323076	EOG090B08LV
chr1	28330663	EOG090B0DRP	chr9	19453613	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr9	19575348	EOG090B07B6
chr1	28603539	EOG090B0H7D	chr9	19632500	EOG090B0H7D
chr1	31727420	EOG090B00F6	chr9	21764896	EOG090B00F6
chr1	32222442	EOG090B08H1	chr9	22121370	EOG090B08H1
chr1	32367291	EOG090B08U3	chr9	22216673	EOG090B08U3
chr1	32775981	EOG090B055Q	chr9	22439451	EOG090B055Q
chr1	35559125	EOG090B04N6	chr9	24664921	EOG090B04N6
chr1	35736496	EOG090B01JZ	chr9	24800082	EOG090B01JZ
chr1	36084922	EOG090B0769	chr9	25045380	EOG090B0769
chr1	36088905	EOG090B0AA8	chr9	25068300	EOG090B0AA8
chr1	36341755	EOG090B06G7	chr9	25251415	EOG090B06G7
chr1	37501254	EOG090B0K2H	chr9	26196443	EOG090B0K2H
chr1	37537748	EOG090B0C4X	chr9	26221440	EOG090B0C4X
chr1	37692691	EOG090B0CTR	chr9	26334497	EOG090B0CTR
chr1	37803925	EOG090B0G4S	chr9	26412550	EOG090B0G4S
chr1	39841744	EOG090B065A	chr9	27914804	EOG090B065A
chr1	40074061	EOG090B0A2X	chr9	28070732	EOG090B0A2X
chr1	40391348	EOG090B09F3	chr9	28280793	EOG090B09F3
chr1	42430736	EOG090B07R4	chr9	29885579	EOG090B07R4
chr1	43164443	EOG090B0BON	chr9	30443631	EOG090B0BON
chr1	43375683	EOG090B0COA	chr9	30606854	EOG090B0COA
chr1	43451019	EOG090B0B6W	chr9	30671112	EOG090B0B6W
chr1	43970176	EOG090B08RF	chr9	31082418	EOG090B08RF
chr1	44213754	EOG090B06WO	chr9	31240304	EOG090B06WO
chr1	44654559	EOG090B0DK8	chr9	31629820	EOG090B0DK8
chr1	44738672	EOG090B03FY	chr24	4319862	EOG090B03FY
chr1	44850951	EOG090B07D1	chr9	31794152	EOG090B07D1
chr1	45012266	EOG090B08C2	chr9	31920345	EOG090B08C2
chr1	45331125	EOG090B04FN	chr9	32138645	EOG090B04FN
chr1	45340253	EOG090B05A9	chr9	32145135	EOG090B05A9
chr1	45500333	EOG090B0ES0	chr9	32273611	EOG090B0ES0
chr1	46189270	EOG090B02YV	chr9	32821484	EOG090B02YV
chr1	46248406	EOG090B02KB	chr9	32851660	EOG090B02KB
chr1	46635776	EOG090B0BA1	chr9	33151818	EOG090B0BA1
chr1	47269631	EOG090B00RI	chr9	33448129	EOG090B00RI
chr1	48435967	EOG090B06QG	chr8	29949802	EOG090B06QG
chr1	50524342	EOG090B03HU	chr9	36053055	EOG090B03HU
chr1	52004264	EOG090B0FQ0	chr9	37152487	EOG090B0FQ0
chr1	52687720	EOG090B0CBQ	chr9	37636379	EOG090B0CBQ
chr1	53069856	EOG090B05IS	chr9	37949504	EOG090B05IS
chr1	53767970	EOG090B04I0	chr9	38543169	EOG090B04I0
