name	start	end	strand	col	fill	lwd
1	1	417460861	1	4	4	0.1
2	417460862	823581412	1	4	4	0.1
3	823581413	1156091954	1	4	4	0.1
4	1156091955	1475051920	1	4	4	0.1
5	1475051921	1779463099	1	4	4	0.1
6	1779463100	2065877928	1	4	4	0.1
7	2065877929	2333076125	1	4	4	0.1
8	2333076126	2576450847	1	4	4	0.1
9	2576450848	2808517075	1	4	4	0.1
10	2808517076	3032874360	1	4	4	0.1
11	3032874361	3259393431	1	4	4	0.1
12	3259393432	3482875215	1	4	4	0.1
13	3482875216	3674646250	1	4	4	0.1
14	3674646251	3854141771	1	4	4	0.1
15	3854141772	4025164993	1	4	4	0.1
16	4025164994	4176648224	1	4	4	0.1
17	4176648225	4316257890	1	4	4	0.1
18	4316257891	4451031279	1	4	4	0.1
19	4451031280	4549323824	1	4	4	0.1
20	4549323825	4657386581	1	4	4	0.1
21	4657386582	4735711894	1	4	4	0.1
22	4735711895	4820926492	1	4	4	0.1
X	4820926493	5082582592	1	4	4	0.1
Y	5082582593	5178543988	1	4	4	0.1
M	5178543989	5178571771	1	4	4	0.1
1	1	417460861	1	1	6	0.1
2	417460862	823581412	1	1	7	0.1
3	823581413	1156091954	1	1	8	0.1
4	1156091955	1475051920	1	1	9	0.1
5	1475051921	1779463099	1	1	10	0.1
6	1779463100	2065877928	1	1	5	0.1
7	2065877929	2333076125	1	1	12	0.1
8	2333076126	2576450847	1	1	13	0.1
9	2576450848	2808517075	1	1	14	0.1
10	2808517076	3032874360	1	1	15	0.1
11	3032874361	3259393431	1	1	16	0.1
12	3259393432	3482875215	1	1	17	0.1
13	3482875216	3674646250	1	1	18	0.1
14	3674646251	3854141771	1	1	19	0.1
15	3854141772	4025164993	1	1	20	0.1
16	4025164994	4176648224	1	1	21	0.1
17	4176648225	4316257890	1	1	22	0.1
18	4316257891	4451031279	1	1	23	0.1
19	4451031280	4549323824	1	1	24	0.1
20	4549323825	4657386581	1	1	25	0.1
21	4657386582	4735711894	1	1	26	0.1
22	4735711895	4820926492	1	1	27	0.1
X	4820926493	5082582592	1	1	28	0.1
Y	5082582593	5178543988	1	1	29	0.1
M	5178543989	5178571771	1	1	30	0.1
L	1815841	1815841	1	6	6	0.01
L	2041576	2041576	1	6	6	0.01
L	2194390	2194390	1	6	6	0.01
L	2199781	2199781	1	6	6	0.01
L	3386257	3386257	1	6	6	0.01
L	4012185	4012185	1	6	6	0.01
L	4034092	4034092	1	6	6	0.01
L	6078678	6078678	1	6	6	0.01
L	6088575	6088575	1	6	6	0.01
L	6340291	6340291	1	6	6	0.01
L	6397830	6397830	1	6	6	0.01
L	6468596	6468596	1	6	6	0.01
L	10438482	10438482	1	6	6	0.01
L	13958595	13958595	1	6	6	0.01
L	16079132	16079132	1	6	6	0.01
L	16651721	16651721	1	6	6	0.01
L	17542277	17542277	1	6	6	0.01
L	18557149	18557149	1	6	6	0.01
L	18903944	18903944	1	6	6	0.01
L	19576766	19576766	1	6	6	0.01
L	20158550	20158550	1	6	6	0.01
L	26329691	26329691	1	6	6	0.01
L	32429357	32429357	1	6	6	0.01
L	33005370	33005370	1	6	6	0.01
L	33339856	33339856	1	6	6	0.01
L	34630799	34630799	1	6	6	0.01
L	34785769	34785769	1	6	6	0.01
L	36352981	36352981	1	6	6	0.01
L	38618362	38618362	1	6	6	0.01
L	43299275	43299275	1	6	6	0.01
L	43882957	43882957	1	6	6	0.01
L	44071292	44071292	1	6	6	0.01
L	44323903	44323903	1	6	6	0.01
L	44923995	44923995	1	6	6	0.01
L	45092004	45092004	1	6	6	0.01
L	45143717	45143717	1	6	6	0.01
L	45717492	45717492	1	6	6	0.01
L	46842920	46842920	1	6	6	0.01
L	47506077	47506077	1	6	6	0.01
L	47840111	47840111	1	6	6	0.01
L	54031979	54031979	1	6	6	0.01
L	59627073	59627073	1	6	6	0.01
L	59924497	59924497	1	6	6	0.01
L	60508752	60508752	1	6	6	0.01
L	60515431	60515431	1	6	6	0.01
L	60939421	60939421	1	6	6	0.01
L	62883719	62883719	1	6	6	0.01
L	62944914	62944914	1	6	6	0.01
L	63391251	63391251	1	6	6	0.01
L	66808354	66808354	1	6	6	0.01
L	67729953	67729953	1	6	6	0.01
L	72379999	72379999	1	6	6	0.01
L	72734215	72734215	1	6	6	0.01
L	72860541	72860541	1	6	6	0.01
L	74139528	74139528	1	6	6	0.01
L	74878689	74878689	1	6	6	0.01
L	75478508	75478508	1	6	6	0.01
L	76013184	76013184	1	6	6	0.01
L	76028491	76028491	1	6	6	0.01
L	76296920	76296920	1	6	6	0.01
L	77452159	77452159	1	6	6	0.01
L	77551321	77551321	1	6	6	0.01
L	78200879	78200879	1	6	6	0.01
L	88349040	88349040	1	6	6	0.01
L	88989822	88989822	1	6	6	0.01
L	90468908	90468908	1	6	6	0.01
L	90640636	90640636	1	6	6	0.01
L	90772494	90772494	1	6	6	0.01
L	90885305	90885305	1	6	6	0.01
L	91978589	91978589	1	6	6	0.01
L	92342148	92342148	1	6	6	0.01
L	98071992	98071992	1	6	6	0.01
L	98363612	98363612	1	6	6	0.01
L	104697464	104697464	1	6	6	0.01
L	106522419	106522419	1	6	6	0.01
L	112231766	112231766	1	6	6	0.01
L	130648954	130648954	1	6	6	0.01
L	141467575	141467575	1	6	6	0.01
L	142980433	142980433	1	6	6	0.01
L	143070689	143070689	1	6	6	0.01
L	143655443	143655443	1	6	6	0.01
L	146442089	146442089	1	6	6	0.01
L	148992898	148992898	1	6	6	0.01
L	154771066	154771066	1	6	6	0.01
L	158372749	158372749	1	6	6	0.01
L	182186599	182186599	1	6	6	0.01
L	185062721	185062721	1	6	6	0.01
L	186444169	186444169	1	6	6	0.01
L	190984155	190984155	1	6	6	0.01
L	197650451	197650451	1	6	6	0.01
L	197755675	197755675	1	6	6	0.01
L	199587142	199587142	1	6	6	0.01
L	271229041	271229041	1	6	6	0.01
L	279793962	279793962	1	6	6	0.01
L	282009928	282009928	1	6	6	0.01
L	283887057	283887057	1	6	6	0.01
L	284818028	284818028	1	6	6	0.01
L	285955785	285955785	1	6	6	0.01
L	288051410	288051410	1	6	6	0.01
L	291436084	291436084	1	6	6	0.01
L	300708770	300708770	1	6	6	0.01
L	310358101	310358101	1	6	6	0.01
L	310417229	310417229	1	6	6	0.01
L	310715733	310715733	1	6	6	0.01
L	323658139	323658139	1	6	6	0.01
L	323933045	323933045	1	6	6	0.01
L	342925988	342925988	1	6	6	0.01
L	343911707	343911707	1	6	6	0.01
L	344136105	344136105	1	6	6	0.01
L	347188723	347188723	1	6	6	0.01
L	354617165	354617165	1	6	6	0.01
L	355071359	355071359	1	6	6	0.01
L	355393188	355393188	1	6	6	0.01
L	356103148	356103148	1	6	6	0.01
L	359873597	359873597	1	6	6	0.01
L	373195956	373195956	1	6	6	0.01
L	379572655	379572655	1	6	6	0.01
L	382598279	382598279	1	6	6	0.01
L	386751467	386751467	1	6	6	0.01
L	387315723	387315723	1	6	6	0.01
L	387918176	387918176	1	6	6	0.01
L	388224872	388224872	1	6	6	0.01
L	390628229	390628229	1	6	6	0.01
L	394620318	394620318	1	6	6	0.01
L	394813056	394813056	1	6	6	0.01
L	409229924	409229924	1	6	6	0.01
L	410582498	410582498	1	6	6	0.01
L	418583641	418583641	1	7	7	0.01
L	428946984	428946984	1	7	7	0.01
L	428993854	428993854	1	7	7	0.01
L	433234645	433234645	1	7	7	0.01
L	435188565	435188565	1	7	7	0.01
L	435544369	435544369	1	7	7	0.01
L	436166963	436166963	1	7	7	0.01
L	447241500	447241500	1	7	7	0.01
L	463831416	463831416	1	7	7	0.01
L	466292861	466292861	1	7	7	0.01
L	489175143	489175143	1	7	7	0.01
L	490863224	490863224	1	7	7	0.01
L	490972076	490972076	1	7	7	0.01
L	491055157	491055157	1	7	7	0.01
L	491780821	491780821	1	7	7	0.01
L	495166304	495166304	1	7	7	0.01
L	507621172	507621172	1	7	7	0.01
L	510754101	510754101	1	7	7	0.01
L	521408679	521408679	1	7	7	0.01
L	522265582	522265582	1	7	7	0.01
L	523713060	523713060	1	7	7	0.01
L	524600119	524600119	1	7	7	0.01
L	531706258	531706258	1	7	7	0.01
L	536701124	536701124	1	7	7	0.01
L	536735828	536735828	1	7	7	0.01
L	540229700	540229700	1	7	7	0.01
L	561401315	561401315	1	7	7	0.01
L	561911283	561911283	1	7	7	0.01
L	565958290	565958290	1	7	7	0.01
L	582813872	582813872	1	7	7	0.01
L	585804582	585804582	1	7	7	0.01
L	589703536	589703536	1	7	7	0.01
L	589776978	589776978	1	7	7	0.01
L	593593263	593593263	1	7	7	0.01
L	593977747	593977747	1	7	7	0.01
L	599318133	599318133	1	7	7	0.01
L	600063889	600063889	1	7	7	0.01
L	608147728	608147728	1	7	7	0.01
L	643775740	643775740	1	7	7	0.01
L	645356107	645356107	1	7	7	0.01
