# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i fMasArm1.pri.cur.20190305.fasta -o fMasArm1.pri.cur.20190305.vert.human.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t fMasArm1.pri.cur.20190305.vert.humna.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr15	616768	649735	3625.9	1868
EOG090B0021	Complete	chr13	20275763	20288924	971.1	730
EOG090B002I	Complete	chr24	16660912	16772865	4535.0	2668
EOG090B0039	Complete	chr4	20526719	20571013	5202.6	2575
EOG090B003S	Complete	chr14	6291681	6318905	3711.3	2216
EOG090B004D	Complete	chr13	8249059	8263869	4704.8	2066
EOG090B004X	Complete	chr4	21284219	21310858	4672.4	2332
EOG090B0050	Complete	chr16	7500883	7522850	4020.3	2082
EOG090B005N	Complete	chr20	11439666	11475551	3821.9	2005
EOG090B005Q	Complete	chr13	9662310	9692105	3459.2	1841
EOG090B0067	Complete	chr16	71490	88454	2145.0	2271
EOG090B006Y	Complete	chr8	12037545	12052010	2856.0	1609
EOG090B006Z	Complete	chr12	20992763	21004926	1970.7	1413
EOG090B007C	Complete	chr21	23531249	23551701	3226.9	1646
EOG090B007D	Complete	chr22	14214981	14268406	2925.9	1670
EOG090B007O	Complete	chr20	8032250	8039757	1580.8	1995
EOG090B007P	Complete	chr22	11324959	11336846	2713.4	1603
EOG090B008K	Complete	chr18	15605341	15620201	2670.8	1478
EOG090B008M	Complete	chr6	18789182	18805455	3414.0	1802
EOG090B0092	Complete	chr17	5577435	5644508	2403.0	1403
EOG090B0097	Complete	chr12	16366536	16389169	2776.9	1891
EOG090B009E	Fragmented	chr22	21172428	21181913	588.9	282
EOG090B009G	Complete	chr13	5851309	5867067	2921.6	1603
EOG090B009K	Fragmented	chr1	21952369	21970434	1375.4	699
EOG090B009Q	Complete	chr1	8318777	8325811	1753.2	1659
EOG090B009U	Complete	chr15	1406209	1463709	3030.1	1566
EOG090B00A3	Complete	chr1	25426228	25441547	3015.0	1588
EOG090B00A5	Complete	chr5	8353128	8367687	2328.6	1515
EOG090B00AI	Complete	chr21	24040430	24055944	2030.7	1618
EOG090B00B0	Complete	chr18	12214138	12247940	3255.3	1604
EOG090B00BC	Complete	chr12	14822154	14828499	602.4	411
EOG090B00BI	Complete	chr12	14196670	14214379	2208.7	1793
EOG090B00BQ	Complete	chr1	17950466	17965716	1960.1	1114
