BuscoID,BUSCO_hg38,BUSCO_aRhiBiv1,BUSCO_bCalAnn1,BUSCO_bStrHab1,BUSCO_bTaeGut2,BUSCO_fAnaTes1,BUSCO_fArcCen1,BUSCO_fAstCal1,BUSCO_fCotGob3,BUSCO_fGouWil2,BUSCO_fMasArm1,BUSCO_mLynCan4,BUSCO_mOrnAna1,BUSCO_mPhyDis1,BUSCO_mRhiFer1,BUSCO_rGopEvg1,BUSCO_sAmbRad1
EOG090B0LIR,chr1&1082893,chr15&76086930,chr21&3309389,chr16&5524079,chr21&93699,chr5&14097165,chr5&19909942,chr5&18762920,chr5&16021287,chr5&17366222,chr5&12649047,chrC1&201960,chr5&56043499,chr5&201559,chr9&283987,chr18&14489785,chr31&14359834
EOG090B08Y2,chr1&1217512,chr15&75785755,chr21&3183182,chr16&5666869,chr21&45289,chr7&21602676,chr7&7860411,chr20&6875428,chr7&2994136,chr7&3755476,chr7&9606618,chrC1&326894,chr5&56282842,chr5&286692,chr9&388204,chr18&14788155,chr31&27483670
EOG090B0AXY,chr1&1308644,chr15&75457826,chr21&954483,chr16&5880011,chr21&1698621,chr5&9890411,chr5&13114865,chr5&24688648,chr5&11578875,chr5&27673770,chr5&24882735,chrC1&403399,chr5&56600179,chr5&351020,chr9&459818,chr18&15268702,chr31&27351989
EOG090B03H1,chr1&1311859,chr15&75424497,chr21&940286,chr16&5914024,chr21&1983581,chr7&21515330,chr7&8009531,chr20&6997845,chr22&9484326,chr7&3920853,chr7&9500129,chrC1&406704,chr5&56612685,chr5&352442,chr9&462149,chr18&15338550,chr31&27403301
EOG090B07C7,chr1&2019424,chr15&74051644,chr21&421931,chr16&8289687,chr21&2518268,chr7&7264425,chr7&27650405,chr20&21555351,chr7&16774800,chr7&36677719,chr7&23592037,chrC1&876380,chr5&57552598,chr5&687827,chr9&884753,chr18&16935820,chr31&15843391
EOG090B0DFX,chr1&2392702,chr15&73332567,chr21&133434,chr16&7962861,chr21&2818965,chr7&9642292,chr7&24365135,chr20&24681398,chr7&14252753,chr7&26111666,chr7&25672198,chrC1&1171006,chr5&58389095,chr5&873979,chr9&1162228,chr18&17652667,chr31&23644367
EOG090B0D29,chr1&2405766,chr15&73322833,chr21&127738,chr16&7956096,chr21&2823956,chr7&2343893,chr7&35711999,chr20&11760533,chr7&22690588,chr7&25092747,chr7&18886908,chrC1&1181021,chr5&58404560,chr5&881348,chr9&1174065,chr18&17666310,chr31&23667772
EOG090B0DVR,chr1&3625073,chr16&1393176,chr21&1652600,chr16&7232635,chr21&3537882,chr7&9686004,chr7&24319886,chr20&24730773,chr7&14204610,chr7&26206629,chr7&25713965,chrC1&1967728,chr5&75323723,chr5&1677769,chr9&2039843,chr18&19282237,chr31&5439584
EOG090B05QE,chr1&3630975,chr15&71055398,chr21&1657000,chr16&7216702,chr21&3541690,chr7&9671737,chr7&24324215,chr20&24713033,chr7&14210091,chr7&26160860,chr7&25700163,chrC1&1972056,chr5&75281087,chr5&1682114,chr9&2044261,chr18&19290292,chr31&5456144
EOG090B060G,chr1&3781088,chr15&70831468,chr21&1709757,chr16&7175402,chr21&3596421,chr7&7721340,chr7&26976105,chr20&22267368,chr7&16223046,chr7&37525083,chr7&24019701,chrC1&2092783,chr5&74989576,chr5&1781770,chr9&2157405,chr18&19468169,chr31&15745239
