name	start	end	strand	col	fill	lwd
1	1	575304456	1	4	4	0.1
2	575304457	1332059814	1	4	4	0.1
3	1332059815	1900689784	1	4	4	0.1
4	1900689785	2260026738	1	4	4	0.1
5	2260026739	2571416126	1	4	4	0.1
6	2571416127	2750525029	1	4	4	0.1
7	2750525030	2941661462	1	4	4	0.1
8	2941661463	3105428202	1	4	4	0.1
9	3105428203	3233868548	1	4	4	0.1
10	3233868549	3344437423	1	4	4	0.1
11	3344437424	3449960936	1	4	4	0.1
12	3449960937	3552588266	1	4	4	0.1
13	3552588267	3644397408	1	4	4	0.1
14	3644397409	3728131139	1	4	4	0.1
15	3728131140	3800078773	1	4	4	0.1
17	3800078774	3858771607	1	4	4	0.1
18	3858771608	3914236903	1	4	4	0.1
19	3914236904	3957329997	1	4	4	0.1
20	3957329998	4036068370	1	4	4	0.1
21	4036068371	4080721575	1	4	4	0.1
22	4080721576	4108328822	1	4	4	0.1
23	4108328823	4142628518	1	4	4	0.1
24	4142628519	4181128910	1	4	4	0.1
25	4181128911	4196306839	1	4	4	0.1
26	4196306840	4230753508	1	4	4	0.1
27	4230753509	4258005741	1	4	4	0.1
28	4258005742	4288612709	1	4	4	0.1
29	4288612710	4309756538	1	4	4	0.1
1A	4309756539	4663457254	1	4	4	0.1
4A	4663457255	4763014455	1	4	4	0.1
Z	4763014456	5141971200	1	4	4	0.1
16	5141971201	5148097672	1	4	4	0.1
30	5148097673	5178571768	1	4	4	0.1
1	1	575304456	1	1	4	0.1
2	575304457	1332059814	1	1	4	0.1
3	1332059815	1900689784	1	1	4	0.1
4	1900689785	2260026738	1	1	4	0.1
5	2260026739	2571416126	1	1	4	0.1
6	2571416127	2750525029	1	1	4	0.1
7	2750525030	2941661462	1	1	4	0.1
8	2941661463	3105428202	1	1	4	0.1
9	3105428203	3233868548	1	1	4	0.1
10	3233868549	3344437423	1	1	4	0.1
11	3344437424	3449960936	1	1	4	0.1
12	3449960937	3552588266	1	1	4	0.1
13	3552588267	3644397408	1	1	4	0.1
14	3644397409	3728131139	1	1	4	0.1
15	3728131140	3800078773	1	1	4	0.1
17	3800078774	3858771607	1	1	4	0.1
18	3858771608	3914236903	1	1	4	0.1
19	3914236904	3957329997	1	1	4	0.1
20	3957329998	4036068370	1	1	4	0.1
21	4036068371	4080721575	1	1	4	0.1
22	4080721576	4108328822	1	1	4	0.1
