chr1	po1	gene1	chr2	po2	gene2
chr1	944694	EOG090B05OD	chrC1	72826	EOG090B05OD
chr1	1082893	EOG090B0LIR	chrC1	201960	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chrC1	326894	EOG090B08Y2
chr1	1255203	EOG090B0C55	chrC1	358001	EOG090B0C55
chr1	1308644	EOG090B0AXY	chrC1	403399	EOG090B0AXY
chr1	1311859	EOG090B03H1	chrC1	406704	EOG090B03H1
chr1	2019424	EOG090B07C7	chrC1	876380	EOG090B07C7
chr1	2392702	EOG090B0DFX	chrC1	1171006	EOG090B0DFX
chr1	2405766	EOG090B0D29	chrC1	1181021	EOG090B0D29
chr1	3625073	EOG090B0DVR	chrC1	1967728	EOG090B0DVR
chr1	3630975	EOG090B05QE	chrC1	1972056	EOG090B05QE
chr1	3781088	EOG090B060G	chrC1	2092783	EOG090B060G
chr1	3815402	EOG090B027C	chrC1	2111145	EOG090B027C
chr1	3857604	EOG090B099H	chrC1	2144599	EOG090B099H
chr1	6225080	EOG090B0BYH	chrC1	3925396	EOG090B0BYH
chr1	6525854	EOG090B066X	chrC1	4133137	EOG090B066X
chr1	6614067	EOG090B0BKA	chrC1	4191599	EOG090B0BKA
chr1	7962786	EOG090B0EDI	chrC1	5353195	EOG090B0EDI
chr1	8324330	EOG090B03E1	chrC1	5615766	EOG090B03E1
chr1	9588931	EOG090B06F2	chrC1	6578814	EOG090B06F2
chr1	9730508	EOG090B01F0	chrC1	6686969	EOG090B01F0
chr1	9930399	EOG090B0ILM	chrC1	6867806	EOG090B0ILM
chr1	10399118	EOG090B05GI	chrC1	7279737	EOG090B05GI
chr1	10461490	EOG090B098N	chrC1	7340434	EOG090B098N
chr1	10598340	EOG090B0B8F	chrC1	7456675	EOG090B0B8F
chr1	11066718	EOG090B01UK	chrC1	7843703	EOG090B01UK
chr1	11273532	EOG090B09M4	chrC1	8013465	EOG090B09M4
chr1	11500993	EOG090B00U4	chrC1	8202912	EOG090B00U4
chr1	11674775	EOG090B0DNB	chrC1	8350857	EOG090B0DNB
chr1	11790680	EOG090B031B	chrC1	8446489	EOG090B031B
chr1	11804633	EOG090B01SI	chrC1	8458575	EOG090B01SI
chr1	11906303	EOG090B053B	chrC1	8553788	EOG090B053B
chr1	12021727	EOG090B0932	chrC1	8638814	EOG090B0932
chr1	12234267	EOG090B0FLR	chrC1	8822566	EOG090B0FLR
chr1	15701941	EOG090B01DA	chrC1	11181899	EOG090B01DA
chr1	19219303	EOG090B01EP	chrC1	13728899	EOG090B01EP
chr1	19251836	EOG090B0D5M	chrC1	13755203	EOG090B0D5M
chr1	19339530	EOG090B08IR	chrC1	13801009	EOG090B08IR
chr1	19683040	EOG090B04MJ	chrC1	14103366	EOG090B04MJ
chr1	19882514	EOG090B09XF	chrC1	14254338	EOG090B09XF
chr1	20500690	EOG090B082J	chrC1	14722054	EOG090B082J
chr1	20652379	EOG090B0651	chrC1	14854826	EOG090B0651
chr1	20744797	EOG090B076T	chrC1	14937447	EOG090B076T
chr1	21679417	EOG090B014N	chrC1	15655547	EOG090B014N
chr1	22563636	EOG090B0178	chrC1	16412437	EOG090B0178
chr1	23030397	EOG090B02B1	chrC1	16783357	EOG090B02B1
chr1	23778516	EOG090B0G12	chrC1	17428628	EOG090B0G12
chr1	24902122	EOG090B09DL	chrC1	18283305	EOG090B09DL
chr1	25821900	EOG090B0C5W	chrC1	19005841	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chrC1	19346720	EOG090B0GZR
chr1	26280156	EOG090B0JOD	chrC1	19432734	EOG090B0JOD
chr1	26282299	EOG090B07YS	chrC1	19434862	EOG090B07YS
chr1	26432946	EOG090B08EA	chrC1	19556322	EOG090B08EA
