chr1	po1	gene1	chr2	po2	gene2
chr1	944694	EOG090B05OD	chr20	26802635	EOG090B05OD
chr1	1082893	EOG090B0LIR	chr5	18762920	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr20	6875428	EOG090B08Y2
chr1	1255203	EOG090B0C55	chr5	24766730	EOG090B0C55
chr1	1308644	EOG090B0AXY	chr5	24688648	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr20	6997845	EOG090B03H1
chr1	2019424	EOG090B07C7	chr20	21555351	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr20	24681398	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr20	11760533	EOG090B0D29
chr1	2508847	EOG090B028U	chr5	10491426	EOG090B028U
chr1	3625073	EOG090B0DVR	chr20	24730773	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr20	24713033	EOG090B05QE
chr1	3781088	EOG090B060G	chr20	22267368	EOG090B060G
chr1	3815402	EOG090B027C	chr20	22232595	EOG090B027C
chr1	3857604	EOG090B099H	chr20	22219004	EOG090B099H
chr1	6225080	EOG090B0BYH	chr20	12517124	EOG090B0BYH
chr1	6525854	EOG090B066X	LS419890.1	32356	EOG090B066X
chr1	6614067	EOG090B0BKA	chr5	24875467	EOG090B0BKA
chr1	7962786	EOG090B0EDI	chr5	17498974	EOG090B0EDI
chr1	8324330	EOG090B03E1	chr5	17273597	EOG090B03E1
chr1	9588931	EOG090B06F2	chr20	26627152	EOG090B06F2
chr1	9730508	EOG090B01F0	chr20	26516282	EOG090B01F0
chr1	9930399	EOG090B0ILM	chr20	26509443	EOG090B0ILM
chr1	10083473	EOG090B00ZI	chr20	26478952	EOG090B00ZI
chr1	10399118	EOG090B05GI	chr20	26400297	EOG090B05GI
chr1	10461490	EOG090B098N	chr20	26097235	EOG090B098N
chr1	10598340	EOG090B0B8F	chr20	26116053	EOG090B0B8F
chr1	11066718	EOG090B01UK	chr20	26038415	EOG090B01UK
chr1	11273532	EOG090B09M4	chr20	21060029	EOG090B09M4
chr1	11500993	EOG090B00U4	chr12	22975915	EOG090B00U4
chr1	11674775	EOG090B0DNB	chr20	21396886	EOG090B0DNB
chr1	11790680	EOG090B031B	chr20	12009732	EOG090B031B
chr1	11804633	EOG090B01SI	chr20	11983292	EOG090B01SI
chr1	11906303	EOG090B053B	chr20	12379690	EOG090B053B
chr1	12021727	EOG090B0932	chr5	17214758	EOG090B0932
chr1	15492943	EOG090B095T	chr20	22280113	EOG090B095T
