# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i mOrnAna1.pri.cur.20191206.fasta -o mOrnAna1.pri.cur.20191206.fasta.vert.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t mOrnAna1.pri.cur.20191206.vert.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr1	69487703	69625674	5321.5	2674
EOG090B0021	Complete	chr20	3841930	3872902	765.1	640
EOG090B002I	Complete	chr5	96986040	97120948	1972.8	2062
EOG090B0039	Complete	chr12	59355191	59449019	5203.4	2585
EOG090B003S	Complete	chr17	1181645	1230822	3829.4	2191
EOG090B004D	Complete	chr17	5712433	5732593	4702.4	2071
EOG090B004X	Complete	chr18	10223397	10301035	806.7	1726
EOG090B0050	Complete	chr19	25533148	25583680	4197.3	2098
EOG090B005N	Complete	chr8	39061122	39153151	4383.8	2056
EOG090B005Q	Complete	chr7	52295767	52453476	3470.5	1854
EOG090B0067	Complete	chr13	1967806	2016559	2188.5	1449
EOG090B006Y	Complete	chr2	41108807	41167471	3307.0	1724
EOG090B006Z	Complete	chrX3	25325517	25359952	1509.5	1305
EOG090B007C	Complete	chr7	25152114	25298182	3290.8	1641
EOG090B007D	Complete	chr14	13302377	13438445	1834.5	1532
EOG090B007O	Complete	chr11	330244	356311	1826.8	1506
EOG090B007P	Complete	chr1	56383623	56462276	2438.7	1424
EOG090B008K	Complete	chr5	6085315	6143913	1282.7	987
EOG090B008M	Complete	chr10	50494721	50558691	3657.7	1807
EOG090B0092	Complete	chr16	7445168	7619652	2339.3	1364
EOG090B0097	Complete	chr1	22030564	22064140	2811.3	2091
EOG090B009E	Complete	chr1	55207198	55253502	3247.8	1516
EOG090B009G	Complete	chr1	107297079	107425426	3126.1	1720
EOG090B009K	Complete	chr15	4048235	4132650	2956.6	1610
EOG090B009Q	Complete	chr12	40742664	40785693	2467.5	1645
