chr1	po1	gene1	chr2	po2	gene2
chr1	944694	EOG090B05OD	chr7	12308919	EOG090B05OD
chr1	1082893	EOG090B0LIR	chr5	16021287	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr7	2994136	EOG090B08Y2
chr1	1255203	EOG090B0C55	chr5	11508149	EOG090B0C55
chr1	1308644	EOG090B0AXY	chr5	11578875	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr22	9484326	EOG090B03H1
chr1	2019424	EOG090B07C7	chr7	16774800	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr7	14252753	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr7	22690588	EOG090B0D29
chr1	2508847	EOG090B028U	chr5	24999064	EOG090B028U
chr1	3625073	EOG090B0DVR	chr7	14204610	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr7	14210091	EOG090B05QE
chr1	3781088	EOG090B060G	chr7	16223046	EOG090B060G
chr1	3815402	EOG090B027C	chr7	16227514	EOG090B027C
chr1	3857604	EOG090B099H	chr7	16269534	EOG090B099H
chr1	6225080	EOG090B0BYH	chr2	2253894	EOG090B0BYH
chr1	6525854	EOG090B066X	chr7	2854992	EOG090B066X
chr1	6614067	EOG090B0BKA	chr5	11416209	EOG090B0BKA
chr1	7962786	EOG090B0EDI	chr5	13765400	EOG090B0EDI
chr1	8324330	EOG090B03E1	chr5	13963601	EOG090B03E1
chr1	9588931	EOG090B06F2	chr7	12475096	EOG090B06F2
chr1	9730508	EOG090B01F0	chr7	12563684	EOG090B01F0
chr1	9930399	EOG090B0ILM	chr7	12590318	EOG090B0ILM
chr1	10083473	EOG090B00ZI	chr7	12602687	EOG090B00ZI
chr1	10399118	EOG090B05GI	chr7	12682041	EOG090B05GI
chr1	10461490	EOG090B098N	chr7	12972095	EOG090B098N
chr1	10598340	EOG090B0B8F	chr7	12912830	EOG090B0B8F
chr1	11066718	EOG090B01UK	chr7	13009475	EOG090B01UK
chr1	11273532	EOG090B09M4	chr7	17268865	EOG090B09M4
chr1	11500993	EOG090B00U4	chr9	7215676	EOG090B00U4
chr1	11674775	EOG090B0DNB	chr7	16936172	EOG090B0DNB
chr1	11906303	EOG090B053B	chr2	2580791	EOG090B053B
chr1	12021727	EOG090B0932	chr5	14008079	EOG090B0932
chr1	15492943	EOG090B095T	chr7	16199136	EOG090B095T
chr1	15701941	EOG090B01DA	chr7	17099171	EOG090B01DA
chr1	19219303	EOG090B01EP	chr7	14543199	EOG090B01EP
chr1	19251836	EOG090B0D5M	chr5	13622909	EOG090B0D5M
chr1	19339530	EOG090B08IR	chr5	17189679	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr7	18064190	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr7	17371556	EOG090B09XF
chr1	20500690	EOG090B082J	fCotGob3_357arrow_ctg1	17015	EOG090B082J
chr1	20652379	EOG090B0651	chr7	17092209	EOG090B0651
chr1	20744797	EOG090B076T	chr5	24137613	EOG090B076T
chr1	21679417	EOG090B014N	chr5	984090	EOG090B014N
chr1	22563636	EOG090B0178	chr13	1618117	EOG090B0178
chr1	23030397	EOG090B02B1	chr22	7308217	EOG090B02B1
chr1	23778516	EOG090B0G12	chr11	15965790	EOG090B0G12
chr1	24902122	EOG090B09DL	chr24	14548214	EOG090B09DL
chr1	25821900	EOG090B0C5W	chr22	8456722	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr22	8429930	EOG090B0GZR
chr1	26280156	EOG090B0JOD	chr11	20240881	EOG090B0JOD
chr1	26282299	EOG090B07YS	chr16	14339938	EOG090B07YS
chr1	26432946	EOG090B08EA	chr16	6008023	EOG090B08EA
chr1	26790816	EOG090B05U9	chr16	14250738	EOG090B05U9
chr1	26891010	EOG090B066W	chr16	14288542	EOG090B066W
chr1	26921849	EOG090B0CH3	chr11	20418885	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr16	14319741	EOG090B02Y1
chr1	27935184	EOG090B065U	chr16	4560717	EOG090B065U
chr1	28149993	EOG090B08LV	chr22	7377492	EOG090B08LV
chr1	28330663	EOG090B0DRP	chr16	4520314	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr16	14160124	EOG090B07B6
chr1	28603539	EOG090B0H7D	chr16	4345927	EOG090B0H7D
chr1	31259478	EOG090B0910	chr11	6074920	EOG090B0910
chr1	31727420	EOG090B00F6	chr15	11609802	EOG090B00F6
chr1	32222442	EOG090B08H1	chr11	779680	EOG090B08H1
