# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i fGouWil2.pri.cur.20181116.fasta -o fGouWil2.pri.cur.20181116.fasta.vert.human.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t fGouWil2.pri.cur.20181116.vert.humna.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr15	28436535	28539881	6390.2	3395
EOG090B0021	Complete	chr13	8491083	8523561	710.8	580
EOG090B002I	Complete	chr20	28588293	28630545	1130.4	1264
EOG090B0039	Complete	chr4	29971814	30036583	5168.9	2560
EOG090B003S	Complete	chr14	28424630	28473906	2809.4	1718
EOG090B004D	Complete	chr13	18742753	18756083	4682.8	2070
EOG090B004X	Complete	chr4	23733317	23776353	4658.8	2341
EOG090B0050	Complete	chr16	25407262	25442313	3473.0	1909
EOG090B005N	Complete	chr20	11102117	11123109	3481.0	1726
EOG090B005Q	Complete	chr13	16618301	16668304	3456.3	1847
EOG090B0067	Complete	chr16	16086929	16120248	2044.5	1456
EOG090B006Y	Complete	chr8	20096141	20148503	3399.8	1779
EOG090B006Z	Complete	chr12	3868430	3888754	1921.5	1328
EOG090B007C	Complete	chr21	1197956	1207157	1805.2	929
EOG090B007D	Complete	chr22	21226922	21297551	2774.4	1611
EOG090B007O	Complete	chr20	16784609	16793617	1611.5	2115
EOG090B007P	Complete	chr22	25484033	25508532	2235.5	1404
EOG090B008K	Complete	chr18	15207034	15248772	2252.5	1278
EOG090B008M	Complete	chr6	51869108	51889990	3046.7	1674
EOG090B0092	Complete	chr17	9295277	9372531	2347.8	1463
EOG090B0097	Complete	chr12	29106876	29128921	2424.1	2040
EOG090B009E	Complete	chr22	4055710	4081875	2063.5	1064
EOG090B009G	Complete	chr13	22108862	22135305	3576.7	1867
EOG090B009K	Complete	chr1	34365610	34411235	2605.5	1608
EOG090B009Q	Complete	chr1	22733319	22739584	1792.9	1705
EOG090B009U	Fragmented	chr15	35239309	35272929	1479.3	724
EOG090B00A3	Complete	chr1	27397319	27417516	2416.2	1358
EOG090B00A5	Complete	chr5	10912436	10938017	2413.0	1586
EOG090B00AI	Complete	chr21	32678835	32713158	1729.3	1534
EOG090B00B0	Complete	chr18	10287038	10349070	3155.6	1554
EOG090B00BC	Complete	chr12	23030531	23050750	601.1	355
EOG090B00BI	Complete	chr12	24021619	24032628	1231.0	1207
EOG090B00BQ	Complete	chr1	41539173	41555259	1720.3	955
EOG090B00BU	Complete	chr22	26149695	26179108	1494.8	1283
EOG090B00BV	Complete	chr3	44397869	44420324	1307.9	1283
EOG090B00CA	Complete	chr15	17078152	17124217	1753.2	1826
EOG090B00CE	Complete	chr21	780378	823999	2252.8	1383
EOG090B00CX	Complete	chr16	21175647	21179687	399.2	354
EOG090B00DK	Complete	chr15	36404287	36482925	2846.4	1381
EOG090B00DR	Complete	chr13	11368083	11381477	2442.0	1559
EOG090B00E7	Complete	chr15	210243	222510	555.5	695
EOG090B00EI	Complete	chr19	13283011	13304215	2685.7	1604
EOG090B00ER	Complete	chr6	31468935	31522702	3067.9	1489
EOG090B00EW	Complete	chr16	31552685	31618426	1147.1	843
EOG090B00F1	Complete	chr1	18154250	18177059	2004.9	1680
EOG090B00F6	Complete	chr11	7248101	7275760	1031.5	1039
EOG090B00F8	Complete	chr15	22321579	22394646	2555.1	1452
EOG090B00FD	Complete	chr20	16613836	16640120	1623.4	1246
EOG090B00G4	Complete	chr17	24093266	24119780	2500.3	1317
EOG090B00GH	Complete	chr21	9255701	9331782	2377.4	1265
EOG090B00GK	Complete	chr3	42733823	42777710	1448.3	830
EOG090B00GQ	Complete	chr22	15404376	15420176	2577.6	1350
EOG090B00GU	Complete	chr6	7583476	7612821	1892.2	1146
EOG090B00GW	Complete	chr24	2963883	2974616	915.7	1441
EOG090B00HG	Complete	chr21	7132793	7175514	1250.8	1143
EOG090B00I9	Complete	chr14	7953128	7983984	3025.1	1504
EOG090B00IJ	Complete	chr20	11251404	11325908	1948.0	1231
EOG090B00IL	Complete	chr19	767077	785770	2287.2	1080
EOG090B00IN	Fragmented	chr18	25314668	25343726	542.5	528
EOG090B00IU	Complete	chr1	16529105	16570132	1563.1	1356
EOG090B00J3	Complete	chr24	10399146	10436897	1461.0	1018
EOG090B00J8	Complete	chr17	23423200	23442785	1907.4	1342
EOG090B00JL	Fragmented	chr4	34953024	34965358	625.0	593
EOG090B00JU	Complete	chr24	16637712	16678673	2608.5	1214
EOG090B00JW	Complete	chr9	24409772	24438005	2435.0	1261
EOG090B00JZ	Complete	chr13	22361355	22397722	1655.8	1349
EOG090B00K7	Complete	chr12	28347255	28368041	2456.8	1328
EOG090B00KE	Complete	chr12	26776962	26817530	2459.8	1229
EOG090B00KL	Complete	chr12	22339609	22371588	2471.7	1256
EOG090B00KR	Complete	chr3	11015269	11090493	1952.5	1167
EOG090B00L0	Complete	chr9	38788284	38816788	1056.5	928
EOG090B00L1	Complete	chr14	8113458	8126533	1203.7	1181
EOG090B00L4	Complete	scaffold_3_arrow_ctg1	1225692	1272012	2340.7	1206
EOG090B00L6	Complete	chr3	22861938	22881570	1345.0	866
EOG090B00LJ	Complete	chr4	21875622	21895389	405.8	990
EOG090B00M3	Complete	chr21	26279318	26327310	1258.4	833
EOG090B00MK	Complete	chr6	7936271	7990253	1770.1	1100
EOG090B00MR	Complete	chr3	29598894	29634375	1828.8	1032
EOG090B00NB	Complete	chr12	7874129	7903322	1305.8	894
EOG090B00O2	Complete	chr4	30377878	30413668	2004.4	1256
EOG090B00ON	Complete	chr19	22241345	22256481	803.0	969
EOG090B00OU	Complete	chr15	32861305	32978980	1814.0	1135
EOG090B00OY	Complete	chr22	19731531	19749521	1948.0	1135
EOG090B00P0	Complete	chr6	45664299	45687741	1394.5	937
EOG090B00PB	Complete	chr5	13384524	13441305	2080.8	1074
EOG090B00PC	Complete	chr6	63825255	63884663	2076.4	1236
EOG090B00PE	Complete	chr6	5032014	5067336	1491.9	890
EOG090B00PL	Complete	chr17	5551766	5583104	1965.1	1097
EOG090B00PS	Complete	chr21	12170248	12187231	2081.3	1181
EOG090B00PT	Complete	chr21	3556292	3576042	350.2	190
EOG090B00PZ	Complete	chr1	28904535	28948027	1277.7	775
EOG090B00QA	Complete	chr6	47767039	47786068	1119.8	1312
EOG090B00QJ	Complete	chr7	6205283	6238632	2110.9	1047
EOG090B00QN	Complete	chr3	28697559	28729674	2052.8	1079
EOG090B00QP	Complete	chr21	34742041	34788132	1882.9	1072
EOG090B00QU	Complete	chr12	23013496	23033738	1301.1	1018
EOG090B00R0	Complete	chr1	45317992	45332836	1226.9	639
EOG090B00R5	Complete	chr13	42283088	42371059	931.0	557
EOG090B00RI	Complete	chr4	834470	846777	455.1	488
EOG090B00RL	Complete	chr12	21090167	21109218	1032.0	628
EOG090B00RM	Complete	chr20	15400066	15413660	2177.5	1154
EOG090B00RO	Complete	chr20	13208397	13234004	1465.2	958
EOG090B00RP	Complete	chr9	28039946	28100708	1794.1	1270
EOG090B00S5	Complete	chr14	3856332	3871123	977.3	954
EOG090B00S6	Fragmented	chr22	1136018	1150493	887.5	474
EOG090B00S8	Duplicated	chr6	19214651	19218175	394.4	843
EOG090B00S8	Duplicated	chr7	39875401	39884197	422.2	932
EOG090B00SR	Complete	chr2	5485566	5494741	989.4	696
EOG090B00SY	Complete	chr8	10342683	10411044	2048.4	1124
EOG090B00TE	Complete	chr18	13979864	14008958	1588.8	1010
EOG090B00TI	Complete	chr15	10806905	10823423	1584.9	905
EOG090B00TL	Complete	chr15	23961797	24057438	2185.4	1066
EOG090B00U4	Complete	chr9	21549798	21571624	1957.2	1111
EOG090B00U6	Complete	chr15	18953549	18970140	1520.6	1540
EOG090B00UB	Complete	chr18	23517698	23544512	1704.3	1067
EOG090B00UO	Complete	chr13	24343420	24374893	668.1	1124
EOG090B00UU	Complete	chr4	9511206	9558313	2071.2	1066
EOG090B00VD	Complete	chr14	10686835	10709074	2165.3	1055
EOG090B00VK	Complete	chr10	40479844	40497830	2070.3	946
EOG090B00VM	Missing
EOG090B00VN	Complete	chr18	22219539	22306534	1427.3	767
EOG090B00VQ	Complete	chr10	23819312	23838903	1324.7	961
EOG090B00VU	Complete	chr21	22148455	22173533	1323.5	875
EOG090B00WA	Complete	chr7	1539456	1559364	2059.9	1040
EOG090B00WE	Duplicated	chr6	64039562	64055938	970.3	862
EOG090B00WE	Duplicated	chr7	26428243	26456731	1053.4	942
EOG090B00WK	Complete	chr17	7738251	7745876	1934.0	1007
EOG090B00WV	Complete	chr22	27476384	27486998	1704.9	1038
EOG090B00WW	Complete	chr18	15584747	15622755	1293.9	1335
EOG090B00X1	Complete	chr4	29143532	29187836	1788.0	1252
EOG090B00X2	Complete	chr12	830552	858977	2342.7	1203
EOG090B00X6	Complete	chr13	4259399	4285720	1827.3	1081
