# BUSCO version is: 4.1.2 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2020-09-10, number of species: 3354, number of BUSCOs: 67)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
173at7742	Complete	chrZ	59744955	59888965	6452.5	4397	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	chr21	4596244	4663434	8460.5	4334	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	chr1	155571764	155793849	8237.1	3938	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	chr1	178938146	178982063	7464.6	3922	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	chr21	5365044	5451012	6476.1	3538	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	chr15	6603817	6667047	7194.1	3608	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Missing
1653at7742	Complete	chr14	1723283	1795839	7092.7	3298	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	chr1	13192988	13349171	4459.8	2436	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	chr14	8721786	8789533	5649.2	3012	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	chr8	20069537	20122807	4439.7	2549	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	chr3	2222750	2343319	5565.7	2598	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	chr3	38019372	38112644	4457.1	2751	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	chr1	45953709	46019397	2174.5	1727	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	chr4	82114646	82208291	3557.1	2009	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	chr19	3356517	3407652	4095.4	2296	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	chr8	2993641	3025151	3724.6	2999	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Complete	chr21	4138682	4198872	4609.3	2178	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Complete	chr9	10613282	10648117	3394.8	1783	https://www.orthodb.org/v10?query=4372at7742	serine/threonine-protein kinase ATR
4443at7742	Complete	chr15	9724787	9764831	4298.4	2307	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	chr19	5492191	5509836	5018.2	2128	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	chr10	20171900	20198175	2015.2	1465	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	chrZ	2176889	2243939	2960.7	1940	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	chr8	25639131	25696695	3471.9	1776	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Complete	chr5	34548634	34598948	3746.6	1911	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5465at7742	Complete	chr24	3504365	3556074	3169.9	1790	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Complete	chr1	181592151	181650192	3710.3	2433	https://www.orthodb.org/v10?query=5520at7742	serine-protein kinase ATM
5604at7742	Complete	chr1	15136876	15198953	3132.0	1971	https://www.orthodb.org/v10?query=5604at7742	leucine-rich repeat serine/threonine-protein kinase 2
5938at7742	Complete	chr1	47648410	47707994	3839.1	2322	https://www.orthodb.org/v10?query=5938at7742	small subunit processome component 20 homolog
5981at7742	Complete	chr2	42193541	42245119	4262.6	2025	https://www.orthodb.org/v10?query=5981at7742	dnaJ homolog subfamily C member 13 isoform X1
6108at7742	Complete	chr15	10293092	10312463	3731.9	1836	https://www.orthodb.org/v10?query=6108at7742	DNA polymerase epsilon catalytic subunit A
6126at7742	Complete	chr3	77938949	77988676	3326.2	1814	https://www.orthodb.org/v10?query=6126at7742	Dopey family member 1
6253at7742	Complete	chr7	35142273	35170393	1735.7	1141	https://www.orthodb.org/v10?query=6253at7742	Replication timing regulatory factor 1
6305at7742	Complete	chr2	128985552	129064019	3950.3	2036	https://www.orthodb.org/v10?query=6305at7742	Ubiquitin protein ligase E3 component n-recognin 5
6701at7742	Complete	chr3	98774986	98935332	3100.8	1877	https://www.orthodb.org/v10?query=6701at7742	neuroblastoma-amplified sequence
7000at7742	Complete	chr3	54492908	54572776	3009.4	1706	https://www.orthodb.org/v10?query=7000at7742	brefeldin A-inhibited guanine nucleotide-exchange protein 3
7262at7742	Complete	chr1	74544495	74681619	2962.5	2258	https://www.orthodb.org/v10?query=7262at7742	von Willebrand factor
7732at7742	Complete	chr5	29110081	29151359	2617.3	1909	https://www.orthodb.org/v10?query=7732at7742	Zinc finger FYVE-type containing 26
7768at7742	Complete	chr15	8412925	8504251	2846.1	1597	https://www.orthodb.org/v10?query=7768at7742	calcineurin-binding protein cabin-1 isoform X1
8258at7742	Complete	chr33	7234743	7246033	1339.1	1283	https://www.orthodb.org/v10?query=8258at7742	Extra spindle pole bodies like 1, separase
8409at7742	Complete	chr19	5531076	5541325	2447.9	1526	https://www.orthodb.org/v10?query=8409at7742	WD repeat-containing protein 81
8503at7742	Complete	chr1	107924885	107967712	3094.1	1836	https://www.orthodb.org/v10?query=8503at7742	Dopey family member 2
8757at7742	Complete	chr7	13813684	13871850	3322.9	1722	https://www.orthodb.org/v10?query=8757at7742	Phosphoinositide kinase, FYVE-type zinc finger containing
8766at7742	Complete	chr2	93592202	93672466	1989.3	1580	https://www.orthodb.org/v10?query=8766at7742	rotatin
8874at7742	Complete	chr3	37786577	37820310	2029.3	1530	https://www.orthodb.org/v10?query=8874at7742	HEAT repeat-containing protein 1
8995at7742	Complete	chr1	106243613	106287385	2328.5	1698	https://www.orthodb.org/v10?query=8995at7742	nucleolar pre-ribosomal-associated protein 1
9110at7742	Complete	chr3	3159376	3193023	2936.3	1616	https://www.orthodb.org/v10?query=9110at7742	anaphase-promoting complex subunit 1
9484at7742	Complete	chr3	2698217	2768839	2564.8	2039	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9579at7742	Complete	chr1	80037807	80043383	1807.4	1370	https://www.orthodb.org/v10?query=9579at7742	Upstream transcription factor family member 3
9683at7742	Complete	chr19	5901107	5913837	3084.2	1752	https://www.orthodb.org/v10?query=9683at7742	protein KIAA0100 homolog isoform X1
9744at7742	Complete	chr1	47709020	47760419	2750.9	1627	https://www.orthodb.org/v10?query=9744at7742	Nucleoporin 205
10003at7742	Complete	chr14	2960776	2987551	3493.2	1791	https://www.orthodb.org/v10?query=10003at7742	integrator complex subunit 1
10136at7742	Complete	chr2	91753646	91777994	932.6	964	https://www.orthodb.org/v10?query=10136at7742	zinc finger protein 407
10163at7742	Complete	chr17	6474532	6532667	1366.8	1338	https://www.orthodb.org/v10?query=10163at7742	protein PRRC2B isoform X1
10485at7742	Complete	chr8	5114656	5184426	1722.3	1665	https://www.orthodb.org/v10?query=10485at7742	protein PRRC2C isoform X1
10757at7742	Complete	chr12	19926848	19990720	2579.4	1527	https://www.orthodb.org/v10?query=10757at7742	plexin-D1
10899at7742	Complete	chr18	4720956	4740213	2168.1	1331	https://www.orthodb.org/v10?query=10899at7742	Integrin beta
11104at7742	Complete	chr4	69914094	69962036	3104.3	1548	https://www.orthodb.org/v10?query=11104at7742	NACHT and WD repeat domain-containing protein 2
11195at7742	Complete	chr1	167371892	167502434	1654.1	939	https://www.orthodb.org/v10?query=11195at7742	von Willebrand factor A domain-containing protein 8
11237at7742	Complete	chr9	10208395	10251202	3451.3	1847	https://www.orthodb.org/v10?query=11237at7742	Thyroid hormone receptor interactor 12
11472at7742	Complete	chr5	46016936	46069362	2913.9	1400	https://www.orthodb.org/v10?query=11472at7742	endoribonuclease Dicer
