BuscoID,BUSCO_hg38,BUSCO_aRhiBiv1,BUSCO_bCalAnn1,BUSCO_bStrHab1,BUSCO_bTaeGut2,BUSCO_fAnaTes1,BUSCO_fArcCen1,BUSCO_fAstCal1,BUSCO_fCotGob3,BUSCO_fGouWil2,BUSCO_fMasArm1,BUSCO_mLynCan4,BUSCO_mOrnAna1,BUSCO_mPhyDis1,BUSCO_mRhiFer1,BUSCO_rGopEvg1,BUSCO_sAmbRad1
EOG090B08B8,,,,chr23&378677,,chr9&11433256,chr9&15439992,chr12&19415806,chr9&10166462,chr9&38695774,chr9&12078399,chrX&118009430,,,chr13&49516776,,
EOG090B0BZL,,,chr5A&38815149,chr4&9460337,chr5&57534053,chr22&535593,chr22&8598192,chr19&29501693,,chr22&32042691,Contig162arrow_ctg1&329736,chrB3&105128599,chr14&1770639,chrX&68552423,chr6&35969646,chr4&13157988,chr9&43098577
EOG090B03G9,,chr14&21806341,chr14&9489318,chr4&76107878,chr14&8992734,chr8&896128,scaffold_58_ctg1&42584,chr12&38522486,chr8&22684087,chr8&23331069,chr8&1647011,chrE3&12514161,chr2&49876725,chr3&102193085,scaffold_54_arrow_ctg1_1&13159781,chr10&66206309,chr22&5405745
EOG090B01F4,,chr10&56883452,chr28&2967728,chr8&14652851,chr8&27018377,chr4&18323776,chr4&12400380,chr17&37982997,chr4&14855184,chr18&13493818,chr4&7253665,chrF1&37415590,chr4&80218712,chr15&25063162,chr27&2303598,chr8&68750629,chr10&4412879
EOG090B021G,,,chr2&3535429,chr1&100156358,chr2&2932647,chr2&23546859,chr20&25521119,chr9&18020877,,chr20&17136453,chr20&8244712,,chr13&1059642,,,chr2&7355795,chr2&24171608
EOG090B06HF,,chr17&17705570,chr5A&6486741,chr4&5346790,chr5&22864041,chr3&4473845,chr3&21407575,chr1&23952449,chr3&24036958,chr3&22629694,chr3&16344103,,chr3&21263152,chr6&156384145,chr10&51087348,chr4&74966065,chr20&37849798
EOG090B0DJP,,chr7&125902217,chr6&111236,chr5&61713503,chr6&18049383,,chr19&14880168,chr8&11244291,chr19&11182028,chr19&513116,chr19&13716755,chrD2&28440478,chr16&36815083,chr5&152938791,chr16&24094403,chr7&74175202,chr37&14074959
EOG090B0C19,,chr9&181605662,chr9&15669022,chr8&36125311,chr9&15996713,chr17&7375883,chr17&10974900,chr18&24647339,,chr17&4465834,chr17&9383889,chrC2&87487221,chr1&129814250,,,chr9&6042485,chr13&55341374
EOG090B0D6C,,,chr5A&14115095,chr4&42614267,chr5&33084587,chr22&8121506,chr22&16367231,chr19&20224883,chr22&6396867,chr22&13690027,chr22&7057597,,chr14&8489626,,,,
EOG090B0HPA,,chr12&17731412,,chr18&6504075,chr26&6614785,chr7&19956302,chr7&10173554,chr5&5343286,chr7&164473,chr5&11709289,chr7&7861236,chrF1&40383460,chr7&72434554,,chr14&46851878,,chr24&18133427
EOG090B02YP,,,chr2&67475017,chr1&86187852,chr2&63135462,chr2&20530771,chr20&21406150,chr9&22126548,chr20&5489480,chr20&11336148,chr20&11603726,chrB2&24255430,chrX3&19905556,chr5&85663758,chr9&89819194,chr2&174752101,
EOG090B09RE,,chr9&165418572,chr9&4514223,chr8&46623794,chr9&4572568,,chr13&9200181,chr14&1574896,,chr22&5921751,chr13&25670990,,chr7&42176291,chr4&1560446,chr8&2273431,chr9&58250900,chr13&25244463
EOG090B0FYT,,chr2&579224671,chr2&100020409,chr1&52145321,chr2&101089956,chr17&17295609,chr17&25868186,chr18&10175030,chr17&5220115,chr17&15732249,chr17&19554091,chrD3&58819248,chr5&95648786,chr9&47970517,chr19&9250179,chr2&206750334,
EOG090B0EDN,,chr2&408055403,,chr3&75313075,chr1A&49988328,,,,,,chr1&2511240,,chr14&43937165,,chr10&9972113,chr1&268786432,
EOG090B06C0,,chr1&135375921,chr4A&18618519,chr7&29427485,chr4&28003276,chr4&7012333,chr4&28502342,,chr4&20817087,chr4&23277336,chr4&21038029,chrB1&160694878,chr12&57933629,chr1&33668494,,chr5&54487440,chr1&111162823
EOG090B06BC,,chr6&185605311,chr7&36320000,chr5&13178040,chr7&21084557,chr2&11949579,chr2&28234507,chr23&29670845,chr2&3194984,chr2&3709263,chr2&3273334,chrC1&188451749,chr7&76528838,chr4&26951096,chr8&28924503,chr11&20287698,chr7&6042710
EOG090B0EBP,,chr9&171689033,chr9&24004846,chr8&26484832,chr9&24515206,chr13&18785648,chr13&23828722,chr14&16023767,chr13&12295003,chr13&14767197,chr13&10783266,chrC2&52680767,chr1&153673922,chrX&35958049,chr2&80796347,chr9&23705119,chr13&7255008
EOG090B0EAB,,chr4&325071449,,chr14&452382,chr18&5044190,chr1&15486151,chr1&25331551,chr6&15643190,chr1&13072271,chr1&25278761,chr1&23499420,chrE1&3857093,scaffold_264_arrow_ctg1&160996,,chr21&9698918,chr15&7018094,chr26&31482363
EOG090B0IEK,,,chr1&51998048,,chr1A&49149775,chr19&5638914,chr19&5479398,chr8&17930508,chr19&18138170,chr19&14969973,chr19&7586024,,chr14&45263275,,,,
EOG090B03XM,,chr4&355053047,chr18&3877460,chr14&8669517,chr18&4153348,chr1&15015304,chr1&24521927,chr6&16490690,chr1&12502231,chr1&25911576,chr1&24121798,chrE1&19415577,chr15&2916450,chr8&81151207,,chr15&20623451,
EOG090B0AYE,,chr1&296908363,chr4A&41650781,chr7&54160352,chr4&47732491,chr1&10230678,chr1&16310623,chr6&23996884,chr1&3347000,chr1&22268990,chr1&7955949,chrB1&115370016,chr12&38337602,,chr5&57614436,chr8&12812727,
EOG090B02BM,,chr18&47601587,chr13&15166963,chr12&10218417,chr13&8930747,chr14&18240019,chr14&18256325,chr10&24142009,chr14&19008607,chr14&13470553,chr14&22455727,,chrX1&44673060,chr13&8535351,chr24&10565973,chr8&12218170,chr11&11359981
EOG090B05N0,,,chr1&39268001,chr3&55556493,chr1A&60481329,chr23&5220975,chr23&16509101,chr17&33270870,chr23&12003714,chr6&17433101,chr23&6669468,,chr14&51366309,,,chr1&235076803,chr19&6226509
EOG090B0EDV,,chr1&739360343,,chrZ&86206684,,chr22&15144012,chr12&18854786,chr7&29420907,chr12&7695607,chr12&15070761,chr12&7855092,chrA1&204984015,chr3&81464034,chr3&6105014,,chr6&106221206,
EOG090B0IGG,,chr4&435287086,chr1&55818934,chr3&72490913,chr1A&52679973,chr23&1651866,scaffold_52_ctg1&509963,chr17&1401773,chr23&10057579,chr6&25069048,chr23&2669257,chrB4&124393341,chr14&40211419,chr2&203785733,chr10&15159232,chr1&264126447,
EOG090B09RD,,,chr1&146544478,chr2&69880694,chr1&76011895,chr15&13871036,chr15&12836345,chr13&18750228,chr15&17275786,chr15&10235288,chr15&14616814,,,,,,
EOG090B02JX,,chr5&75288559,chr1&181807765,chr2&106625664,chr1&42412601,chr4&1430023,chr4&3467737,chr15&39163660,chr4&1078133,chr4&38557770,chr4&13978084,chrD1&7087443,chr20&18728041,chr6&89449050,chr11&77315529,chr1&33685872,chr6&47070847
