start1	end1	start2	end2	col
3538087993	3538087993	3370591873	3370591873	28
3565771628	3565771628	3430011856	3430011856	28
2845883787	2845883787	238690643	238690643	28
931630682	931630682	3060966735	3060966735	28
928441279	928441279	3131639648	3131639648	28
926745638	926745638	2967042848	2967042848	28
912487451	912487451	2974984809	2974984809	28
885042944	885042944	2959984677	2959984677	28
884178386	884178386	2966411913	2966411913	28
3540196838	3540196838	3466992609	3466992609	28
895992096	895992096	2953809772	2953809772	28
3586150935	3586150935	3458325782	3458325782	28
3623711225	3623711225	3372538073	3372538073	28
3628269135	3628269135	3378070537	3378070537	28
3574820973	3574820973	3473084396	3473084396	28
3572415920	3572415920	3471049673	3471049673	28
3538438017	3538438017	3369974904	3369974904	28
3624394343	3624394343	3373546263	3373546263	28
3587576946	3587576946	4951348100	4951348100	28
1627209367	1627209367	1253488597	1253488597	27
3879901409	3879901409	4544523443	4544523443	27
3876094611	3876094611	4542884004	4542884004	27
3876049548	3876049548	4542822419	4542822419	27
3875992007	3875992007	4542720590	4542720590	27
3879257310	3879257310	4544143159	4544143159	27
1623893269	1623893269	1296678603	1296678603	27
1623940884	1623940884	1296730810	1296730810	27
1627192691	1627192691	1253433444	1253433444	27
3839024507	3839024507	4510464652	4510464652	27
1629796389	1629796389	1258046256	1258046256	27
1635507665	1635507665	1266781202	1266781202	27
1637287508	1637287508	1292587385	1292587385	27
1544134174	1544134174	2523732319	2523732319	27
1541413698	1541413698	2534301004	2534301004	27
1540656722	1540656722	2533150238	2533150238	27
1353248493	1353248493	4160474081	4160474081	27
1375753059	1375753059	4177964270	4177964270	27
1632470315	1632470315	1263601385	1263601385	27
849189345	849189345	2985622323	2985622323	26
819554330	819554330	4876595206	4876595206	26
833048116	833048116	4857290396	4857290396	26
839600859	839600859	4226121431	4226121431	26
844680412	844680412	2988953696	2988953696	26
846602617	846602617	2987296359	2987296359	26
2541305942	2541305942	1993406764	1993406764	26
855086664	855086664	2981731515	2981731515	26
859505205	859505205	4885524786	4885524786	26
863601311	863601311	4883511156	4883511156	26
870605620	870605620	4879100444	4879100444	26
859149147	859149147	4885915564	4885915564	26
3775476453	3775476453	1917739542	1917739542	25
4194315320	4194315320	3867912898	3867912898	25
4196182889	4196182889	3880409761	3880409761	25
4198608276	4198608276	3893494437	3893494437	25
4161399900	4161399900	3892211534	3892211534	25
4154596235	4154596235	3895548892	3895548892	25
4157111950	4157111950	3885439232	3885439232	25
2762233321	2762233321	1758196492	1758196492	25
2783210548	2783210548	1769080073	1769080073	25
2789159470	2789159470	1763810579	1763810579	25
2832231413	2832231413	252038242	252038242	25
3337067802	3337067802	4392721845	4392721845	25
2830284530	2830284530	2856758638	2856758638	25
4210595438	4210595438	3825525965	3825525965	25
4213592092	4213592092	3866740880	3866740880	25
4213846084	4213846084	3867029276	3867029276	25
4184380697	4184380697	3850032619	3850032619	25
4143104864	4143104864	3875429913	3875429913	25
4177338502	4177338502	3845520084	3845520084	25
4142027862	4142027862	3870599075	3870599075	25
4209584699	4209584699	3826700902	3826700902	25
4210041529	4210041529	3825986976	3825986976	25
4168201068	4168201068	3839596575	3839596575	25
4171573361	4171573361	3841733571	3841733571	25
4173325873	4173325873	3842685778	3842685778	25
4208426667	4208426667	3827954681	3827954681	25
4348355312	4348355312	4931785991	4931785991	25
4193177479	4193177479	1784679453	1784679453	25
4191392868	4191392868	3857134614	3857134614	25
4184638874	4184638874	3850193323	3850193323	25
4191080106	4191080106	3468156982	3468156982	25
4481397220	4481397220	4058051262	4058051262	24
4465053331	4465053331	4048531163	4048531163	24
4466428276	4466428276	4063215064	4063215064	24
4480757522	4480757522	4056564381	4056564381	24
4484785717	4484785717	4071309211	4071309211	24
248234117	248234117	1411073672	1411073672	23
222545453	222545453	2197856493	2197856493	23
250387423	250387423	1408054366	1408054366	23
224072998	224072998	1434261596	1434261596	23
