name	start	end	strand	col	fill	lwd
1	1	581124084	1	4	4	0.1
2	581124085	1021307040	1	4	4	0.1
3	1021307041	1347259169	1	4	4	0.1
4	1347259170	1615797813	1	4	4	0.1
5	1615797814	1791683604	1	4	4	0.1
6	1791683605	1898653835	1	4	4	0.1
7	1898653836	2006705120	1	4	4	0.1
8	2006705121	2095574060	1	4	4	0.1
9	2095574061	2166603130	1	4	4	0.1
10	2166603131	2228712071	1	4	4	0.1
11	2228712072	2288116082	1	4	4	0.1
12	2288116083	2348070714	1	4	4	0.1
13	2348070715	2404435928	1	4	4	0.1
14	2404435929	2452133450	1	4	4	0.1
15	2452133451	2490546545	1	4	4	0.1
17	2490546546	2522196795	1	4	4	0.1
18	2522196796	2555642772	1	4	4	0.1
19	2555642773	2586001135	1	4	4	0.1
20	2586001136	2626870089	1	4	4	0.1
21	2626870090	2646999711	1	4	4	0.1
22	2646999712	2663054823	1	4	4	0.1
23	2663054824	2681139425	1	4	4	0.1
24	2681139426	2700228723	1	4	4	0.1
25	2700228724	2711934847	1	4	4	0.1
26	2711934848	2729743397	1	4	4	0.1
27	2729743398	2753506222	1	4	4	0.1
28	2753506223	2768553879	1	4	4	0.1
30	2768553880	2773901772	1	4	4	0.1
31	2773901773	2791996531	1	4	4	0.1
32	2791996532	2794131045	1	4	4	0.1
33	2794131046	2817132895	1	4	4	0.1
Z	2817132896	3059835776	1	4	4	0.1
16	3059835777	3068201140	1	4	4	0.1
MT	3068201141	3068250471	1	4	4	0.1
W	3068250472	3088286385	1	4	4	0.1
1	1	581124084	1	1	4	0.1
2	581124085	1021307040	1	1	4	0.1
3	1021307041	1347259169	1	1	4	0.1
4	1347259170	1615797813	1	1	4	0.1
5	1615797814	1791683604	1	1	4	0.1
6	1791683605	1898653835	1	1	4	0.1
7	1898653836	2006705120	1	1	4	0.1
8	2006705121	2095574060	1	1	4	0.1
9	2095574061	2166603130	1	1	4	0.1
10	2166603131	2228712071	1	1	4	0.1
11	2228712072	2288116082	1	1	4	0.1
12	2288116083	2348070714	1	1	4	0.1
13	2348070715	2404435928	1	1	4	0.1
14	2404435929	2452133450	1	1	4	0.1
15	2452133451	2490546545	1	1	4	0.1
17	2490546546	2522196795	1	1	4	0.1
18	2522196796	2555642772	1	1	4	0.1
19	2555642773	2586001135	1	1	4	0.1
20	2586001136	2626870089	1	1	4	0.1
21	2626870090	2646999711	1	1	4	0.1
22	2646999712	2663054823	1	1	4	0.1
23	2663054824	2681139425	1	1	4	0.1
24	2681139426	2700228723	1	1	4	0.1
25	2700228724	2711934847	1	1	4	0.1
26	2711934848	2729743397	1	1	4	0.1
27	2729743398	2753506222	1	1	4	0.1
28	2753506223	2768553879	1	1	4	0.1
30	2768553880	2773901772	1	1	4	0.1
31	2773901773	2791996531	1	1	4	0.1
32	2791996532	2794131045	1	1	4	0.1
33	2794131046	2817132895	1	1	4	0.1
Z	2817132896	3059835776	1	1	4	0.1
16	3059835777	3068201140	1	1	4	0.1
MT	3068201141	3068250471	1	1	4	0.1
W	3068250472	3088286385	1	1	4	0.1
L	1435230557	1435230557	1	5	5	0.01
L	1447622570	1447622570	1	5	5	0.01
L	1448342384	1448342384	1	5	5	0.01
L	1448302521	1448302521	1	5	5	0.01
L	1447995665	1447995665	1	5	5	0.01
L	1504783300	1504783300	1	5	5	0.01
L	1504968337	1504968337	1	5	5	0.01
L	1505258019	1505258019	1	5	5	0.01
L	1505821624	1505821624	1	5	5	0.01
L	1505883166	1505883166	1	5	5	0.01
L	2974825254	2974825254	1	5	5	0.01
L	1449337596	1449337596	1	5	5	0.01
L	1445586896	1445586896	1	5	5	0.01
L	1441268213	1441268213	1	5	5	0.01
L	1438947659	1438947659	1	5	5	0.01
L	1416119141	1416119141	1	5	5	0.01
L	1411749594	1411749594	1	5	5	0.01
L	1411284109	1411284109	1	5	5	0.01
L	1408747489	1408747489	1	5	5	0.01
L	1408501063	1408501063	1	5	5	0.01
L	1515092639	1515092639	1	5	5	0.01
L	1515277653	1515277653	1	5	5	0.01
