# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i bTaeGut2.pat.cur.20200124.fasta -o bTaeGut2.pat.cur.20200124.fasta.vert.human.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t bTaeGut2.pat.cur.20200124.fasta.vert.humna.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr3	77921901	78091056	7126.3	3724
EOG090B0021	Complete	chr1	64668990	64701236	1015.6	670
EOG090B002I	Complete	chr3	52281644	52535414	4611.7	2682
EOG090B0039	Complete	chr4	25612978	25775768	5324.2	2544
EOG090B003S	Complete	chr19	7063447	7116617	4187.6	2251
EOG090B004D	Complete	chr19	4681609	4699318	4701.9	2071
EOG090B004X	Complete	chr8	4659584	4719807	4102.0	2091
EOG090B0050	Complete	chr3	32763537	32811738	4233.3	2225
EOG090B005N	Complete	chr2	43326587	43381978	4408.2	2057
EOG090B005Q	Complete	chr9	8990938	9075860	3550.1	1837
EOG090B0067	Complete	chr2	1082569	1132323	2526.0	1843
EOG090B006Y	Complete	chr14	3185427	3213351	3191.8	1719
EOG090B006Z	Complete	chrZ	24916406	24949750	2034.9	1825
EOG090B007C	Complete	chr7	18929438	18989240	3331.7	1684
EOG090B007D	Complete	chr3	83088763	83149592	2963.5	1639
EOG090B007O	Complete	chr1	24738105	24764686	2636.6	1933
EOG090B007P	Complete	chr5	47965525	47994290	1820.9	1175
EOG090B008K	Complete	chrZ	72923195	72981720	2849.4	1533
EOG090B008M	Complete	chr1A	45477148	45529055	2897.9	1605
EOG090B0092	Complete	chr8	30604074	30689750	2527.4	1401
EOG090B0097	Complete	chrZ	65310413	65380339	3138.5	2193
EOG090B009E	Complete	chr5	47343022	47396468	2791.6	1390
EOG090B009G	Complete	chr9	10662966	10733751	3474.5	1625
EOG090B009K	Complete	chr18	3538727	3604708	2962.7	1659
EOG090B009Q	Complete	chr4	47928815	47960978	2533.6	1926
EOG090B009U	Complete	chr6	15694164	15751181	3174.7	1571
EOG090B00A3	Complete	chrZ	31367120	31424215	3076.1	1586
EOG090B00A5	Complete	chr20	6915980	6927523	2412.6	1538
