chr1	po1	gene1	chr2	po2	gene2
chr1	944694	EOG090B05OD	chr21	306026	EOG090B05OD
chr1	1082893	EOG090B0LIR	chr21	117084	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr21	69004	EOG090B08Y2
chr1	1255203	EOG090B0C55	chr21	39216	EOG090B0C55
chr1	1308644	EOG090B0AXY	chr21	1490641	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr21	1509897	EOG090B03H1
chr1	2019424	EOG090B07C7	chr21	2124711	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr21	2421558	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr21	2430533	EOG090B0D29
chr1	2508847	EOG090B028U	chr21	2525111	EOG090B028U
chr1	3625073	EOG090B0DVR	chr21	3154329	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr21	3158091	EOG090B05QE
chr1	3781088	EOG090B060G	chr21	3213051	EOG090B060G
chr1	3815402	EOG090B027C	chr21	3219544	EOG090B027C
chr1	3857604	EOG090B099H	chr21	3232794	EOG090B099H
chr1	6225080	EOG090B0BYH	chr21	3536903	EOG090B0BYH
chr1	6525854	EOG090B066X	chr21	3577596	EOG090B066X
chr1	6614067	EOG090B0BKA	chr21	3598781	EOG090B0BKA
chr1	7962786	EOG090B0EDI	chr21	3912287	EOG090B0EDI
chr1	8324330	EOG090B03E1	chr21	3995181	EOG090B03E1
chr1	9588931	EOG090B06F2	chr21	790005	EOG090B06F2
chr1	9730508	EOG090B01F0	chr21	854744	EOG090B01F0
chr1	9930399	EOG090B0ILM	chr21	920989	EOG090B0ILM
chr1	10083473	EOG090B00ZI	chr21	933571	EOG090B00ZI
chr1	10399118	EOG090B05GI	chr21	1049123	EOG090B05GI
chr1	10461490	EOG090B098N	chr21	1063381	EOG090B098N
chr1	10598340	EOG090B0B8F	chr21	1097144	EOG090B0B8F
chr1	11066718	EOG090B01UK	chr21	5142993	EOG090B01UK
chr1	11273532	EOG090B09M4	chr21	5074739	EOG090B09M4
chr1	11500993	EOG090B00U4	chr21	4986127	EOG090B00U4
chr1	11674775	EOG090B0DNB	chr21	4932255	EOG090B0DNB
chr1	11790680	EOG090B031B	chr21	4875118	EOG090B031B
chr1	11804633	EOG090B01SI	chr21	4858716	EOG090B01SI
chr1	11906303	EOG090B053B	chr21	4804899	EOG090B053B
chr1	12021727	EOG090B0932	chr21	4762667	EOG090B0932
chr1	12234267	EOG090B0FLR	chr21	4628951	EOG090B0FLR
chr1	15492943	EOG090B095T	chr21	8006624	EOG090B095T
chr1	15701941	EOG090B01DA	chr21	5843181	EOG090B01DA
chr1	19219303	EOG090B01EP	chr21	7670848	EOG090B01EP
chr1	19251836	EOG090B0D5M	chr21	6828550	EOG090B0D5M
chr1	19339530	EOG090B08IR	chr21	7702901	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr21	7822860	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr21	7867404	EOG090B09XF
chr1	20500690	EOG090B082J	chr21	7964412	EOG090B082J
chr1	20652379	EOG090B0651	chr21	5807846	EOG090B0651
chr1	20744797	EOG090B076T	chr21	5763389	EOG090B076T
chr1	21679417	EOG090B014N	chr21	5551050	EOG090B014N
chr1	22563636	EOG090B0178	chr21	8417566	EOG090B0178
chr1	23030397	EOG090B02B1	chr23	70601	EOG090B02B1
chr1	23778516	EOG090B0G12	chr23	2832650	EOG090B0G12
chr1	24902122	EOG090B09DL	chr23	3114581	EOG090B09DL
chr1	25821900	EOG090B0C5W	chr23	3336353	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr23	3403574	EOG090B0GZR
chr1	26280156	EOG090B0JOD	chr23	3428231	EOG090B0JOD
chr1	26282299	EOG090B07YS	chr23	3431333	EOG090B07YS
chr1	26432946	EOG090B08EA	chr23	3477306	EOG090B08EA
chr1	26790816	EOG090B05U9	chr23	3626195	EOG090B05U9
chr1	26891010	EOG090B066W	chr23	3655138	EOG090B066W
chr1	26921849	EOG090B0CH3	chr23	3664509	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr23	3754458	EOG090B02Y1
chr1	27935184	EOG090B065U	chr23	4246141	EOG090B065U
chr1	28149993	EOG090B08LV	chr23	4185552	EOG090B08LV
chr1	28330663	EOG090B0DRP	chrZ	65720833	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr23	4023994	EOG090B07B6
chr1	28603539	EOG090B0H7D	chr23	6739937	EOG090B0H7D
chr1	31259478	EOG090B0910	chr23	5589644	EOG090B0910
chr1	31727420	EOG090B00F6	chr23	2071224	EOG090B00F6
chr1	32222442	EOG090B08H1	chr23	2282209	EOG090B08H1
chr1	32367291	EOG090B08U3	chr23	2329738	EOG090B08U3
chr1	32775981	EOG090B055Q	chr23	2418867	EOG090B055Q
chr1	35559125	EOG090B04N6	chr23	1337257	EOG090B04N6
chr1	35597946	EOG090B0GJG	chr23	1289655	EOG090B0GJG
chr1	35736496	EOG090B01JZ	chr23	1229635	EOG090B01JZ
chr1	36084922	EOG090B0769	chr23	1144586	EOG090B0769
