# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i bTaeGut2.mat.cur.20200124.fasta -o bTaeGut2.mat.cur.20200124.fasta.vert.human.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t bTaeGut2.mat.cur.20200124.vert.human.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr3	78214473	78382645	7487.1	3841
EOG090B0021	Complete	chr1	64925859	64957112	1016.0	670
EOG090B002I	Complete	chr3	52445482	52699431	4600.4	2637
EOG090B0039	Complete	chr4	25814901	25924309	5345.4	2605
EOG090B003S	Complete	chr19	7160513	7214045	4137.4	2267
EOG090B004D	Complete	chr19	4783647	4801356	4701.9	2071
EOG090B004X	Complete	chr8	4629661	4687037	4055.5	2103
EOG090B0050	Complete	chr3	32818989	32867257	4232.3	2212
EOG090B005N	Complete	chr2	43484223	43539676	4409.3	2057
EOG090B005Q	Complete	chr9	9216124	9301066	3544.0	1850
EOG090B0067	Complete	chr2	975813	1026787	2831.5	1944
EOG090B006Y	Complete	chr14	3155814	3183679	3190.5	1719
EOG090B006Z	Fragmented	chr28	1419477	1430538	1019.3	991
EOG090B007C	Complete	chr7	19062047	19121902	3331.6	1684
EOG090B007D	Complete	chr3	83414486	83482554	2965.3	1649
EOG090B007O	Complete	chr1	24923182	24949716	2641.5	1929
EOG090B007P	Complete	chr5	47472407	47501181	1664.3	990
EOG090B008K	Duplicated	chr10	18371709	18420779	1456.8	1225
EOG090B008K	Duplicated	chr25	3397888	3412993	1335.4	1120
EOG090B008M	Complete	chr1A	46075760	46127728	2974.0	1637
EOG090B0092	Complete	chr8	31489612	31575237	2524.6	1401
EOG090B0097	Complete	chrW	3093546	3130445	2722.0	1910
EOG090B009E	Complete	chr5	46852153	46906365	2791.5	1390
EOG090B009G	Complete	chr9	10831188	10882475	3330.4	1677
EOG090B009K	Complete	chr18	3443712	3509732	2966.2	1654
EOG090B009Q	Complete	chr4	47871341	47912003	2533.7	1977
EOG090B009U	Complete	chr6	17562237	17619237	3174.9	1565
EOG090B00A3	Missing
EOG090B00A5	Complete	chr20	6779932	6791496	2415.7	1578
EOG090B00AI	Complete	chr1	57094635	57129833	2293.8	1624
EOG090B00B0	Complete	chr4	21958139	22008122	3249.4	1569
EOG090B00BC	Complete	mat_W_PAR	155196	172450	618.4	346
EOG090B00BI	Complete	chr17	6945975	6974119	2699.9	1773
EOG090B00BQ	Complete	chr14	8879184	8899946	2136.3	1182
EOG090B00BU	Complete	chr3	79651689	79759387	2405.1	1407
EOG090B00BV	Complete	chr10	20530071	20556790	1755.7	1605
EOG090B00CA	Complete	chr2	54596535	54652469	2248.2	2095
EOG090B00CE	Complete	chr2	140662519	140728590	2531.3	1421
EOG090B00CX	Complete	chr2	73401425	73431431	513.0	366
EOG090B00DK	Complete	chr6	16525233	16579626	2943.7	1391
EOG090B00DR	Complete	chr19	4747854	4770225	2640.0	1549
EOG090B00E7	Complete	chr3	78851233	78893944	1823.3	1463
EOG090B00EI	Complete	chr6	28505558	28552363	2895.3	1663
EOG090B00ER	Complete	chr1A	31694558	31759431	3174.7	1494
EOG090B00EW	Complete	chr2	99727296	99829905	1143.0	855
EOG090B00F1	Complete	chr4	29620054	29676683	2572.0	1687
EOG090B00F6	Complete	chr23	2170266	2222734	1275.1	1096
EOG090B00F8	Complete	chr3	69200896	69271550	2757.4	1500
EOG090B00FD	Complete	chr2	4461685	4492677	1819.1	1387
EOG090B00G4	Complete	chr15	3035823	3073525	2831.7	1359
EOG090B00GH	Complete	chr7	28414838	28509960	2346.4	1265
EOG090B00GK	Complete	chr5	20833385	20886186	1762.7	908
EOG090B00GQ	Complete	chr5	35066790	35097634	2740.7	1355
EOG090B00GU	Complete	chr1A	45544996	45581332	2060.9	1168
EOG090B00GW	Complete	chr3	35354192	35371640	1440.5	1511
EOG090B00HG	Complete	chr1	87587174	87613522	1796.8	1670
EOG090B00I9	Complete	chr19	4292724	4312201	3199.7	1538
EOG090B00IJ	Complete	chr2	52656611	52755125	2131.3	1275
EOG090B00IL	Complete	chr6	13885605	13916065	2652.5	1216
EOG090B00IN	Missing
EOG090B00IU	Complete	chr4	42356173	42413484	1949.7	1322
EOG090B00J3	Complete	chr3	56185637	56240559	1581.9	1092
EOG090B00J8	Complete	chr2	112784563	112848850	2450.2	1366
EOG090B00JL	Complete	chr8	16387491	16420069	1254.7	1190
EOG090B00JU	Complete	chr3	53532650	53569178	2707.5	1217
EOG090B00JW	Complete	chr17	10590127	10608379	2527.9	1269
EOG090B00JZ	Complete	chr9	10317055	10366600	1971.7	1349
EOG090B00K7	Complete	chr17	6011936	6036471	3105.3	1558
EOG090B00KE	Missing
EOG090B00KL	Missing
EOG090B00KR	Complete	chr10	12120177	12175235	2246.2	1182
EOG090B00L0	Missing
EOG090B00L1	Complete	chr19	4500546	4603710	1851.3	1153
EOG090B00L4	Complete	chr2	42867028	42907884	2562.3	1194
EOG090B00L6	Complete	chr6	1726389	1746767	1396.7	836
EOG090B00LJ	Complete	chr8	219974	241466	287.6	599
EOG090B00M3	Complete	chr1	69384365	69448334	1440.6	839
EOG090B00MK	Complete	chr1A	45080585	45108905	1931.8	1100
EOG090B00MR	Complete	chr11	12382797	12411740	1912.3	1026
EOG090B00NB	Complete	chr8	822456	871273	784.6	717
EOG090B00O2	Complete	chr4	14888826	14939409	2214.4	1232
EOG090B00ON	Complete	chr6	21608831	21617708	1285.3	1234
EOG090B00OU	Complete	chr3	96270559	96323675	2098.2	1347
EOG090B00OY	Complete	chr3	102950948	102990850	2073.2	1132
EOG090B00P0	Complete	chr10	12901187	12924658	1974.6	1134
EOG090B00PB	Complete	chr12	17193005	17281868	2114.6	1084
EOG090B00PC	Complete	chr1A	23642100	23735976	2016.9	1152
EOG090B00PE	Complete	chr1A	54166057	54203129	1795.4	929
EOG090B00PL	Missing
EOG090B00PS	Complete	chr7	13170406	13205196	2182.0	1166
EOG090B00PT	Complete	chr7	31877998	31889333	363.9	190
EOG090B00PZ	Complete	chr4	22159775	22228190	1365.2	776
EOG090B00QA	Complete	chr5	13744501	13764618	1589.4	1324
EOG090B00QJ	Complete	chr12	385501	415141	1986.3	1001
EOG090B00QN	Complete	chr5	9465338	9516386	2361.5	1164
EOG090B00QP	Complete	chr1	108817357	108852999	1794.5	1002
EOG090B00QU	Complete	mat_W_PAR	83073	114399	1401.3	894
EOG090B00R0	Complete	chr4	35009020	35068968	1323.1	758
EOG090B00R5	Complete	chr19	2343937	2392450	1019.0	560
EOG090B00RI	Complete	chr8	8300480	8318797	645.2	498
EOG090B00RL	Complete	chr15	11003326	11100925	1764.7	1007
EOG090B00RM	Complete	chr2	43581273	43604714	2236.6	1154
EOG090B00RO	Complete	chr2	73284598	73372360	1560.7	885
EOG090B00RP	Complete	chr15	7071963	7090159	2197.1	1269
EOG090B00S5	Complete	chr1	23337510	23389532	1387.6	1048
EOG090B00S6	Complete	chr3	8164392	8206364	2174.3	1069
EOG090B00S8	Complete	chr1A	15207935	15223794	500.0	1060
EOG090B00SR	Complete	chr7	36238612	36276551	1885.0	1258
EOG090B00SY	Complete	chr14	16234604	16302016	1957.1	1115
EOG090B00TE	Complete	chr4	17228598	17262434	1523.5	844
EOG090B00TI	Complete	chr6	33774785	33795070	1692.3	886
EOG090B00TL	Complete	chr6	31811150	31858419	2095.5	1070
EOG090B00U4	Complete	chr21	4756186	4789323	2196.4	1135
EOG090B00U6	Complete	chr3	25156053	25197652	2344.4	1902
EOG090B00UB	Complete	chr4	11672183	11728906	2025.9	1072
EOG090B00UO	Complete	chr1	41687062	41707600	1018.2	1263
EOG090B00UU	Complete	chr8	1661639	1720625	2215.2	1041
EOG090B00VD	Complete	chr13	10681034	10705591	2241.6	1073
EOG090B00VK	Complete	chr4	53527443	53543886	2080.9	946
EOG090B00VM	Complete	chr5	25732922	25762023	1480.5	949
EOG090B00VN	Complete	chr4	11008907	11113989	1499.9	770
EOG090B00VQ	Complete	chr4	10705156	10727971	826.3	909
EOG090B00VU	Complete	chr1	83960556	84015345	1457.2	824
EOG090B00WA	Complete	chr29	512453	524919	2100.7	1031
EOG090B00WE	Complete	chr12	8936377	8947838	1988.2	1019
EOG090B00WK	Complete	chr2	118055574	118067099	2012.2	1041
EOG090B00WV	Complete	chr5	56160361	56170838	1837.9	1044
EOG090B00WW	Complete	chr1	25608829	25694580	2042.6	1665
EOG090B00X1	Complete	chr28	3889362	3959419	2031.7	1109
EOG090B00X2	Complete	chr15	11577152	11606810	2491.4	1224
EOG090B00X6	Complete	chr1	59692887	59745257	1951.8	1057
EOG090B00X9	Complete	chr13	4420898	4456053	1624.4	1155
EOG090B00XC	Complete	chr14	1434159	1470546	1739.0	1247
EOG090B00XK	Complete	chr5	6456587	6467813	2154.2	1001
EOG090B00XY	Complete	chr2	133556979	133572364	1421.4	817
EOG090B00Y2	Complete	chr11	5507665	5540873	2047.8	1173
EOG090B00Y8	Complete	chr18	8331990	8346406	1495.4	915
EOG090B00YJ	Complete	chr11	541835	563551	1851.8	1017
EOG090B00YL	Complete	chr3	96125803	96208575	1729.7	1142
EOG090B00YR	Complete	chr1A	54235158	54290614	1886.5	970
EOG090B00YY	Missing
EOG090B00Z9	Complete	chr2	60184407	60254841	1935.8	889
EOG090B00ZG	Complete	chr19	1225515	1257642	1648.0	1014
EOG090B00ZI	Complete	chr21	945724	978315	2068.2	984
EOG090B00ZU	Complete	chr19	10664537	10690128	1905.3	911
EOG090B0102	Complete	chr2	141149515	141177736	2221.6	1051
EOG090B0103	Complete	chr6	27007044	27042890	2192.5	1155
EOG090B0105	Complete	chr1A	42975480	43045800	1912.0	1260
EOG090B0108	Complete	chr5	16148203	16185387	1470.0	893
EOG090B010A	Missing
EOG090B010Q	Complete	chr6	22970340	22981820	1745.4	1020
EOG090B0111	Complete	chr1	69051633	69122029	2250.8	1050
EOG090B011C	Complete	chr19	7225351	7264449	2065.7	1029
EOG090B0126	Complete	chr5	907085	925634	1607.0	941
EOG090B012Y	Complete	chr2	59293122	59362062	2205.7	1044
EOG090B012Z	Complete	chr7	5535878	5609461	1343.3	894
EOG090B0135	Complete	chr12	9003239	9040826	1852.5	1233
EOG090B0139	Fragmented	chr2	137252051	137261772	615.2	329
EOG090B013I	Complete	chr5	57861566	57914338	1196.8	1233
EOG090B013L	Complete	chr14	14476662	14537512	1966.7	987
EOG090B013X	Complete	chr4	32189530	32224808	2113.3	1009
EOG090B013Y	Complete	chr13	9756564	9779177	1808.3	856
EOG090B0144	Complete	chr9	17969993	18024979	2141.7	1003
EOG090B014A	Complete	chr1	77230757	77279665	1988.5	967
EOG090B014C	Complete	chr1A	52975525	53010891	1964.1	938
EOG090B014D	Complete	chr6	7479974	7527501	907.1	730
EOG090B014G	Complete	chr21	5750233	5773683	289.6	696
EOG090B014H	Complete	chr3	83951920	83963417	827.3	587
EOG090B014N	Complete	chr21	5163923	5192666	1846.3	915
EOG090B014X	Complete	chr11	3718335	3739950	2006.3	904
EOG090B014Y	Complete	chr1	65426025	65446291	884.6	904
EOG090B0153	Complete	chr1A	18033957	18037445	1956.4	1029
EOG090B0158	Complete	chr5	44753552	44780987	1380.9	846
EOG090B015P	Complete	chr13	263445	281771	2055.3	1197
EOG090B015R	Complete	chr5	18796425	18803397	1588.6	824
EOG090B0163	Complete	chr24	7355036	7364733	1966.1	956
EOG090B016C	Complete	chr3	70078549	70108487	1640.7	940
EOG090B016Q	Complete	chr20	7235412	7248676	1499.4	926
EOG090B0178	Complete	chr21	7188763	7228371	1566.5	812
EOG090B017C	Complete	chr6	30269971	30318595	1481.8	901
EOG090B017H	Complete	chr24	373376	415174	2070.3	983
EOG090B017X	Complete	chr17	11393688	11441794	1018.1	580
EOG090B0183	Complete	chr4	44549254	44573783	1998.9	967
EOG090B018F	Complete	chr14	6084400	6093359	1668.0	810
EOG090B018Q	Complete	chr2	21762173	21813636	1216.6	626
EOG090B0196	Complete	chr1A	55296407	55328761	1129.3	956
EOG090B019C	Complete	chr2	105335397	105401026	1891.5	861
EOG090B019E	Complete	chr20	13091208	13100460	575.8	418
EOG090B01A7	Complete	chr5	38554403	38574394	1797.6	812
EOG090B01BC	Missing
EOG090B01BF	Complete	chrW	14182778	14303925	1483.3	711
EOG090B01BH	Complete	chr4	8976293	9023975	1519.9	935
EOG090B01BK	Complete	chr3	30164163	30219858	1259.0	866
EOG090B01BP	Complete	chr7	11801807	11829340	1422.2	873
EOG090B01C2	Complete	chr9	22239645	22276332	1608.5	899
EOG090B01C3	Complete	chr24	352323	368702	1593.5	1041
EOG090B01CL	Complete	chr2	112449860	112515486	994.8	705
EOG090B01CM	Complete	chr19	1165747	1180191	1497.4	839
EOG090B01CT	Complete	chr10	8531906	8547736	1438.2	909
EOG090B01CY	Complete	chr2	129140512	129161814	1681.4	882
EOG090B01DA	Complete	chr21	5465714	5489018	1411.4	780
EOG090B01DB	Complete	chr3	102922763	102948790	1422.4	791
EOG090B01DI	Complete	chr4	5326210	5367423	1503.6	829
EOG090B01DL	Complete	chr10	1774590	1785058	1591.7	841
EOG090B01DR	Complete	chr3	219796	246056	1703.1	800
EOG090B01DX	Complete	chr27	3755120	3775977	1858.1	856
EOG090B01E6	Complete	chr3	47082408	47103112	1628.9	833
EOG090B01EP	Complete	chr21	6442786	6456497	1498.3	774
EOG090B01ER	Complete	chr2	130350952	130371641	1112.9	710
EOG090B01ET	Complete	chr4	45540197	45581326	1382.1	793
EOG090B01F0	Complete	chr21	865915	893471	1541.0	800
EOG090B01F4	Complete	chr8	21719330	21742740	1129.0	611
EOG090B01FE	Complete	chr5	24051389	24058775	1738.5	871
EOG090B01FF	Complete	chr4	27581733	27598758	1378.1	863
EOG090B01FI	Complete	chr7	10582662	10601101	1439.7	987
EOG090B01FM	Complete	chr2	88382907	88410329	1352.0	927
EOG090B01FP	Missing
EOG090B01FT	Complete	chr2	66608161	66645408	1377.4	1240
EOG090B01FZ	Complete	chr24	7571854	7581434	1694.5	808
EOG090B01G5	Complete	chr3	110377513	110412646	1602.6	835
EOG090B01GE	Complete	chr1A	21857705	21879850	1632.3	838
EOG090B01GF	Complete	chr19	2715047	2748328	1476.1	801
EOG090B01GG	Complete	chr10	11973898	12000353	1180.9	972
EOG090B01H4	Complete	chr6	17043109	17114471	1274.6	880
EOG090B01H7	Complete	chr2	45569022	45648330	1576.6	818
EOG090B01HH	Fragmented	chr2	90911890	90952997	408.2	223
EOG090B01HM	Complete	chr19	2705305	2709801	1299.6	678
EOG090B01HY	Complete	chr3	23965897	24008224	1218.1	913
EOG090B01I6	Complete	chr17	1033615	1083224	1097.0	558
EOG090B01IB	Complete	chr10	18721833	18736419	1676.1	926
EOG090B01IE	Complete	chr7	31912352	31947165	1432.2	775
EOG090B01IG	Complete	chr2	139059711	139123817	2356.3	1025
EOG090B01IL	Complete	chr19	3131204	3164937	1585.9	813
EOG090B01IX	Complete	chr1A	201350	221692	1668.3	803
EOG090B01J3	Complete	chr2	25696656	25706673	1597.7	762
EOG090B01JB	Complete	chr26	3015015	3042133	1529.0	838
EOG090B01JU	Complete	chr2	105913878	105930539	1123.3	567
EOG090B01JZ	Complete	chr23	1331227	1343782	1286.6	1015
EOG090B01K1	Complete	chr7	31890393	31909948	1674.6	841
EOG090B01K3	Complete	chr5	2997015	3012552	1761.0	829
EOG090B01K5	Complete	chr7	26434159	26474447	1696.2	903
EOG090B01KC	Complete	chr3	83854644	83875233	901.5	782
EOG090B01KL	Complete	chr20	13181579	13204125	1430.3	749
EOG090B01KN	Complete	chr4	47164903	47237449	1568.3	780
EOG090B01KT	Complete	chr2	91781889	91864948	1478.4	922
EOG090B01KU	Complete	chr1A	6534104	6549652	1049.6	722
EOG090B01L3	Complete	chr14	5025750	5099079	1185.6	727
EOG090B01L6	Complete	chr27	1372072	1402503	1498.3	704
EOG090B01L8	Complete	chr3	98408092	98425418	1259.4	905
EOG090B01LE	Complete	chr10	5588151	5602041	1202.5	699
EOG090B01LT	Complete	chr1	29712357	29743443	1794.7	865
EOG090B01LW	Complete	chr3	99522276	99544976	1754.8	865
EOG090B01LY	Complete	chr11	4419396	4466577	1514.9	780
EOG090B01M3	Complete	chr2	128608965	128637402	1531.3	862
EOG090B01MB	Complete	chr8	11624111	11652962	1209.8	770
EOG090B01MG	Complete	chr4	22575959	22608445	1266.5	692
EOG090B01MH	Complete	chr1A	6688745	6825936	1819.3	948
EOG090B01MU	Complete	chr1	52897281	52901121	1468.2	791
EOG090B01MV	Complete	chr9	21040575	21062024	1336.5	722
EOG090B01NH	Complete	chr2	9739282	9782372	865.1	694
EOG090B01NJ	Complete	chr1	14526802	14536687	1331.6	974
EOG090B01NR	Complete	chr5	4748876	4768131	2088.9	1021
EOG090B01NT	Complete	chr1	59385572	59456630	942.6	613
EOG090B01OE	Complete	chr14	14244794	14255240	1574.8	932
EOG090B01ON	Complete	chr8	3519463	3535382	797.9	434
EOG090B01OQ	Complete	chr13	3207410	3248860	1152.8	683
EOG090B01OT	Complete	chr7	9928416	9959441	1395.1	804
EOG090B01OW	Complete	chr10	4890588	4926653	720.8	594
EOG090B01P0	Complete	chr14	373832	428979	551.1	464
EOG090B01P4	Complete	chr2	61961592	62074429	1678.3	822
EOG090B01PI	Complete	mat_random_42	292431	341400	1387.9	776
EOG090B01PW	Complete	chr6	29090721	29120434	1226.9	585
EOG090B01Q0	Complete	chr3	31579806	31613871	1129.2	734
EOG090B01Q1	Complete	chr1A	6126352	6145250	1507.2	768
EOG090B01Q3	Complete	chr3	44085117	44134612	1607.7	791
EOG090B01Q4	Complete	chr20	8434409	8457634	1522.5	809
EOG090B01Q5	Complete	chr12	4722175	4736089	1441.8	876
EOG090B01Q9	Complete	chr5	24678646	24712970	1680.7	1148
EOG090B01QB	Complete	chr2	90993233	91030231	1145.3	700
EOG090B01QK	Complete	chr4	49434438	49459830	1340.5	785
EOG090B01QL	Complete	chr1A	41310983	41330856	1659.3	807
EOG090B01QO	Complete	chr15	10251668	10275840	1613.2	841
EOG090B01QR	Complete	chr9	14057488	14099054	1669.2	791
EOG090B01QX	Complete	chr1A	1668465	1712522	831.8	499
EOG090B01R7	Complete	chr28	2463337	2470821	1489.9	733
EOG090B01R8	Complete	chr6	28739480	28770707	1380.5	736
EOG090B01RR	Complete	chr9	3923453	3975162	1784.7	1171
EOG090B01RY	Complete	chr1	61051108	61084326	857.1	637
EOG090B01S1	Complete	chr2	92833705	92884897	1624.8	891
EOG090B01SA	Complete	chr6	3551139	3571155	1638.2	774
EOG090B01SI	Complete	chr21	4631314	4644910	1587.4	772
EOG090B01SN	Missing
EOG090B01SW	Complete	chr19	1919572	2056605	1553.3	723
EOG090B01SX	Complete	chr27	1341886	1359976	1439.4	698
EOG090B01SZ	Complete	chr4	15749754	15772932	1425.7	853
EOG090B01T9	Complete	chr3	76165199	76179384	1316.5	821
EOG090B01TD	Complete	chr6	23962599	23987378	688.1	689
EOG090B01TI	Complete	chr5	38697025	38715935	1513.6	1043
EOG090B01TS	Complete	chr9	16360881	16425337	1650.6	826
EOG090B01TT	Complete	chr4A	18395207	18422936	1530.6	766
EOG090B01TU	Complete	chr1	25584336	25602401	1577.3	840
EOG090B01U6	Complete	chr15	7052916	7066908	1196.0	727
EOG090B01U8	Complete	chr15	10008761	10025955	1347.6	722
EOG090B01UC	Complete	chr1	83277574	83311484	1523.3	748
EOG090B01UD	Complete	chr19	3545013	3594888	880.2	681
EOG090B01UK	Complete	chr21	4906359	4922386	1308.7	735
EOG090B01UL	Complete	chr2	21395391	21435036	1267.6	724
EOG090B01V1	Complete	chr1A	45622088	45647735	1514.5	790
EOG090B01V8	Complete	chr4A	14503637	14534694	1014.9	812
EOG090B01VD	Complete	chr1	2540708	2597307	1070.8	702
EOG090B01VH	Missing
EOG090B01VN	Complete	chr5	46066477	46112469	1689.7	893
EOG090B01VR	Missing
EOG090B01VY	Complete	chr18	1801388	1816310	816.6	663
EOG090B01WE	Complete	chr1	58450203	58477274	1453.5	703
EOG090B01WJ	Complete	chr2	42739360	42767629	1488.6	706
EOG090B01WP	Complete	chr2	24524520	24551467	1253.6	634
EOG090B01WV	Complete	chr3	10210235	10227561	776.7	515
EOG090B01WY	Complete	chr1	278723	311796	1265.8	812
EOG090B01WZ	Complete	chr1	79803712	79826329	1419.2	770
EOG090B01X3	Missing
EOG090B01X9	Missing
