# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i hg38.chr.fasta -o hg38.chr.busco.vert -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t tmp.vert.busco/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr2	32360659	32594155	5842.8	2934
EOG090B0021	Complete	chr13	32337742	32398770	767.9	526
EOG090B002I	Complete	chr6	129247103	129457416	2453.2	1516
EOG090B0039	Complete	chr4	48499422	48634410	5398.0	2569
EOG090B003S	Complete	chr17	4006890	4125069	4212.0	2268
EOG090B004D	Complete	chr17	1650802	1684571	4703.0	2071
EOG090B004X	Complete	chr1	55069045	55234178	4105.2	2204
EOG090B0050	Complete	chr6	83096978	83168167	4282.3	2162
EOG090B005N	Complete	chr3	132432600	132538282	4449.6	2055
EOG090B005Q	Missing
EOG090B0067	Complete	chr3	47017093	47124808	3000.3	2049
EOG090B006Y	Complete	chr7	1460196	1503960	3461.3	1804
EOG090B006Z	Complete	chr5	112798954	112844126	2056.3	2114
EOG090B007C	Complete	chr2	208271520	208355305	3408.0	1675
EOG090B007D	Complete	chr20	20481291	20712480	2981.5	1592
EOG090B007O	Complete	chr3	113647173	113675990	2419.4	1796
EOG090B007P	Complete	chr14	96285755	96362976	2985.2	1593
EOG090B008K	Complete	chr9	19266865	19372173	2955.6	1657
EOG090B008M	Complete	chr7	135557945	135648556	3667.1	1795
EOG090B0092	Fragmented	chr9	116184866	116239470	939.9	712
EOG090B0097	Complete	chr5	72181229	72205239	3062.5	1982
EOG090B009E	Complete	chr14	95090498	95133428	3262.3	1514
EOG090B009G	Complete	chr2	229767554	229880079	3038.3	1648
EOG090B009K	Complete	chr17	67078252	67218804	2987.1	1622
EOG090B009Q	Complete	chr4	105230244	105276519	2665.2	1774
EOG090B009U	Complete	chr10	102327642	102382336	3247.9	1562
EOG090B00A3	Complete	chr9	111362030	111457490	3192.8	1581
EOG090B00A5	Complete	chr20	49247267	49275839	2816.4	1580
EOG090B00AI	Complete	chr13	42291663	42319228	2468.6	1619
EOG090B00B0	Complete	chr4	37413475	37447217	3184.9	1498
EOG090B00BC	Complete	chr18	58481823	58541403	642.6	347
EOG090B00BI	Complete	chr9	131430145	131496141	2758.6	1763
EOG090B00BQ	Complete	chr16	15596693	15639233	2166.1	1177
EOG090B00BU	Complete	chr1	245626641	245702606	1681.0	1351
EOG090B00BV	Complete	chr15	43407383	43481012	1984.1	1507
EOG090B00CA	Complete	chr3	37281333	37366103	2560.9	1897
EOG090B00CE	Complete	chr8	123966092	124119790	2512.6	1420
EOG090B00CX	Complete	chr5	5445297	5489330	573.7	365
EOG090B00DK	Complete	chr10	73785879	73801519	2915.2	1373
EOG090B00DR	Complete	chr17	1725038	1737685	2723.1	1528
EOG090B00E7	Complete	chr6	43322613	43369365	1948.6	1474
EOG090B00EI	Complete	chr10	113588975	113663882	2963.3	1544
EOG090B00ER	Complete	chr12	62467208	62592749	3207.8	1491
EOG090B00EW	Complete	chr18	13039785	13124770	1317.7	846
EOG090B00F1	Complete	chr8	17933185	18027662	2687.4	1635
EOG090B00F6	Complete	chr1	31727420	31742928	1153.4	898
EOG090B00F8	Complete	chr1	232385625	232515339	2778.9	1473
EOG090B00FD	Complete	chr3	38040719	38122412	2070.4	1360
EOG090B00G4	Complete	chr22	31754922	31906497	2861.1	1371
EOG090B00GH	Complete	chr2	210568210	210677985	2508.3	1265
EOG090B00GK	Complete	chr11	43359923	43493904	1782.7	929
EOG090B00GQ	Complete	chr14	32090670	32154948	2787.1	1355
EOG090B00GU	Complete	chr12	100037636	100122458	2126.7	1204
EOG090B00GW	Complete	chr6	89846590	89884720	1650.1	1531
EOG090B00HG	Complete	chr2	108452169	108507630	1826.3	1514
EOG090B00I9	Complete	chr17	28673402	28701625	3217.8	1570
EOG090B00IJ	Complete	chr7	41946831	42078578	2124.9	1103
EOG090B00IL	Complete	chr10	77977478	78029407	2670.4	1211
EOG090B00IN	Complete	chr9	20848538	21006676	1099.6	785
EOG090B00IU	Complete	chr4	153541408	153636576	2113.9	1347
EOG090B00J3	Complete	chr6	150749003	150840896	1538.6	1066
EOG090B00J8	Complete	chr8	52623782	52685469	2509.8	1369
EOG090B00JL	Complete	chr1	92147264	92184330	1289.4	1211
EOG090B00JU	Fragmented	chr6	131594061	131628049	2214.7	990
EOG090B00JW	Complete	chr9	125298922	125362746	2557.7	1270
EOG090B00JZ	Complete	chr2	227981717	228037009	1912.4	1253
EOG090B00K7	Complete	chr9	128947720	129006678	3167.3	1558
EOG090B00KE	Complete	chr9	5697682	5774246	2536.0	1185
EOG090B00KL	Complete	chr5	37274579	37370950	2664.7	1255
EOG090B00KR	Complete	chr15	80861835	80948924	2295.7	1182
EOG090B00L0	Complete	chr18	44937546	44966568	1407.8	947
EOG090B00L1	Complete	chr17	2274370	2303720	856.9	695
EOG090B00L4	Complete	chr3	130679315	130761531	2580.0	1192
EOG090B00L6	Complete	chr10	68416661	68489986	1537.2	868
EOG090B00LJ	Complete	chr1	74598090	74644325	629.0	442
EOG090B00M3	Complete	chr13	19992579	20086014	1429.5	833
EOG090B00MK	Complete	chr12	98648360	98732566	2016.3	1100
EOG090B00MR	Complete	chr16	71648890	71710377	2022.3	1039
EOG090B00NB	Complete	chr5	65992719	66078530	1859.8	1077
EOG090B00O2	Complete	chr4	15497889	15601425	2299.8	1244
EOG090B00ON	Complete	chr10	96156323	96160774	1462.2	1201
EOG090B00OU	Complete	chr2	43678863	43765598	2298.6	1239
EOG090B00OY	Complete	chr1	220151251	220227248	2103.4	1109
EOG090B00P0	Complete	chr15	89247648	89316459	2062.9	1128
EOG090B00PB	Complete	chr9	92208489	92291868	2178.9	1086
EOG090B00PC	Complete	chr7	117489425	117667108	2286.6	1253
EOG090B00PE	Complete	chr12	101747164	101796977	1812.9	962
EOG090B00PL	Complete	chr18	23532202	23586343	2216.7	1126
EOG090B00PS	Complete	chr2	165870964	165953705	2268.5	1175
EOG090B00PT	Complete	chr2	134964850	134998900	385.9	190
EOG090B00PZ	Complete	chr4	38001698	38137335	1389.6	759
EOG090B00QA	Complete	chr11	568722	611777	1651.4	1227
EOG090B00QJ	Complete	chr3	129440162	129520265	2007.8	1004
EOG090B00QN	Complete	chr11	11872060	11956175	2391.5	1162
EOG090B00QP	Complete	chr21	44012494	44103531	2089.4	1071
EOG090B00QU	Complete	chr10	77723925	77734336	802.5	671
EOG090B00R0	Complete	chr4	176104291	176179579	2392.3	1148
EOG090B00R5	Complete	chr17	61683296	61828574	1059.1	561
EOG090B00RI	Complete	chr1	47269631	47324980	347.8	347
EOG090B00RL	Duplicated	chr11	67207485	67255055	1119.9	900
EOG090B00RL	Duplicated	chr12	121428966	121467211	1075.9	614
EOG090B00RM	Complete	chr3	132677313	132722355	2270.6	1164
EOG090B00RO	Complete	chr9	33290477	33369978	1618.2	987
EOG090B00RP	Complete	chr12	132773105	132818260	2219.2	1272
EOG090B00S5	Complete	chr3	119348303	119416264	1435.7	1055
EOG090B00S6	Complete	chr2	19913558	19989459	2246.9	1067
EOG090B00S8	Duplicated	chr1	109250080	109273271	409.6	904
EOG090B00S8	Duplicated	chr3	48639670	48662888	413.7	880
EOG090B00SR	Complete	chr2	148458759	148512941	2051.3	1340
EOG090B00SY	Complete	chr16	1711601	1768824	2042.0	1109
EOG090B00TE	Complete	chr4	22387705	22465081	1641.2	877
EOG090B00TI	Complete	chr10	125719808	125763472	1718.3	905
EOG090B00TL	Complete	chr10	120851421	120908713	2265.5	1090
EOG090B00U4	Complete	chr1	11500993	11536686	2239.6	1131
EOG090B00U6	Complete	chr6	63660117	63713708	2440.1	1827
EOG090B00UB	Complete	chr4	6804594	6880966	2098.7	1150
EOG090B00UO	Complete	chr11	108148760	108199286	877.8	1113
EOG090B00UU	Complete	chr1	64588920	64691561	2232.3	1040
EOG090B00VD	Complete	chr5	146114106	146182493	2264.1	1069
EOG090B00VK	Complete	chr4	56978986	57030988	2083.1	946
EOG090B00VM	Complete	chr15	42723476	42737102	1535.8	947
EOG090B00VN	Complete	chr4	7647372	7752471	1514.6	794
EOG090B00VQ	Complete	chr5	148995173	149051190	1509.0	951
EOG090B00VU	Complete	chr2	99401241	99482622	1539.9	996
EOG090B00WA	Complete	chr12	56316832	56333094	2145.6	1031
EOG090B00WE	Complete	chr3	9734141	9747349	2021.0	1017
EOG090B00WK	Complete	chr8	66634501	66666958	2059.2	1008
EOG090B00WV	Complete	chr14	60107639	60134221	1902.7	1043
EOG090B00WW	Complete	chr1	117966598	118129845	2271.7	1620
EOG090B00X1	Complete	chr19	2164185	2228347	2114.5	1293
EOG090B00X2	Complete	chr12	123295908	123364521	2496.2	1200
EOG090B00X6	Complete	chr13	49094722	49207395	2111.4	1044
EOG090B00X9	Complete	chr5	150000673	150052192	1679.9	1030
EOG090B00XC	Complete	chr7	98136044	98205492	1816.7	1111
EOG090B00XK	Complete	chr11	61300136	61334672	2001.2	932
EOG090B00XY	Complete	chr8	105770493	105803538	1433.5	826
EOG090B00Y2	Complete	chr16	67873262	67884148	2047.3	1159
EOG090B00Y8	Complete	chr17	75827965	75843722	1578.1	915
EOG090B00YJ	Complete	chr16	51134800	51150826	1864.8	1031
EOG090B00YL	Complete	chr2	43888600	43990633	1910.8	1151
EOG090B00YR	Complete	chr11	47330865	47352647	1221.5	1030
EOG090B00YY	Complete	chr9	33454035	33472409	1665.1	962
EOG090B00Z9	Complete	chr18	62209728	62305534	1942.1	891
EOG090B00ZG	Complete	chr17	37518940	37596330	1507.8	953
EOG090B00ZI	Complete	chr1	10083473	10179956	2076.3	987
EOG090B00ZU	Complete	chr17	58491663	58531963	1812.4	854
EOG090B0102	Complete	chr8	125024617	125083898	2059.8	988
EOG090B0103	Complete	chr10	110567817	110604302	2193.4	1159
EOG090B0105	Complete	chr12	92759015	92875918	1968.7	1241
EOG090B0108	Complete	chr11	2405989	2423036	1551.3	905
EOG090B010A	Complete	chr15	40288715	40307672	1673.6	891
EOG090B010Q	Complete	chr10	97357094	97401231	1806.7	1024
EOG090B0111	Fragmented	chr13	20783722	20827159	1602.4	767
EOG090B011C	Complete	chr17	4167779	4234116	1946.2	998
EOG090B0126	Complete	chr11	18279882	18317858	1628.5	931
EOG090B012Y	Complete	chr5	31401432	31526905	2215.8	1098
EOG090B012Z	Complete	chr3	122910143	122939945	1154.7	875
EOG090B0135	Complete	chr3	9428939	9476091	1939.6	1269
EOG090B0139	Fragmented	chr8	115414023	115419733	620.2	330
EOG090B013I	Complete	chr14	55612049	55681572	1281.4	1255
EOG090B013L	Complete	chr16	28098538	28191832	1914.3	992
EOG090B013X	Complete	chr4	183663916	183719184	2097.3	997
EOG090B013Y	Complete	chr5	148394777	148442147	1818.0	862
EOG090B0144	Complete	chr3	182808200	182918104	2154.2	1002
EOG090B014A	Complete	chr13	102597039	102678316	2024.5	967
EOG090B014C	Complete	chr12	105107801	105166931	1994.1	938
EOG090B014D	Complete	chr10	62037468	62093030	927.0	794
EOG090B014G	Complete	chr19	19645422	19663666	1924.5	937
EOG090B014H	Complete	chr2	110637964	110677995	912.7	633
EOG090B014N	Complete	chr1	21679417	21782957	1872.3	915
EOG090B014X	Complete	chr16	84054449	84101783	2004.7	908
EOG090B014Y	Complete	chr13	30621141	30659356	1053.3	945
EOG090B0153	Complete	chr22	49883663	49887178	1938.9	1024
EOG090B0158	Complete	chr14	90278336	90331904	1421.6	837
EOG090B015P	Complete	chr5	132557325	132642364	2169.4	1197
EOG090B015R	Complete	chr11	36560475	36576436	1648.7	852
EOG090B0163	Complete	chr11	118365081	118396440	1972.9	956
EOG090B016C	Complete	chr1	229441904	229507959	1692.4	939
EOG090B016Q	Complete	chr20	37983456	38013816	1596.9	925
EOG090B0178	Complete	chr1	22563636	22601741	1618.8	824
EOG090B017C	Complete	chr10	117283268	117337790	1136.3	855
EOG090B017H	Complete	chr11	129902313	129960782	2072.6	983
EOG090B017X	Complete	chr9	127281160	127393254	1752.3	819
EOG090B0183	Complete	chr4	67618997	67701119	2028.9	967
EOG090B018F	Complete	chr17	18274802	18314778	1724.2	825
EOG090B018Q	Duplicated	chr14	70457500	70459668	213.3	476
EOG090B018Q	Duplicated	chr4	174975526	174977988	195.2	472
EOG090B0196	Complete	chr12	30709902	30753595	995.1	807
EOG090B019C	Complete	chr18	21741584	21864666	1890.0	860
EOG090B019E	Complete	chr20	53571744	53582802	581.7	431
EOG090B01A7	Complete	chr14	74663720	74703002	1831.5	808
EOG090B01BC	Complete	chr9	110121551	110168497	1060.5	712
EOG090B01BF	Complete	chr5	87313354	87390883	1565.1	773
EOG090B01BH	Complete	chr4	2621254	2731868	1467.4	928
EOG090B01BK	Complete	chr6	75619734	75715594	1205.1	773
EOG090B01BP	Complete	chr2	162267200	162318307	1507.9	863
EOG090B01C2	Complete	chr3	169084909	169149496	1674.9	901
EOG090B01C3	Complete	chr11	129864725	129892888	1636.8	1131
EOG090B01CL	Complete	chr8	52093201	52192418	1117.5	789
EOG090B01CM	Complete	chr17	60043563	60090801	1616.9	875
EOG090B01CT	Complete	chr15	52582154	52633858	1202.5	881
EOG090B01CY	Complete	chr8	94823432	94880234	1718.3	886
EOG090B01DA	Complete	chr1	15701941	15733934	1394.8	794
EOG090B01DB	Complete	chr1	220094433	220147635	1567.8	827
EOG090B01DI	Complete	chr2	88557736	88627274	1524.4	840
EOG090B01DL	Complete	chr15	75355906	75368583	1626.6	842
EOG090B01DR	Complete	chr8	28716060	28750866	1715.2	800
EOG090B01DX	Complete	chr17	44851111	44894521	1716.7	856
EOG090B01E6	Complete	chr6	116399251	116437345	1647.0	819
EOG090B01EP	Complete	chr1	19219303	19251509	1535.3	791
EOG090B01ER	Complete	chr8	98117293	98158271	1163.0	682
EOG090B01ET	Complete	chr4	110476415	110561558	1446.6	796
EOG090B01F0	Complete	chr1	9730508	9779175	1570.6	799
EOG090B01F4	Missing
EOG090B01FE	Complete	chr15	40894769	40903341	1746.7	864
EOG090B01FF	Complete	chr4	56338402	56384299	1451.0	841
EOG090B01FI	Complete	chr2	219598009	219630360	1364.3	1018
EOG090B01FM	Complete	chr5	1253728	1294989	1449.5	923
EOG090B01FP	Complete	chr8	58584106	58648753	1528.3	776
EOG090B01FT	Complete	chr6	17616097	17706387	1354.6	1168
EOG090B01FZ	Complete	chr11	119069198	119081623	1699.4	808
EOG090B01G5	Complete	chr2	63893430	63983999	1611.4	849
EOG090B01GE	Complete	chr7	122066653	122135104	1665.9	838
EOG090B01GF	Complete	chr17	58987989	59106889	1475.5	784
EOG090B01GG	Complete	chr15	81254129	81308798	1321.7	866
EOG090B01H4	Complete	chr10	95298318	95441135	1189.3	716
EOG090B01H7	Complete	chr3	45427245	45547530	1367.7	816
EOG090B01HH	Fragmented	chr9	98290584	98317318	401.0	222
EOG090B01HM	Complete	chr17	59210052	59215002	1314.7	668
EOG090B01HY	Complete	chr6	57115131	57168469	1426.2	898
EOG090B01I6	Complete	chr9	113988238	114050167	1122.6	609
EOG090B01IB	Complete	chr15	66293597	66333312	1771.8	927
EOG090B01IE	Complete	chr2	135200342	135355638	1481.6	777
EOG090B01IG	Complete	chr8	119735934	119838708	2365.7	1017
EOG090B01IL	Complete	chr17	19776349	19857956	1593.8	809
EOG090B01IX	Complete	chr7	128957255	129034595	1701.3	803
EOG090B01J3	Complete	chr7	7572476	7607092	1610.9	762
EOG090B01JB	Complete	chr1	205042114	205073765	1601.0	832
EOG090B01JU	Complete	chr18	23503619	23531704	1118.8	567
EOG090B01JZ	Complete	chr1	35736496	35769870	1444.3	981
EOG090B01K1	Complete	chr2	135084380	135168781	1631.8	805
EOG090B01K3	Complete	chr11	14457824	14498928	1778.0	828
EOG090B01K5	Complete	chr2	186590339	186677292	1736.1	914
EOG090B01KC	Complete	chr2	112293592	112332488	1275.8	930
EOG090B01KL	Complete	chr20	53234032	53256563	1438.0	756
EOG090B01KN	Complete	chr4	106154364	106308936	1521.2	745
EOG090B01KT	Complete	chr9	100206523	100300674	1417.0	752
EOG090B01KU	Complete	chr10	13161247	13209310	1076.1	705
EOG090B01L3	Fragmented	chr7	5623841	5662483	307.4	140
EOG090B01L6	Complete	chr17	47556373	47621920	1475.7	684
EOG090B01L8	Complete	chr6	42822023	42865446	1304.5	883
EOG090B01LE	Complete	chr15	30904664	30937256	1318.4	746
EOG090B01LT	Complete	chr11	77878949	77994643	1809.2	865
