chr1	po1	gene1	chr2	po2	gene2
chr1	1082893	EOG090B0LIR	chr5	201559	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr5	286692	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chr5	351020	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr5	352442	EOG090B03H1
chr1	2019424	EOG090B07C7	chr5	687827	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr5	873979	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr5	881348	EOG090B0D29
chr1	3625073	EOG090B0DVR	chr5	1677769	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr5	1682114	EOG090B05QE
chr1	3781088	EOG090B060G	chr5	1781770	EOG090B060G
chr1	3815402	EOG090B027C	chr5	1793800	EOG090B027C
chr1	3857604	EOG090B099H	chr5	1816738	EOG090B099H
chr1	6225080	EOG090B0BYH	chr5	2920375	EOG090B0BYH
chr1	6525854	EOG090B066X	chr5	3115635	EOG090B066X
chr1	8324330	EOG090B03E1	chr5	4363358	EOG090B03E1
chr1	9588931	EOG090B06F2	chr5	5284012	EOG090B06F2
chr1	9930399	EOG090B0ILM	chr5	5516316	EOG090B0ILM
chr1	10461490	EOG090B098N	chr5	5902308	EOG090B098N
chr1	11066718	EOG090B01UK	chr5	6381918	EOG090B01UK
chr1	11273532	EOG090B09M4	chr5	6522951	EOG090B09M4
chr1	11674775	EOG090B0DNB	chr5	6818017	EOG090B0DNB
chr1	12021727	EOG090B0932	chr5	7060369	EOG090B0932
chr1	15701941	EOG090B01DA	chr5	9148320	EOG090B01DA
chr1	19339530	EOG090B08IR	chr10	46489566	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr5	11754077	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr5	11885407	EOG090B09XF
chr1	20652379	EOG090B0651	chr5	12449836	EOG090B0651
chr1	20744797	EOG090B076T	chr5	12524945	EOG090B076T
chr1	21679417	EOG090B014N	chr5	13187458	EOG090B014N
chr1	23030397	EOG090B02B1	chr5	14208796	EOG090B02B1
chr1	25821900	EOG090B0C5W	chr5	16237043	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr5	16504948	EOG090B0GZR
chr1	26282299	EOG090B07YS	chr5	16591012	EOG090B07YS
chr1	26432946	EOG090B08EA	chr5	16708493	EOG090B08EA
chr1	26790816	EOG090B05U9	chr5	16975488	EOG090B05U9
chr1	26891010	EOG090B066W	chr5	17044286	EOG090B066W
chr1	26921849	EOG090B0CH3	chr5	17070223	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr5	17292881	EOG090B02Y1
chr1	27935184	EOG090B065U	chr5	17802358	EOG090B065U
chr1	28330663	EOG090B0DRP	chr5	18087886	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr5	18223828	EOG090B07B6
chr1	32222442	EOG090B08H1	chr5	20665287	EOG090B08H1
chr1	35559125	EOG090B04N6	chr5	23234137	EOG090B04N6
chr1	35736496	EOG090B01JZ	chr5	23393339	EOG090B01JZ
chr1	36084922	EOG090B0769	chr5	23672735	EOG090B0769
chr1	36088905	EOG090B0AA8	chr5	23693005	EOG090B0AA8
chr1	36341755	EOG090B06G7	chr5	23881997	EOG090B06G7
chr1	37501254	EOG090B0K2H	chr5	24830328	EOG090B0K2H
chr1	37537748	EOG090B0C4X	chr5	24856515	EOG090B0C4X
chr1	37803925	EOG090B0G4S	chr5	25047883	EOG090B0G4S
chr1	39841744	EOG090B065A	chr5	26648035	EOG090B065A
chr1	40391348	EOG090B09F3	chr5	27049069	EOG090B09F3
chr1	42430736	EOG090B07R4	chr5	28652906	EOG090B07R4
chr1	43164443	EOG090B0BON	chr5	29327313	EOG090B0BON
chr1	43375683	EOG090B0COA	chr5	29502240	EOG090B0COA
chr1	43451019	EOG090B0B6W	chr5	29559847	EOG090B0B6W
chr1	43970176	EOG090B08RF	chr5	29977100	EOG090B08RF
chr1	44213754	EOG090B06WO	chr5	30172318	EOG090B06WO
chr1	44654559	EOG090B0DK8	chr5	30579952	EOG090B0DK8
chr1	45012266	EOG090B08C2	chr5	30885386	EOG090B08C2
chr1	45331125	EOG090B04FN	chr5	31054388	EOG090B04FN
chr1	45340253	EOG090B05A9	chr5	31059923	EOG090B05A9
chr1	45500333	EOG090B0ES0	chr5	31188043	EOG090B0ES0
chr1	46189270	EOG090B02YV	chr5	31729635	EOG090B02YV
chr1	46248406	EOG090B02KB	chr5	31762944	EOG090B02KB
chr1	46635776	EOG090B0BA1	chr5	32070680	EOG090B0BA1
chr1	52687720	EOG090B0CBQ	chr5	37149001	EOG090B0CBQ
chr1	53069856	EOG090B05IS	chr5	37462288	EOG090B05IS
chr1	53951922	EOG090B06X6	chr5	38179570	EOG090B06X6
chr1	54054333	EOG090B0E8F	chr5	38273749	EOG090B0E8F
chr1	54132968	EOG090B04IK	chr5	38335154	EOG090B04IK
chr1	54200244	EOG090B07JY	chr5	38387186	EOG090B07JY
chr1	54852233	EOG090B04CY	chr5	38862624	EOG090B04CY
chr1	55069045	EOG090B004X	chr5	38981390	EOG090B004X
chr1	58486087	EOG090B06T4	chr5	41844550	EOG090B06T4
chr1	58659997	EOG090B01ON	chr5	41985348	EOG090B01ON
chr1	62437245	EOG090B06NX	chr5	45301863	EOG090B06NX
chr1	63525573	EOG090B03RD	chr5	46209931	EOG090B03RD
chr1	66930392	EOG090B07BU	chr5	49173322	EOG090B07BU
chr1	77913642	EOG090B067T	chr5	58082588	EOG090B067T
chr1	78492744	EOG090B08IQ	chr5	58594771	EOG090B08IQ
chr1	84365421	EOG090B08GT	chr5	63594092	EOG090B08GT
chr1	85267627	EOG090B0HS9	chr5	64351560	EOG090B0HS9
chr1	85321452	EOG090B0B52	chr5	64398509	EOG090B0B52
chr1	85670175	EOG090B088A	chr5	64730311	EOG090B088A
chr1	87332016	EOG090B0JIN	chr5	66167229	EOG090B0JIN
chr1	88853213	EOG090B09U6	chr5	67581394	EOG090B09U6
chr1	92299074	EOG090B03Z3	chr5	70819982	EOG090B03Z3
chr1	94446969	EOG090B037M	chr5	72651384	EOG090B037M
chr1	108648566	EOG090B08CP	chr14	35360992	EOG090B08CP
chr1	110363766	EOG090B071D	chr14	36591644	EOG090B071D
chr1	111187605	EOG090B05WB	chr14	37063051	EOG090B05WB
chr1	113895065	EOG090B0596	chr14	38957493	EOG090B0596
chr1	117870569	EOG090B055C	chr14	41946979	EOG090B055C
chr1	117933320	EOG090B01TU	chr14	42009466	EOG090B01TU
chr1	119025531	EOG090B08R0	chr14	42857923	EOG090B08R0
chr1	156054890	EOG090B0HV2	chr14	49499205	EOG090B0HV2
chr1	161749802	EOG090B0G4H	chr14	27197291	EOG090B0G4H
chr1	166857567	EOG090B0A6X	chr14	25336811	EOG090B0A6X
chr1	167093732	EOG090B01NJ	chr14	25186491	EOG090B01NJ
chr1	168179078	EOG090B0DRM	chr3	157631725	EOG090B0DRM
chr1	169298520	EOG090B084C	chr14	24263581	EOG090B084C
chr1	169853713	EOG090B03IN	chr14	23935234	EOG090B03IN
chr1	170532224	EOG090B0F6W	chr14	23551713	EOG090B0F6W
chr1	171781968	EOG090B052Y	chr14	23003192	EOG090B052Y
chr1	173800448	EOG090B0AEM	chr14	21849059	EOG090B0AEM
chr1	179330295	EOG090B04MQ	chr14	18329159	EOG090B04MQ
chr1	185084758	EOG090B0BPK	chr14	14680052	EOG090B0BPK
chr1	185120019	EOG090B02JJ	chr14	14641875	EOG090B02JJ
chr1	185298035	EOG090B03BE	chr14	14536193	EOG090B03BE
chr1	193016351	EOG090B099U	chr15	22852360	EOG090B099U
chr1	193180294	EOG090B06JA	chr15	22967403	EOG090B06JA
chr1	204506901	EOG090B05MV	chr14	4002089	EOG090B05MV
chr1	205042114	EOG090B01JB	chr14	4547697	EOG090B01JB
chr1	205094743	EOG090B04NX	chr14	4581778	EOG090B04NX
chr1	205228565	EOG090B052S	chr14	4724092	EOG090B052S
chr1	205616546	EOG090B09Y2	chr14	5052934	EOG090B09Y2
chr1	207049020	EOG090B09PR	chr14	6284835	EOG090B09PR
chr1	211479036	EOG090B0EQJ	chr14	10282650	EOG090B0EQJ
chr1	211749899	EOG090B07FH	chr14	10496409	EOG090B07FH
chr1	211941824	EOG090B01LW	chr14	10621457	EOG090B01LW
chr1	212365215	EOG090B0870	chr14	10934099	EOG090B0870
chr1	214613755	EOG090B028F	chr14	12684814	EOG090B028F
chr1	222558660	EOG090B06LN	chr15	16768013	EOG090B06LN
chr1	224356925	EOG090B0GJT	chr15	15930584	EOG090B0GJT
chr1	226361460	EOG090B0KEX	chr15	14891561	EOG090B0KEX
chr1	228165817	EOG090B0BOM	chr8	58419418	EOG090B0BOM
chr1	230642607	EOG090B039X	chr15	9042405	EOG090B039X
chr1	230979106	EOG090B0ALZ	chr15	8856700	EOG090B0ALZ
chr1	231338384	EOG090B06ND	chr15	8658928	EOG090B06ND
chr1	231521285	EOG090B0A3R	chr15	8499726	EOG090B0A3R
chr1	232954548	EOG090B0FBA	chr15	7573067	EOG090B0FBA
chr1	235335265	EOG090B0A35	chr15	5901598	EOG090B0A35
chr1	235450206	EOG090B04O5	chr15	5776059	EOG090B04O5
chr1	244047831	EOG090B04FL	chr15	12556990	EOG090B04FL
chr1	244854450	EOG090B05VA	chr15	13061407	EOG090B05VA
chr2	669580	EOG090B0J2X	chr6	346818	EOG090B0J2X
chr2	3545785	EOG090B0ATE	chr6	1072660	EOG090B0ATE
chr2	6849850	EOG090B068Q	chr6	1780171	EOG090B068Q
chr2	6877801	EOG090B0C4K	chr6	1796721	EOG090B0C4K
chr2	9406834	EOG090B0FQ9	chr6	2941593	EOG090B0FQ9
chr2	10572071	EOG090B03N4	chr6	3576001	EOG090B03N4
chr2	10784258	EOG090B07JD	chr6	3692032	EOG090B07JD
chr2	11155547	EOG090B0EDB	chr6	3838883	EOG090B0EDB
chr2	17759944	EOG090B01WV	chr6	7811840	EOG090B01WV
chr2	27653485	EOG090B08OA	chr6	14886315	EOG090B08OA
chr2	28894699	EOG090B03HH	chr6	15810796	EOG090B03HH
chr2	29121389	EOG090B0342	chr6	15965398	EOG090B0342
chr2	37201764	EOG090B01T9	chr6	21665171	EOG090B01T9
chr2	37231706	EOG090B07CS	chr6	21686664	EOG090B07CS
chr2	38778991	EOG090B0FBL	chr6	22857613	EOG090B0FBL
chr2	42767437	EOG090B0A2Z	chr6	25808968	EOG090B0A2Z
chr2	43774139	EOG090B08JW	chr6	26556310	EOG090B08JW
chr2	43839054	EOG090B03PC	chr6	26616223	EOG090B03PC
chr2	43888600	EOG090B00YL	chr6	26640342	EOG090B00YL
chr2	44321356	EOG090B036Z	chr6	26987719	EOG090B036Z
chr2	46340318	EOG090B020C	chr6	28690382	EOG090B020C
chr2	53767887	EOG090B0F0M	chr6	34504655	EOG090B0F0M
chr2	55636237	EOG090B02GP	chr6	36027582	EOG090B02GP
chr2	61990187	EOG090B0EYL	chr6	40984558	EOG090B0EYL
chr2	62501209	EOG090B0FVL	chr6	41355529	EOG090B0FVL
chr2	63364425	EOG090B02R6	chr6	42138730	EOG090B02R6
chr2	63893430	EOG090B01G5	chr6	42587034	EOG090B01G5
chr2	68131238	EOG090B0819	chr6	46243363	EOG090B0819
chr2	71109970	EOG090B0G04	chr12	34168409	EOG090B0G04
chr2	71130666	EOG090B08AD	chr12	34153338	EOG090B08AD
chr2	73214267	EOG090B07GD	chr6	46836490	EOG090B07GD
chr2	85840144	EOG090B07KK	chr6	61849193	EOG090B07KK
chr2	86144268	EOG090B03JU	chr6	62158674	EOG090B03JU
chr2	88557736	EOG090B01DI	chr5	102220397	EOG090B01DI
