# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i bStrHab1.pri.cur.20191108.fasta -o bStrHab1.pri.cur.20191108.fasta.vert.human.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t bStrHab1.pri.cur.20191108.fasta.vert.humna.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr10	22854412	23029488	7056.1	3671
EOG090B0021	Complete	chr2	100747766	100782967	1025.7	676
EOG090B002I	Complete	chr1	51433070	51515328	2071.3	2118
EOG090B0039	Complete	chr7	27525511	27633543	5348.1	2600
EOG090B003S	Complete	S16	1156446	1218717	3730.8	2049
EOG090B004D	Complete	S16	9785624	9804536	4701.9	2071
EOG090B004X	Complete	chr8	57684585	57751026	4232.7	2106
EOG090B0050	Complete	chr6	27518523	27568866	3846.5	2019
EOG090B005N	Complete	chr1	143643270	143695092	4415.3	2057
EOG090B005Q	Complete	chr8	18527312	18622399	3554.2	1865
EOG090B0067	Complete	chr1	97920883	97986407	2474.9	1851
EOG090B006Y	Complete	chr4	80654460	80682934	3588.1	1803
EOG090B006Z	Complete	chrZ	36213723	36247596	2034.1	1679
EOG090B007C	Complete	chr5	15219614	15276369	3374.1	1686
EOG090B007D	Complete	chr6	75812526	75931373	2455.5	1492
EOG090B007O	Fragmented	chr2	11602101	11603936	1232.3	587
EOG090B007P	Complete	chr4	26470551	26501505	1840.8	1099
EOG090B008K	Complete	chrZ	66625716	66676283	2392.7	1432
EOG090B008M	Complete	chr3	51043109	51102179	2909.1	1572
EOG090B0092	Complete	chr8	40332964	40419742	2543.6	1398
EOG090B0097	Duplicated	chrW	36519903	36540467	2741.1	2072
EOG090B0097	Duplicated	chrZ	74530048	74593996	3119.1	2054
EOG090B009E	Complete	chr4	27106917	27159649	2613.7	1282
EOG090B009G	Complete	chr8	20324529	20375965	3496.6	1728
EOG090B009K	Complete	chr14	9376970	9444134	2973.2	1655
EOG090B009Q	Complete	chr7	53216584	53238138	2542.8	1905
EOG090B009U	Complete	chr5	61089946	61149061	3200.6	1558
EOG090B00A3	Complete	chrZ	47003926	47064866	3094.8	1581
EOG090B00A5	Fragmented	chr13	16340005	16349908	978.7	758
EOG090B00AI	Complete	chr2	92364549	92397490	2320.0	1624
EOG090B00B0	Complete	chr7	23538237	23556447	3141.9	1491
EOG090B00BC	Complete	chrZ	101681651	101699517	639.0	347
EOG090B00BI	Complete	chr15	4976639	5006982	2706.1	1770
EOG090B00BQ	Complete	chr4	76238542	76260837	2132.0	1179
EOG090B00BU	Complete	chr10	19873606	19994308	2414.5	1370
EOG090B00BV	Complete	chr9	106428	135343	1857.0	1530
EOG090B00CA	Complete	chr1	151276647	151333555	2357.6	2028
EOG090B00CE	Complete	chr1	11772500	11836034	2532.2	1389
EOG090B00CX	Complete	chr1	144530246	144556913	513.1	410
EOG090B00DK	Complete	chr5	24335531	24395472	2933.2	1385
