# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i bCalAnn1.pri.cur.20180926.fasta -o bCalAnn1.pri.cur.20180926.fasta.vert.human.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t bCalAnn1.pri.cur.20180926.fasta.vert.humna.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr3	12457443	12611020	6414.9	3257
EOG090B0021	Complete	chr1	176004436	176036342	1037.3	681
EOG090B002I	Complete	chr2	100698979	100776328	2230.2	2210
EOG090B0039	Complete	chr4A	16784934	16888136	5345.3	2596
EOG090B003S	Complete	chr19	415152	474055	3578.1	1976
EOG090B004D	Complete	chr19	6139508	6158767	4667.0	2070
EOG090B004X	Complete	chr8	26230831	26293099	4117.4	2040
EOG090B0050	Complete	chr3	80485784	80535454	4242.9	2135
EOG090B005N	Complete	chr2	55245604	55304079	4410.4	2056
EOG090B005Q	Complete	chr9	1118017	1204533	3589.4	1858
EOG090B0067	Complete	chr2	1083566	1109121	1240.9	958
EOG090B006Y	Complete	chr14	5462925	5489705	3475.1	1764
EOG090B006Z	Complete	chrZ	26363765	26417065	1958.8	1575
EOG090B007C	Complete	chr7	25276019	25334125	3352.0	1678
EOG090B007D	Complete	chr3	456177	533321	3035.4	1622
EOG090B007O	Complete	chr1	84511298	84538237	2642.2	2064
EOG090B007P	Complete	chr5A	29151484	29180538	1681.9	1070
EOG090B008K	Complete	chrZ	40695070	40751014	2043.0	1294
EOG090B008M	Complete	chr1	48451293	48497331	3210.1	1697
EOG090B0092	Complete	chr8	4483417	4572676	2531.2	1398
EOG090B0097	Complete	chrZ	47862245	47931382	3141.7	2199
EOG090B009E	Complete	chr5A	28555377	28614268	2781.9	1355
EOG090B009G	Complete	chr9	10331952	10379715	3307.6	1687
EOG090B009K	Complete	chr18	3168598	3234791	2970.2	1657
EOG090B009Q	Complete	chr4A	42394990	42432877	2348.1	1819
EOG090B009U	Complete	chr6	562562	641837	3284.5	1590
EOG090B00A3	Complete	chrZ	64363059	64423995	3111.9	1581
EOG090B00A5	Complete	chr20	15003644	15013235	2652.3	1542
EOG090B00AI	Complete	chr1	167517255	167549271	2330.4	1624
EOG090B00B0	Complete	chr4A	13163376	13174707	3129.9	1486
EOG090B00BC	Complete	chrZ	220049	242880	632.8	346
EOG090B00BI	Complete	chr17	7953526	7983181	2685.8	1771
EOG090B00BQ	Complete	chr14	9594548	9614497	2147.4	1175
EOG090B00BU	Complete	chr3	9749808	9865252	2424.0	1396
EOG090B00BV	Complete	chr10	21712167	21740860	1687.8	1316
EOG090B00CA	Complete	chr2	47976394	48038690	2335.1	2028
EOG090B00CE	Complete	chr2	139549405	139609741	2536.6	1390
EOG090B00CX	Complete	chr2	60102982	60132706	517.4	410
EOG090B00DK	Complete	chr6	1362110	1423049	2945.2	1399
EOG090B00DR	Complete	chr19	6186140	6196201	2614.0	1541
EOG090B00E7	Complete	chr3	13072652	13103293	1839.1	1466
EOG090B00EI	Complete	chr6	27007049	27057013	2861.4	1596
EOG090B00ER	Complete	chr1	32519157	32584501	3188.8	1495
EOG090B00EW	Complete	chr2	97925146	97981596	1217.5	841
EOG090B00F1	Complete	chr4A	20690146	20728036	2595.1	1674
EOG090B00F6	Complete	chr23	4078158	4125680	1334.3	1092
EOG090B00F8	Complete	chr3	4998646	5074228	2754.6	1460
EOG090B00FD	Complete	chr2	5402832	5442407	1958.2	1394
EOG090B00G4	Complete	chr15	9633853	9675009	2840.0	1354
EOG090B00GH	Complete	chr7	31685024	31772295	2384.4	1265
EOG090B00GK	Complete	chr5A	7641141	7684838	1762.6	918
EOG090B00GQ	Complete	chr5A	16610214	16643640	2759.0	1355
EOG090B00GU	Complete	chr1	64013826	64070760	2091.4	1185
EOG090B00GW	Complete	chr3	83160551	83194646	1182.5	1287
EOG090B00HG	Complete	chr1	137992990	138021330	1836.3	1658
EOG090B00I9	Complete	chr19	6636731	6656760	3203.4	1590
EOG090B00IJ	Complete	chr2	46253622	46361405	2138.1	1201
EOG090B00IL	Complete	chr6	3757330	3791663	2488.6	1186
EOG090B00IN	Complete	chrZ	40164224	40260882	1874.0	1174
EOG090B00IU	Fragmented	chr4A	33720478	33800915	1130.6	866
EOG090B00J3	Complete	chr3	30829752	30876855	1498.6	1150
EOG090B00J8	Complete	chr2	111333494	111401236	2454.3	1368
EOG090B00JL	Complete	chr8	14170686	14201999	1301.3	1354
EOG090B00JU	Complete	chr3	60350635	60388065	2717.3	1227
EOG090B00JW	Complete	chr17	6609490	6633520	2308.0	1220
EOG090B00JZ	Complete	chr9	143564	201971	1966.8	1319
EOG090B00K7	Complete	chr17	4754196	4781884	3113.4	1558
EOG090B00KE	Complete	chrZ	46258265	46301826	2593.6	1244
EOG090B00KL	Complete	chrZ	13675687	13704563	2570.3	1273
EOG090B00KR	Complete	chr10	13026673	13080401	2251.9	1182
EOG090B00L0	Complete	chrZ	5031906	5053349	1387.9	1039
EOG090B00L1	Complete	chr19	6341147	6449644	1710.9	1180
EOG090B00L4	Complete	chr2	55928478	55954177	2568.0	1194
EOG090B00L6	Complete	chr6	12139489	12179839	1465.9	864
EOG090B00LJ	Complete	chr8	30860382	30881330	518.6	498
EOG090B00M3	Complete	chr1	180708081	180778121	1295.7	838
EOG090B00MK	Complete	chr1	88859881	88895153	1913.9	1100
EOG090B00MR	Complete	chr11	20141113	20168934	1922.2	1024
EOG090B00NB	Complete	chrZ	52789546	52873472	1427.9	1017
EOG090B00O2	Complete	chr4A	6328295	6378309	2207.6	1218
EOG090B00ON	Complete	chr6	19855281	19859918	1351.5	1216
EOG090B00OU	Complete	chr5A	10200596	10253349	1623.8	1172
EOG090B00OY	Complete	chr3	26144011	26188326	1983.7	1084
EOG090B00P0	Complete	chr10	13819029	13842316	1966.3	1131
EOG090B00PB	Complete	chr12	1672546	1771093	2142.9	1077
EOG090B00PC	Complete	chr1	24149848	24234510	2176.0	1256
EOG090B00PE	Complete	chr1	57080796	57125677	1792.7	954
EOG090B00PL	Complete	chr2	104318779	104347444	2172.4	1126
EOG090B00PS	Complete	chr7	19037029	19077521	2148.1	1167
EOG090B00PT	Complete	chr7	6782820	6791729	364.4	190
EOG090B00PZ	Complete	chr4A	13325673	13392300	1366.5	786
EOG090B00QA	Complete	chr5	16358278	16384689	1033.7	1326
EOG090B00QJ	Complete	chr12	20957556	20985644	1877.8	918
EOG090B00QN	Complete	chr5	8306909	8362100	2350.2	1149
EOG090B00QP	Complete	chr1	111630144	111670587	2059.1	1072
EOG090B00QU	Complete	chrZ	139832	163235	1292.1	832
EOG090B00R0	Complete	chr4A	26225048	26276614	1702.6	903
EOG090B00R5	Complete	chr19	8649291	8702178	1012.0	569
EOG090B00RI	Complete	chr8	22464590	22482844	417.5	391
EOG090B00RL	Complete	chr15	2442535	2535866	1792.7	999
EOG090B00RM	Complete	chr2	55174077	55202164	2229.1	1154
EOG090B00RO	Complete	chr2	60037213	60090651	1556.7	911
EOG090B00RP	Complete	chr15	6645399	6666184	2210.6	1266
EOG090B00S5	Complete	chr1	79469571	79540604	1184.0	1085
EOG090B00S6	Complete	chr3	105138464	105180610	2207.3	1068
EOG090B00S8	Duplicated	chr1	15627728	15644016	468.3	1002
EOG090B00S8	Duplicated	chr12	9526092	9548862	432.3	941
EOG090B00SR	Complete	chr7	2132737	2171034	1977.5	1304
EOG090B00SY	Complete	chr14	11465470	11521060	2173.0	1123
EOG090B00TE	Complete	chr4A	8621901	8669966	1356.0	791
EOG090B00TI	Complete	chr6	32791621	32813075	1680.3	897
EOG090B00TL	Complete	chr6	30630834	30670366	2219.8	1089
EOG090B00U4	Complete	chr21	6755680	6773335	2210.8	1135
EOG090B00U6	Complete	chr3	89454046	89498028	2333.8	1832
EOG090B00UB	Complete	chr4A	3068781	3128247	2044.4	1147
EOG090B00UO	Complete	chr1	182038617	182059951	1278.9	1263
EOG090B00UU	Complete	chr8	29300679	29359854	2226.7	1042
EOG090B00VD	Complete	chr13	17252035	17275258	2246.3	1069
EOG090B00VK	Complete	chr4A	35409752	35426828	2080.3	945
EOG090B00VM	Complete	chr5A	2350100	2378733	1484.3	953
EOG090B00VN	Complete	chr4B	13327897	13425183	1388.5	749
EOG090B00VQ	Complete	chr13	7666500	7678230	1294.7	925
EOG090B00VU	Complete	chr1	134170336	134223772	1420.3	819
EOG090B00WA	Complete	chr33	1272577	1298643	2041.1	1017
EOG090B00WE	Complete	chr12	12231617	12242914	1803.2	996
EOG090B00WK	Complete	chr2	116779435	116791271	2017.1	1023
EOG090B00WV	Complete	chr5A	38031957	38044788	1860.7	1040
EOG090B00WW	Complete	chr1	84696709	84794210	2045.4	1651
EOG090B00X1	Complete	chr28	889385	965404	2040.1	1122
EOG090B00X2	Complete	chr15	3039387	3060736	2474.7	1213
EOG090B00X6	Complete	chr1	170351022	170438554	2070.2	1094
EOG090B00X9	Complete	chr13	11445197	11463066	1606.8	1072
EOG090B00XC	Complete	chr14	7187892	7222159	1736.6	1166
EOG090B00XK	Fragmented	scaffold_23_arrow_ctg1	35423	45883	1497.1	744
EOG090B00XY	Complete	chr2	132481684	132493991	1425.3	808
EOG090B00Y2	Complete	chr11	2050658	2087709	2033.1	1189
EOG090B00Y8	Complete	chr18	5678303	5692864	1502.1	915
EOG090B00YJ	Complete	chr11	6041441	6055159	1857.4	1080
EOG090B00YL	Complete	chr3	19118776	19202994	1765.2	1142
EOG090B00YR	Complete	chr1	57171898	57222428	1843.4	970
EOG090B00YY	Fragmented	chrZ	9396468	9412861	464.4	294
EOG090B00Z9	Complete	chr2	69941888	70012984	1936.2	888
EOG090B00ZG	Complete	chr19	9850868	9891521	1374.5	985
EOG090B00ZI	Complete	chr21	2993013	3028167	2069.1	985
EOG090B00ZU	Complete	chr19	2701012	2727545	1900.9	881
EOG090B0102	Complete	chr2	140036514	140070678	2210.9	1051
EOG090B0103	Complete	chr6	25454186	25476080	2190.3	1159
EOG090B0105	Complete	chr1	91083312	91148672	1883.3	1262
EOG090B0108	Complete	chr5	13077026	13115108	1486.7	893
EOG090B010A	Missing
EOG090B010Q	Complete	chr6	21186882	21196959	1722.8	1009
EOG090B0111	Complete	chr1	180374055	180443289	2232.5	1047
EOG090B011C	Complete	chr19	376834	405259	2063.9	1029
EOG090B0126	Complete	chr5	12003841	12020629	1599.6	944
EOG090B012Y	Complete	chr2	70848874	70914082	2207.8	1072
EOG090B012Z	Complete	chr7	11385656	11453217	695.4	595
EOG090B0135	Complete	chr12	12140143	12177005	1863.5	1253
EOG090B0139	Fragmented	chr2	136071934	136086187	615.8	328
EOG090B013I	Complete	chr5A	39842863	39907005	1179.6	1266
EOG090B013L	Complete	chr14	15120775	15179103	1972.3	987
EOG090B013X	Complete	chr4A	23317394	23344256	2093.3	1006
EOG090B013Y	Complete	chr13	7213307	7232280	1814.8	943
EOG090B0144	Complete	chr9	17368572	17429723	2139.2	998
EOG090B014A	Complete	chr1	144702476	144756599	1995.0	967
EOG090B014C	Complete	chr1	55735467	55773897	1964.1	938
EOG090B014D	Complete	chr6	10209729	10257655	905.3	773
EOG090B014G	Fragmented	scaffold_89_arrow_ctg1	81877	93331	364.4	212
EOG090B014H	Complete	chr3	1175160	1215373	603.1	597
EOG090B014N	Complete	chr21	5617816	5652077	1761.0	872
EOG090B014X	Complete	chr11	2867821	2890960	2002.6	908
EOG090B014Y	Complete	chr1	176546587	176558533	922.2	796
EOG090B0153	Complete	chr1	18465557	18469072	1959.4	1029
EOG090B0158	Complete	chr5A	26459847	26485572	1373.4	837
EOG090B015P	Complete	chr13	16488058	16504524	2045.8	1197
EOG090B015R	Complete	chr5A	8748309	8751401	1579.6	826
EOG090B0163	Complete	chr24	6182625	6190690	1957.2	956
EOG090B016C	Complete	chr3	4145394	4176310	1653.9	940
EOG090B016Q	Complete	chr20	14618013	14630394	1432.1	920
EOG090B0178	Complete	chr21	6177107	6210034	1593.6	821
EOG090B017C	Complete	chr6	28908891	28956856	1140.6	879
EOG090B017H	Complete	chr24	65924	106629	2081.3	983
EOG090B017X	Complete	chr17	2102011	2131591	1739.8	851
EOG090B0183	Complete	chr4A	39844027	39873034	1987.1	967
EOG090B018F	Complete	chr14	951923	961156	1688.6	817
EOG090B018Q	Complete	chr2	22079633	22147590	1248.7	682
EOG090B0196	Complete	chr1	61351467	61384720	1234.9	968
EOG090B019C	Complete	chr2	103694451	103765174	1892.4	861
EOG090B019E	Complete	chr20	8522037	8531797	577.8	403
EOG090B01A7	Fragmented	chr5A	20221216	20248914	1727.6	779
EOG090B01BC	Complete	chrZ	64989596	65010967	988.2	731
EOG090B01BF	Duplicated	chrZ	69569494	69629738	1550.5	764
EOG090B01BF	Duplicated	chrW	26252482	26353327	1512.9	727
EOG090B01BH	Complete	chr4B	15291454	15344103	1530.9	933
EOG090B01BK	Complete	chr3	77737885	77785481	1213.4	836
EOG090B01BP	Complete	chr7	17634308	17665802	1427.0	865
EOG090B01C2	Complete	chr9	21521443	21573254	1633.8	905
EOG090B01C3	Complete	chr24	30118	61915	1327.6	1102
EOG090B01CL	Complete	chr2	110977273	111023225	1045.6	703
EOG090B01CM	Complete	chr19	9929805	9943810	1552.4	884
EOG090B01CT	Complete	chr10	9306754	9341112	1444.8	909
EOG090B01CY	Complete	chr2	128027428	128052347	1681.9	879
EOG090B01DA	Complete	chr21	5316253	5341123	1408.1	779
EOG090B01DB	Complete	chr3	26113028	26141765	1524.2	827
EOG090B01DI	Complete	chr4B	18737490	18778551	1479.3	829
EOG090B01DL	Complete	chr10	1203517	1215962	1595.3	842
EOG090B01DR	Complete	chr3	113944304	113978852	1700.4	800
EOG090B01DX	Complete	chr27	5014687	5038409	1557.1	758
EOG090B01E6	Complete	chr3	67005255	67037866	1529.0	795
EOG090B01EP	Complete	chr21	4539739	4551038	1512.3	778
EOG090B01ER	Complete	chr2	129256741	129277496	1115.8	701
EOG090B01ET	Complete	chr4A	40754800	40786199	1380.3	799
EOG090B01F0	Complete	chr21	3092172	3132393	1566.5	799
EOG090B01F4	Complete	chr28	2967728	2997165	552.0	568
EOG090B01FE	Complete	chr5A	4763819	4773016	1740.1	864
EOG090B01FF	Complete	chr4A	18548735	18567802	1381.6	867
EOG090B01FI	Complete	chr7	16594895	16612884	1423.3	988
EOG090B01FM	Complete	chr2	86829657	86855781	1372.0	896
EOG090B01FP	Complete	chr2	113577599	113615629	1469.2	776
EOG090B01FT	Complete	chr2	63401818	63446408	1236.5	1158
EOG090B01FZ	Complete	chr24	6393969	6403054	1677.7	800
EOG090B01G5	Complete	chr3	39642148	39681001	1595.7	835
EOG090B01GE	Complete	chr1	22413262	22439199	1642.8	838
EOG090B01GF	Complete	chr19	8256972	8281108	1481.6	798
EOG090B01GG	Complete	chr10	12881977	12909552	1245.7	1005
EOG090B01H4	Complete	chr6	916609	981499	914.7	673
EOG090B01H7	Complete	chr2	54223140	54300886	1580.6	818
