# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i mPhyDis1.pri.cur.20191129.fasta -o mPhyDis1.pri.cur.20191129.fasta.vert.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t mPhyDis1.pri.cur.20191129.vert.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr6	18305336	18498264	7284.9	3722
EOG090B0021	Complete	chr2	117207417	117246471	788.5	549
EOG090B002I	Complete	chr9	46422769	46544838	2133.6	2201
EOG090B0039	Complete	chr1	30052204	30200671	5353.6	2560
EOG090B003S	Complete	chr8	74476422	74585959	3720.1	2104
EOG090B004D	Complete	chr8	76577599	76608723	4692.8	2068
EOG090B004X	Complete	chr5	38981390	39130431	4096.8	2204
EOG090B0050	Complete	chr4	146278463	146365409	4256.0	2177
EOG090B005N	Complete	chr7	29740811	29830004	4438.2	2055
EOG090B005Q	Complete	chr4	10223095	10335562	3554.4	1851
EOG090B0067	Complete	chr7	6084447	6160381	2981.4	2000
EOG090B006Y	Fragmented	chr13	40422548	40429678	1696.0	751
EOG090B006Z	Complete	chr3	75587603	75621070	2053.8	1866
EOG090B007C	Complete	chr4	22444632	22514392	3381.7	1677
EOG090B007D	Complete	chr1	132325141	132565967	1931.4	1547
EOG090B007O	Complete	chr2	93276173	93314646	2408.5	1766
EOG090B007P	Complete	chr1	212392665	212458070	3152.4	1768
EOG090B008K	Complete	chr3	149125536	149198228	1844.4	1102
EOG090B008M	Complete	chr10	80832870	80904286	2854.4	1522
EOG090B0092	Complete	chr14	20164631	20346228	2566.1	1397
EOG090B0097	Complete	chr3	43495415	43518847	3052.4	2123
EOG090B009E	Complete	chr1	211633385	211672452	3233.7	1512
EOG090B009G	Complete	chr4	6854575	6959789	3644.2	1897
EOG090B009K	Complete	chr8	88615960	88728637	2970.7	1647
EOG090B009Q	Complete	chr1	85535117	85597023	2426.5	1714
EOG090B009U	Complete	chr5	154482341	154516457	3229.4	1559
EOG090B00A3	Complete	chr3	196011443	196094030	3162.5	1581
EOG090B00A5	Complete	chr9	97091226	97127478	2774.8	1589
EOG090B00AI	Complete	chr11	43329205	43367925	2430.2	1622
EOG090B00B0	Complete	chr1	22564739	22593943	3162.4	1490
EOG090B00BC	Complete	chr9	11075139	11103086	659.3	350
EOG090B00BI	Complete	chr3	211323431	211373233	2198.5	1239
EOG090B00BQ	Complete	chr3	101906488	101944125	2120.5	1171
EOG090B00BU	Complete	chr15	13496853	13574673	2244.1	1273
EOG090B00BV	Complete	chr1	156736975	156816138	1905.7	1418
EOG090B00CA	Fragmented	chr7	11794245	11874125	1694.8	1494
EOG090B00CE	Complete	chr7	128722639	128825248	2597.2	1398
EOG090B00CX	Complete	chr3	30985657	31019655	573.2	348
EOG090B00DK	Complete	chr5	123169845	123184621	2939.9	1377
EOG090B00DR	Complete	chr8	76537612	76547870	2701.8	1542
EOG090B00E7	Complete	chr4	116094233	116137088	1591.5	1083
EOG090B00EI	Complete	chr5	162886715	162958337	1778.0	1135
EOG090B00ER	Fragmented	chr2	156156110	156248711	1522.6	811
EOG090B00EW	Complete	chr9	52562962	52627577	1300.4	846
EOG090B00F1	Complete	chr11	83307516	83376680	2491.8	1623
EOG090B00F6	Complete	chr5	20280413	20311100	1122.3	882
EOG090B00F8	Complete	chr15	7911363	8004305	2734.5	1475
EOG090B00FD	Complete	chr7	11230618	11278757	2098.1	1420
EOG090B00G4	Complete	chr13	58207369	58298628	2853.3	1371
EOG090B00GH	Complete	chr4	21020486	21134835	2497.9	1265
EOG090B00GK	Complete	chr6	153171228	153268813	1776.8	932
EOG090B00GQ	Complete	chr1	135755701	135839726	2769.5	1353
EOG090B00GU	Complete	chr2	200286238	200353582	2060.3	1269
EOG090B00GW	Complete	chr4	151298300	151322928	1650.0	1675
EOG090B00HG	Complete	chr5	100331114	100422231	1810.9	1531
EOG090B00I9	Complete	chr8	79224674	79246323	3199.0	1543
EOG090B00IJ	Complete	chr10	56116007	56249130	2122.7	1117
EOG090B00IL	Complete	chr5	119242211	119296281	2669.9	1227
EOG090B00IN	Complete	chr3	147622353	147709239	1228.5	765
EOG090B00IU	Complete	chr8	20160637	20233497	2068.6	1327
EOG090B00J3	Complete	chr4	198443599	198516403	1517.1	1018
EOG090B00J8	Complete	chr7	71157115	71242734	1786.1	1101
EOG090B00JL	Complete	chr5	70699225	70733291	1245.6	1136
EOG090B00JU	Fragmented	chr4	183953978	183998367	2066.1	995
EOG090B00JW	Complete	chr3	206948964	206987805	2541.4	1253
EOG090B00JZ	Complete	chr4	7993211	8081013	1925.6	1240
EOG090B00K7	Complete	chr3	209635672	209690504	3151.2	1558
EOG090B00KE	Complete	chr3	161199973	161264483	2540.5	1191
EOG090B00KL	Complete	chr3	10402235	10455392	2651.2	1275
EOG090B00KR	Complete	chr12	44434652	44480648	2211.1	1182
EOG090B00L0	Complete	chr9	20788831	20817365	1412.7	985
EOG090B00L1	Complete	chr8	76078579	76155059	925.4	659
EOG090B00L4	Complete	chr7	28371975	28448059	2569.8	1197
EOG090B00L6	Complete	chr5	127847096	127909795	1520.0	864
EOG090B00LJ	Complete	chr5	55340581	55395665	593.2	417
EOG090B00M3	Complete	chrX	95144280	95156949	795.5	777
EOG090B00MK	Complete	chr2	199347463	199411949	1994.2	1100
EOG090B00MR	Complete	chr12	64284684	64339628	2026.1	1030
EOG090B00NB	Complete	chr3	40026052	40091194	1849.3	1071
EOG090B00O2	Complete	chr1	7503042	7588193	2267.9	1246
EOG090B00ON	Complete	chr5	149399265	149423680	1402.3	1143
EOG090B00OU	Complete	chr6	26462064	26548824	2375.4	1258
EOG090B00OY	Complete	chr15	17924501	17991681	1813.3	1103
EOG090B00P0	Complete	chr12	41964277	41995660	1941.8	1107
EOG090B00PB	Complete	chr2	120532527	120657293	1795.5	971
EOG090B00PC	Complete	chr10	65047860	65225541	2213.1	1254
EOG090B00PE	Complete	chr2	201522477	201567310	1814.7	925
EOG090B00PL	Complete	chr9	37619568	37669495	2155.1	1118
EOG090B00PS	Complete	chr4	56160094	56230238	2256.6	1187
EOG090B00PT	Complete	chr4	98511874	98530711	382.6	242
EOG090B00PZ	Complete	chr1	22960497	23080466	1368.6	745
EOG090B00QA	Complete	chr6	171259228	171276317	1532.7	1223
EOG090B00QJ	Complete	chr7	38938456	39000453	2138.7	1051
EOG090B00QN	Complete	chr6	130464897	130533475	2396.3	1158
EOG090B00QP	Complete	chr2	9167889	9231152	2001.7	1051
EOG090B00QU	Complete	chr9	10772101	10820503	1121.4	692
EOG090B00R0	Complete	chr11	91809474	91864605	2095.2	1111
EOG090B00R5	Complete	chr8	92821802	92934247	1050.1	560
EOG090B00RI	Complete	chr5	32903800	32947704	344.0	357
EOG090B00RL	Complete	chr13	44725593	44809562	1787.9	1016
EOG090B00RM	Complete	chr7	29948084	29986176	2254.2	1164
EOG090B00RO	Complete	chr3	182012478	182095274	1180.9	996
EOG090B00RP	Complete	chr13	41231676	41259258	2108.8	1271
EOG090B00S5	Complete	chr2	98845079	98895946	1468.9	1050
EOG090B00S6	Complete	chr6	9328201	9383740	2236.9	1069
EOG090B00S8	Duplicated	chr14	35786525	35808248	451.1	954
EOG090B00S8	Duplicated	chr2	215480713	215494788	429.7	895
EOG090B00S8	Duplicated	chr7	5215194	5230498	414.5	868
EOG090B00SR	Complete	chr4	71340347	71407027	1916.2	1271
EOG090B00SY	Complete	chr3	114487100	114511787	1757.8	939
EOG090B00TE	Complete	chr1	12278402	12353652	1666.8	912
EOG090B00TI	Complete	chr5	171328189	171368804	1706.7	900
EOG090B00TL	Complete	chr5	167996926	168050213	2217.3	1069
EOG090B00U4	Complete	chr5	6688410	6712985	2245.0	1130
