chr1	po1	gene1	chr2	po2	gene2
chr1	1082893	EOG090B0LIR	chr9	283987	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr9	388204	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chr9	459818	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr9	462149	EOG090B03H1
chr1	2019424	EOG090B07C7	chr9	884753	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr9	1162228	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr9	1174065	EOG090B0D29
chr1	3625073	EOG090B0DVR	chr9	2039843	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr9	2044261	EOG090B05QE
chr1	3781088	EOG090B060G	chr9	2157405	EOG090B060G
chr1	3815402	EOG090B027C	chr9	2174337	EOG090B027C
chr1	3857604	EOG090B099H	chr9	2211354	EOG090B099H
chr1	6225080	EOG090B0BYH	chr9	3766732	EOG090B0BYH
chr1	6525854	EOG090B066X	chr9	3989746	EOG090B066X
chr1	8324330	EOG090B03E1	chr9	5390182	EOG090B03E1
chr1	9588931	EOG090B06F2	chr9	6321852	EOG090B06F2
chr1	9930399	EOG090B0ILM	chr9	6556157	EOG090B0ILM
chr1	10461490	EOG090B098N	chr9	6955718	EOG090B098N
chr1	11066718	EOG090B01UK	chr9	7434555	EOG090B01UK
chr1	11273532	EOG090B09M4	chr9	7576912	EOG090B09M4
chr1	11674775	EOG090B0DNB	chr9	7890937	EOG090B0DNB
chr1	12021727	EOG090B0932	chr9	8178231	EOG090B0932
chr1	15701941	EOG090B01DA	chr9	10518500	EOG090B01DA
chr1	19339530	EOG090B08IR	chr9	12984355	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr9	13257035	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr9	13392486	EOG090B09XF
chr1	20652379	EOG090B0651	chr9	13934458	EOG090B0651
chr1	20744797	EOG090B076T	chr9	14011796	EOG090B076T
chr1	21679417	EOG090B014N	chr9	14654475	EOG090B014N
chr1	23030397	EOG090B02B1	chr9	15680762	EOG090B02B1
chr1	25821900	EOG090B0C5W	chr9	17680904	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr9	17923894	EOG090B0GZR
chr1	26282299	EOG090B07YS	chr9	17996087	EOG090B07YS
chr1	26432946	EOG090B08EA	chr9	18109111	EOG090B08EA
chr1	26790816	EOG090B05U9	chr9	18352331	EOG090B05U9
chr1	26891010	EOG090B066W	chr9	18417715	EOG090B066W
