chr1	po1	gene1	chr2	po2	gene2
chr1	944694	EOG090B05OD	chr7	22153736	EOG090B05OD
chr1	1082893	EOG090B0LIR	chr5	19909942	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr7	7860411	EOG090B08Y2
chr1	1255203	EOG090B0C55	chr5	13057523	EOG090B0C55
chr1	1308644	EOG090B0AXY	chr5	13114865	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr7	8009531	EOG090B03H1
chr1	2019424	EOG090B07C7	chr7	27650405	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr7	24365135	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr7	35711999	EOG090B0D29
chr1	2508847	EOG090B028U	chr5	30792336	EOG090B028U
chr1	3625073	EOG090B0DVR	chr7	24319886	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr7	24324215	EOG090B05QE
chr1	3781088	EOG090B060G	chr7	26976105	EOG090B060G
chr1	3815402	EOG090B027C	chr7	26980514	EOG090B027C
chr1	3857604	EOG090B099H	chr7	27031719	EOG090B099H
chr1	6225080	EOG090B0BYH	chr7	36100896	EOG090B0BYH
chr1	6525854	EOG090B066X	chr7	7602581	EOG090B066X
chr1	6614067	EOG090B0BKA	chr5	12954811	EOG090B0BKA
chr1	7962786	EOG090B0EDI	chr5	22684637	EOG090B0EDI
chr1	8324330	EOG090B03E1	chr5	22392547	EOG090B03E1
chr1	9588931	EOG090B06F2	chr7	22314255	EOG090B06F2
chr1	9930399	EOG090B0ILM	chr7	22460809	EOG090B0ILM
chr1	10083473	EOG090B00ZI	chr7	22490346	EOG090B00ZI
chr1	10399118	EOG090B05GI	chr7	22568936	EOG090B05GI
chr1	10461490	EOG090B098N	chr7	22869461	EOG090B098N
chr1	10598340	EOG090B0B8F	chr7	22824983	EOG090B0B8F
chr1	11066718	EOG090B01UK	chr7	22950208	EOG090B01UK
chr1	11273532	EOG090B09M4	chr7	28164337	EOG090B09M4
chr1	11500993	EOG090B00U4	chr9	19429148	EOG090B00U4
chr1	11674775	EOG090B0DNB	chr7	27837866	EOG090B0DNB
chr1	11790680	EOG090B031B	chr7	36509192	EOG090B031B
chr1	11804633	EOG090B01SI	chr7	36523995	EOG090B01SI
chr1	11906303	EOG090B053B	chr7	36215610	EOG090B053B
chr1	12021727	EOG090B0932	chr5	22320134	EOG090B0932
chr1	12234267	EOG090B0FLR	chr7	36756033	EOG090B0FLR
chr1	15492943	EOG090B095T	chr7	26966844	EOG090B095T
chr1	15701941	EOG090B01DA	chr7	28006733	EOG090B01DA
chr1	19219303	EOG090B01EP	chr7	24785768	EOG090B01EP
chr1	19251836	EOG090B0D5M	chr5	22977495	EOG090B0D5M
chr1	19339530	EOG090B08IR	chr5	18512620	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr7	29044174	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr7	28271689	EOG090B09XF
chr1	20500690	EOG090B082J	chr7	8097742	EOG090B082J
chr1	20652379	EOG090B0651	chr7	28001500	EOG090B0651
chr1	20744797	EOG090B076T	chr5	29659775	EOG090B076T
chr1	21679417	EOG090B014N	chr5	480581	EOG090B014N
chr1	22563636	EOG090B0178	chr13	40898448	EOG090B0178
chr1	23030397	EOG090B02B1	chr22	15262597	EOG090B02B1
chr1	23778516	EOG090B0G12	chr11	8068051	EOG090B0G12
chr1	24902122	EOG090B09DL	chr22	27527441	EOG090B09DL
chr1	25821900	EOG090B0C5W	chr22	13827543	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr22	13861232	EOG090B0GZR
chr1	26280156	EOG090B0JOD	chr11	29433308	EOG090B0JOD
chr1	26282299	EOG090B07YS	chr16	18805586	EOG090B07YS
chr1	26432946	EOG090B08EA	chr16	31773241	EOG090B08EA
chr1	26790816	EOG090B05U9	chr16	18905858	EOG090B05U9
chr1	26891010	EOG090B066W	chr16	18876458	EOG090B066W
chr1	26921849	EOG090B0CH3	chr11	29602150	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr16	18831142	EOG090B02Y1
chr1	27935184	EOG090B065U	chr16	29250485	EOG090B065U
chr1	28330663	EOG090B0DRP	chr16	29209601	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr16	19030671	EOG090B07B6
chr1	28603539	EOG090B0H7D	chr16	29007707	EOG090B0H7D
chr1	31259478	EOG090B0910	chr11	19394094	EOG090B0910
chr1	31727420	EOG090B00F6	chr15	19864541	EOG090B00F6
chr1	32222442	EOG090B08H1	chr11	26765455	EOG090B08H1
chr1	32367291	EOG090B08U3	chr22	27071712	EOG090B08U3
chr1	32775981	EOG090B055Q	chr11	25066216	EOG090B055Q
chr1	35559125	EOG090B04N6	chr11	10156134	EOG090B04N6
chr1	35597946	EOG090B0GJG	chr11	10284264	EOG090B0GJG
