# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i mRhiFer1.pri.cur.20180907.fasta -o mRhiFer1.pri.cur.20180907.fasta.vert.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t mRhiFer1.pri.cur.20180907.vert.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr13	49323786	49508841	6960.5	3555
EOG090B0021	Complete	chr4	103215374	103261876	823.9	579
EOG090B002I	Duplicated	chr3	77172314	77351104	2227.4	1376
EOG090B002I	Duplicated	chr19	10677390	10798282	2098.7	2318
EOG090B0039	Complete	chr5	7855071	8005465	5363.2	2567
EOG090B003S	Complete	chr21	14469516	14534280	2643.7	1395
EOG090B004D	Complete	chr21	16250202	16276220	4703.3	2071
EOG090B004X	Complete	chr9	39442596	39596275	4031.4	2187
EOG090B0050	Complete	chr3	41726562	41797123	4268.9	2171
EOG090B005N	Complete	chr17	33058134	33136965	4428.8	2057
EOG090B005Q	Complete	chr8	11772081	11890355	2971.6	1568
EOG090B0067	Complete	chr17	8478121	8574821	3027.8	2069
EOG090B006Y	Fragmented	chr24	43937224	43948236	1603.8	717
EOG090B006Z	Complete	chr7	76298057	76325149	2066.0	1871
EOG090B007C	Complete	chr8	24506804	24574847	3379.5	1637
EOG090B007D	Complete	chr6	83625670	83845992	1748.2	1535
EOG090B007O	Complete	chr2	40190425	40226421	2682.7	1988
EOG090B007P	Complete	chr6	7265675	7328372	3351.1	1764
EOG090B008K	Complete	chr12	20088017	20181159	1993.6	1264
EOG090B008M	Complete	chr26	12348999	12427466	2815.8	1523
EOG090B0092	Complete	chr22	10274440	10475285	2500.7	1446
EOG090B0097	Complete	chr7	45549129	45576883	3053.1	1995
EOG090B009E	Complete	chr6	8218964	8259328	3255.6	1511
EOG090B009G	Complete	chr8	8119507	8228916	3078.0	1551
EOG090B009K	Complete	chr21	43617549	43728134	3003.4	1655
EOG090B009Q	Complete	chr5	55297919	55332800	2557.9	1803
EOG090B009U	Complete	chr16	22630255	22672948	3243.9	1562
EOG090B00A3	Complete	chr12	63802544	63882428	2603.6	1374
EOG090B00A5	Complete	chr23	10003650	10025331	2816.0	1581
EOG090B00AI	Complete	chr4	8062553	8106595	2292.8	1620
EOG090B00B0	Complete	chr5	62276839	62302068	3187.6	1488
EOG090B00BC	Complete	chr19	47243370	47279641	662.7	343
EOG090B00BI	Complete	chr12	79394801	79448885	2706.3	1712
EOG090B00BQ	Complete	scaffold_54_arrow_ctg1_1	13378350	13404776	2148.3	1154
EOG090B00BU	Complete	chr27	15884802	16015593	2436.2	1350
EOG090B00BV	Complete	chr6	62321946	62400707	2047.4	1634
EOG090B00CA	Complete	chr17	14874453	14961359	2522.0	1908
EOG090B00CE	Complete	chr14	61133636	61228472	2348.3	1275
