name	start	end	strand	col	fill	lwd
1	1	714237888	1	4	4	0.1
2	714237889	1278782254	1	4	4	0.1
3	1278782255	1687573910	1	4	4	0.1
4	1687573911	2084332300	1	4	4	0.1
5	2084332301	2466315600	1	4	4	0.1
6	2466315601	2817054235	1	4	4	0.1
7	2817054236	3138879703	1	4	4	0.1
8	3138879704	3430224297	1	4	4	0.1
9	3430224298	3634116110	1	4	4	0.1
10	3634116111	3834947051	1	4	4	0.1
11	3834947052	4014772919	1	4	4	0.1
12	4014772920	4140662567	1	4	4	0.1
13	4140662568	4216270076	1	4	4	0.1
14	4216270077	4275394069	1	4	4	0.1
15	4275394070	4331874192	1	4	4	0.1
16	4331874193	4370508405	1	4	4	0.1
17	4370508406	4404655097	1	4	4	0.1
18	4404655098	4435559288	1	4	4	0.1
19	4435559289	4462125496	1	4	4	0.1
20	4462125497	4488033330	1	4	4	0.1
21	4488033331	4513238561	1	4	4	0.1
22	4513238562	4526578622	1	4	4	0.1
23	4526578623	4539360017	1	4	4	0.1
W	4539360018	4711103063	1	4	4	0.1
Z	4711103064	5178571772	1	4	4	0.1
1	1	714237888	1	1	4	0.1
2	714237889	1278782254	1	1	4	0.1
3	1278782255	1687573910	1	1	4	0.1
4	1687573911	2084332300	1	1	4	0.1
5	2084332301	2466315600	1	1	4	0.1
6	2466315601	2817054235	1	1	4	0.1
7	2817054236	3138879703	1	1	4	0.1
8	3138879704	3430224297	1	1	4	0.1
9	3430224298	3634116110	1	1	4	0.1
10	3634116111	3834947051	1	1	4	0.1
11	3834947052	4014772919	1	1	4	0.1
12	4014772920	4140662567	1	1	4	0.1
13	4140662568	4216270076	1	1	4	0.1
14	4216270077	4275394069	1	1	4	0.1
15	4275394070	4331874192	1	1	4	0.1
16	4331874193	4370508405	1	1	4	0.1
17	4370508406	4404655097	1	1	4	0.1
18	4404655098	4435559288	1	1	4	0.1
19	4435559289	4462125496	1	1	4	0.1
20	4462125497	4488033330	1	1	4	0.1
21	4488033331	4513238561	1	1	4	0.1
22	4513238562	4526578622	1	1	4	0.1
23	4526578623	4539360017	1	1	4	0.1
W	4539360018	4711103063	1	1	4	0.1
Z	4711103064	5178571772	1	1	4	0.1
L	4357223657	4357223657	1	6	6	0.01
L	4357878907	4357878907	1	6	6	0.01
L	4358856995	4358856995	1	6	6	0.01
L	4359013077	4359013077	1	6	6	0.01
L	4369914766	4369914766	1	6	6	0.01
L	4368414993	4368414993	1	6	6	0.01
L	4368383949	4368383949	1	6	6	0.01
L	4365064056	4365064056	1	6	6	0.01
L	4364990941	4364990941	1	6	6	0.01
L	4364801419	4364801419	1	6	6	0.01
