,start1,end1,start2,end2,col
924,4740579756,4740579756,3370591873,3370591873,28
915,4757234337,4757234337,3430011856,3430011856,28
906,1932677483,1932677483,238690643,238690643,28
907,481928447,481928447,3060966735,3060966735,28
908,485213909,485213909,3131639648,3131639648,28
909,487036499,487036499,2967042848,2967042848,28
910,501170531,501170531,2974984809,2974984809,28
912,528879729,528879729,2959984677,2959984677,28
913,529697105,529697105,2966411913,2966411913,28
914,4743843714,4743843714,3466992609,3466992609,28
911,517803813,517803813,2953809772,2953809772,28
916,4706499575,4706499575,3458325782,3458325782,28
920,4696565431,4696565431,3372538073,3372538073,28
917,4702987703,4702987703,3378070537,3378070537,28
922,4731566642,4731566642,3473084396,3473084396,28
921,4733855222,4733855222,3471049673,3471049673,28
923,4742233598,4742233598,3369974904,3369974904,28
919,4697222451,4697222451,3373546263,3373546263,28
918,4707957374,4707957374,4951348100,4951348100,28
896,4553395623,4553395623,1253488597,1253488597,27
887,3756733716,3756733716,4544523443,4544523443,27
888,3760645990,3760645990,4542884004,4542884004,27
889,3760671888,3760671888,4542822419,4542822419,27
890,3760701473,3760701473,4542720590,4542720590,27
891,3757455600,3757455600,4544143159,4544143159,27
893,4556908359,4556908359,1296678603,1296678603,27
894,4556859998,4556859998,1296730810,1296730810,27
895,4553414908,4553414908,1253433444,1253433444,27
892,3776087608,3776087608,4510464652,4510464652,27
897,4550682989,4550682989,1258046256,1258046256,27
899,4544569498,4544569498,1266781202,1266781202,27
900,4542674290,4542674290,1292587385,1292587385,27
901,4619858864,4619858864,2523732319,2523732319,27
902,4617411249,4617411249,2534301004,2534301004,27
903,4616747942,4616747942,2533150238,2533150238,27
904,4379326166,4379326166,4160474081,4160474081,27
905,4401619345,4401619345,4177964270,4177964270,27
898,4547869101,4547869101,1263601385,1263601385,27
881,566603563,566603563,2985622323,2985622323,26
875,37472981,37472981,4876595206,4876595206,26
876,25631913,25631913,4857290396,4857290396,26
877,85971714,85971714,4226121431,4226121431,26
879,97144594,97144594,2988953696,2988953696,26
880,569249275,569249275,2987296359,2987296359,26
878,1554563155,1554563155,1993406764,1993406764,26
882,560408571,560408571,2981731515,2981731515,26
884,555661273,555661273,4885524786,4885524786,26
885,550871946,550871946,4883511156,4883511156,26
886,543551559,543551559,4879100444,4879100444,26
883,555976191,555976191,4885915564,4885915564,26
851,1786541391,1786541391,1917739542,1917739542,25
857,3985525221,3985525221,3867912898,3867912898,25
856,3962334932,3962334932,3880409761,3880409761,25
855,3958677397,3958677397,3893494437,3893494437,25
854,3957903817,3957903817,3892211534,3892211534,25
853,3972477011,3972477011,3895548892,3895548892,25
852,3969587728,3969587728,3885439232,3885439232,25
848,1896682449,1896682449,1758196492,1758196492,25
850,1876184737,1876184737,1769080073,1769080073,25
849,1780862918,1780862918,1763810579,1763810579,25
847,1918684644,1918684644,252038242,252038242,25
846,3097533532,3097533532,4392721845,4392721845,25
845,1916533466,1916533466,2856758638,2856758638,25
844,3996596090,3996596090,3825525965,3825525965,25
859,3992940654,3992940654,3866740880,3866740880,25
858,3992584114,3992584114,3867029276,3867029276,25
867,4032928852,4032928852,3850032619,3850032619,25
860,3979061176,3979061176,3875429913,3875429913,25
868,4022605304,4022605304,3845520084,3845520084,25
861,3977970614,3977970614,3870599075,3870599075,25
873,3997763016,3997763016,3826700902,3826700902,25
872,3997173054,3997173054,3825986976,3825986976,25
871,4015516661,4015516661,3839596575,3839596575,25
870,4018559019,4018559019,3841733571,3841733571,25
869,4020283294,4020283294,3842685778,3842685778,25
874,3998975270,3998975270,3827954681,3827954681,25
865,4061979907,4061979907,4931785991,4931785991,25
864,3986129827,3986129827,1784679453,1784679453,25
863,3988069444,3988069444,3857134614,3857134614,25
866,4032977776,4032977776,3850193323,3850193323,25
862,3988428872,3988428872,3468156982,3468156982,25
840,4273775952,4273775952,4058051262,4058051262,24
843,4260555683,4260555683,4048531163,4048531163,24
842,4262591306,4262591306,4063215064,4063215064,24
841,4274461441,4274461441,4056564381,4056564381,24
839,4267653416,4267653416,4071309211,4071309211,24
825,1071601265,1071601265,1411073672,1411073672,23
827,1098851445,1098851445,2197856493,2197856493,23
826,1069403082,1069403082,1408054366,1408054366,23
821,1097234555,1097234555,1434261596,1434261596,23
824,1071689210,1071689210,1411138756,1411138756,23
823,1092607895,1092607895,1429774230,1429774230,23
822,1097142352,1097142352,1434062067,1434062067,23
