chr1	po1	gene1	chr2	po2	gene2
chr1	944694	EOG090B05OD	chr5	55715476	EOG090B05OD
chr1	1082893	EOG090B0LIR	chr5	56043499	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr5	56282842	EOG090B08Y2
chr1	1255203	EOG090B0C55	chr5	56453102	EOG090B0C55
chr1	1308644	EOG090B0AXY	chr5	56600179	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr5	56612685	EOG090B03H1
chr1	2019424	EOG090B07C7	chr5	57552598	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr5	58389095	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr5	58404560	EOG090B0D29
chr1	2508847	EOG090B028U	chr5	58659785	EOG090B028U
chr1	3625073	EOG090B0DVR	chr5	75323723	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr5	75281087	EOG090B05QE
chr1	3781088	EOG090B060G	chr5	74989576	EOG090B060G
chr1	3815402	EOG090B027C	chr5	74927838	EOG090B027C
chr1	3857604	EOG090B099H	chr5	74894867	EOG090B099H
chr1	6225080	EOG090B0BYH	chr5	72544532	EOG090B0BYH
chr1	6525854	EOG090B066X	chr5	72059693	EOG090B066X
chr1	6614067	EOG090B0BKA	chr5	71987544	EOG090B0BKA
chr1	7962786	EOG090B0EDI	chr5	70442585	EOG090B0EDI
chr1	8324330	EOG090B03E1	chr5	70110120	EOG090B03E1
chr1	9588931	EOG090B06F2	chr5	68729005	EOG090B06F2
chr1	9730508	EOG090B01F0	chr5	68591075	EOG090B01F0
chr1	9930399	EOG090B0ILM	chr5	68385928	EOG090B0ILM
chr1	10083473	EOG090B00ZI	chr5	68176169	EOG090B00ZI
chr1	10399118	EOG090B05GI	chr5	67958140	EOG090B05GI
chr1	10461490	EOG090B098N	chr5	67914597	EOG090B098N
chr1	10598340	EOG090B0B8F	chr5	67784759	EOG090B0B8F
chr1	11066718	EOG090B01UK	chr5	67270210	EOG090B01UK
chr1	11273532	EOG090B09M4	chr5	67110705	EOG090B09M4
chr1	11500993	EOG090B00U4	chr5	66836950	EOG090B00U4
chr1	11674775	EOG090B0DNB	chr5	66628561	EOG090B0DNB
chr1	11790680	EOG090B031B	chr5	66488690	EOG090B031B
chr1	11804633	EOG090B01SI	chr5	66456793	EOG090B01SI
chr1	12021727	EOG090B0932	chr5	66198250	EOG090B0932
chr1	12234267	EOG090B0FLR	chr5	65769598	EOG090B0FLR
chr1	15492943	EOG090B095T	chr5	63594814	EOG090B095T
chr1	15701941	EOG090B01DA	chr5	63368691	EOG090B01DA
chr1	19219303	EOG090B01EP	chr5	59688180	EOG090B01EP
chr1	19251836	EOG090B0D5M	chr5	59668552	EOG090B0D5M
chr1	19339530	EOG090B08IR	chr5	59516627	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr5	59132995	EOG090B04MJ
