chr1	po1	gene1	chr2	po2	gene2
chr1	1082893	EOG090B0LIR	chr5	14097165	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr7	21602676	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chr5	9890411	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr7	21515330	EOG090B03H1
chr1	2019424	EOG090B07C7	chr7	7264425	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr7	9642292	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr7	2343893	EOG090B0D29
chr1	3625073	EOG090B0DVR	chr7	9686004	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr7	9671737	EOG090B05QE
chr1	3781088	EOG090B060G	chr7	7721340	EOG090B060G
chr1	3815402	EOG090B027C	chr7	7697229	EOG090B027C
chr1	3857604	EOG090B099H	chr7	7683429	EOG090B099H
chr1	6225080	EOG090B0BYH	chr7	2115004	EOG090B0BYH
chr1	6525854	EOG090B066X	chr7	21741856	EOG090B066X
chr1	8324330	EOG090B03E1	chr5	15795032	EOG090B03E1
chr1	9588931	EOG090B06F2	chr7	11169029	EOG090B06F2
chr1	9930399	EOG090B0ILM	chr7	11072513	EOG090B0ILM
chr1	10461490	EOG090B098N	chr7	10700942	EOG090B098N
chr1	11066718	EOG090B01UK	chr7	10662306	EOG090B01UK
chr1	11273532	EOG090B09M4	chr7	6867391	EOG090B09M4
chr1	11674775	EOG090B0DNB	chr7	7149178	EOG090B0DNB
chr1	12021727	EOG090B0932	chr5	15753455	EOG090B0932
chr1	15701941	EOG090B01DA	chr7	7006330	EOG090B01DA
chr1	19339530	EOG090B08IR	chr5	13251950	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr7	6198146	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr7	6789971	EOG090B09XF
chr1	20652379	EOG090B0651	chr7	7020535	EOG090B0651
chr1	20744797	EOG090B076T	chr5	20531075	EOG090B076T
chr1	21679417	EOG090B014N	chr5	2798067	EOG090B014N
chr1	23030397	EOG090B02B1	chr22	8943753	EOG090B02B1
chr1	25821900	EOG090B0C5W	chr22	9940894	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr22	9920084	EOG090B0GZR
chr1	26282299	EOG090B07YS	chr16	14513531	EOG090B07YS
chr1	26432946	EOG090B08EA	chr16	6387357	EOG090B08EA
chr1	26790816	EOG090B05U9	chr16	14437342	EOG090B05U9
chr1	26891010	EOG090B066W	chr16	14468746	EOG090B066W
chr1	26921849	EOG090B0CH3	chr11	19510110	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr16	14486925	EOG090B02Y1
chr1	27935184	EOG090B065U	chr16	7726441	EOG090B065U
chr1	28330663	EOG090B0DRP	chr16	7755620	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr16	14369742	EOG090B07B6
chr1	32222442	EOG090B08H1	chr11	17212072	EOG090B08H1
chr1	35559125	EOG090B04N6	chr11	6406012	EOG090B04N6
chr1	35736496	EOG090B01JZ	chr11	6461554	EOG090B01JZ
chr1	36084922	EOG090B0769	chr11	5821060	EOG090B0769
